ID,Country,Continent,number_years,size,IUCN_category,IUCN_Dummy,PGDP_2017,HDI_2017,disToRoads,disTocities,Illigal_poaching1_change,Illigal_poaching2_change,logging_change,mining_change,Compliance_change_Orig,Compliance_change_rev,Agri_encroachment_chnage,grazing_encroachment_chnage,fire_change,Attitude_NP_change,Park_authority_change,Trust_change,Wilflife.Protect_change,Want.NPLand_change_Orig,Want.NPLand_change_rev,Satisfied_change,support_NP_change,Pop_change,NP_relatedBnefit_change,NP_related_econBenefit_Chnage,Poverty_chnage_Orig,Poverty_chnage_rev,Electricity_chnage,Livestock_change,CleanWater_change,Vistation_rate_change,TourismBenefit_change,Unemplyment_change_Orig,Unemplyment_change_rev,Housing_change,ResourceAccess_change,Busness_opration_change,Grants_change,TourismTax.Revenue_chabge,NP_RelatedBenefits_index,Decion_making_change,Benefit_distr_change,Befit_satisfaction_change,Culture_NP_change,Participation_NP_protection_change,Village_chief_change,Supportive_culture,Local_institutions,Willingness,Connection.TO.nuture,Trust.Towards.community,Hunting_deep_rooted,Bush_meat_dependance,Bush_meat_Protine,Training,Resources,Willingness_TO_support,Get_sufficient_support,Power_TO_make_decisions,Ability_TO_reward,Ability_.to_punish,Priority_to_biodiversity,Independent_government_office,Buffor_zone,Regular_patrol,research_institute,Re_introduction,Re_vegitation,Re_hablitation,Re_hablitation2,PES,Alt_Livelihoods,CBC,Community_project,Community_school,Community_health,Community_roads,Community_others,Awareness_creation,Sustainable_Turism_management,Forest_cover_inside,Forest_degradation_inside,Forest_fragmentation_inside,Wood_shrub_cover_inside,Meadow_grassland_cover_inside,Cropland_cover_inside,Wetland_vegetation_cover_inside,Aquatic_vegetation_cover_inside,Fire_Incidence_inside,Logging_inside,Mining_inside,Agri_Severity,Agri_Change_severity,Agri_legal,Invasive_Severity,Invasive_Change_severity,Dams_Severity,Dams_change_severity,Fire_Severity,Fire_Change_severity,Fire_legal,pollution_Severity,Pollution_Change_severity,HumanIntrusion_Severity,HumanIntrusion_Change_severity,HumanIntrusion_legal,Transport_Severity,Transport_Change_severity,Transport_legal,Residential_com_Severity,Residential_com_Change_severity,Residential_Com_legal,Climate_Severity,Climate_severity_Change,Energy_Severity,Energy_Change_severity,Energy_legal,Hunting_Severity,Hunting_Change_severity,Hunting_legal,Logging_Severity,Logging_Change_severity,logging_legal,GatheringPlants_Severity,GatheringPlants_Change_severity,GatheringPlants_legal,Fishing_Severity,Fishing_Change_severity,Fishing_legal,GeologicalEvents_Severity,GeologicalEvents_Change_severity,PoisoningAnimals_Severity,PoisoningAnimals_Change_severity,PoisoningAnimals_legal,Abundance_change
63,Guinea,Africa,33,382,II,1,2000,0.459,0.79759315,2.926973304,-1,-1,-1,0,1,-1,-1,1,0,-1,0,-1,1,1,-1,-1,-1,1,0,0,1,-1,1,1,1,-1,0,1,-1,NQ,0,-1,-1,-1,-0.2,1,-1,-1,0,1,1,5,5,4,3,4,5,6,6,2,4,2,2,2,4,3,4,4,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,-1,-1,1,-1,-1,0,1,-1,-1,0,3,1,2,4,0,5,0,2,-1,2,3,0,3,0,2,3,0,2,4,-1,2,3,1,5,-1,2,4,-1,2,4,-1,2,4,-1,2,3,-1,2,5,-1,2,-1,2,0.321428571
64,Czech republic,Europe,27,686,II,1,35500,0.888,0,32.06861233,NA,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,-1,NA,1,NQ,NQ,NQ,NA,NQ,1,1,1,-1,1,0,0,0,1,0.75,0,0,0,0,0,0,2,5,2,5,3,4,6,6,2,2,3,3,2,1,1,5,3,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,-1,0,1,0,0,0,0,0,4,1,1,4,0,5,0,5,0,NA,5,0,5,0,NA,5,0,NA,4,1,1,5,0,4,0,2,5,0,NA,3,0,1,5,0,NA,5,0,NA,5,0,5,0,NA,0.157894737
65,Ethiopia,Africa,44,5061,II,1,2200,0.463,0.134678786,40.4772573,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,1,-1,-1,1,-1,-1,-1,0,0,NQ,0,-1,-1,-1,-0.6,-1,-1,-1,-1,-1,-1,2,1,2,1,2,2,3,3,2,6,6,5,5,4,2,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,1,1,3,5,-1,3,0,1,0,2,4,-1,1,0,2,2,0,2,1,0,2,2,0,2,1,2,1,1,2,1,1,2,2,1,2,2,0,2,5,-1,1,1,2,0.885714286
66,Czech republic,Europe,18,79,II,1,35500,0.888,3.864147315,22.97182357,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,NA,0,NQ,NQ,NQ,NA,NQ,1,1,1,-1,0,0,1,0,0,0.5,0,0,0,0,0,0,3,5,4,5,3,6,6,6,2,3,3,3,2,2,2,3,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,0,1,3,1,5,0,4,0,1,4,0,2,1,1,4,1,1,4,0,1,3,1,5,0,1,5,0,1,5,0,1,4,0,1,5,0,1,5,0,5,0,2,0.181818182
67,Poland,Europe,28,97.62,II,1,29500,0.865,0,32.0400266,NA,-1,0,0,0,0,0,0,-1,1,1,1,1,0,0,1,0,0,NA,1,NQ,NQ,NQ,NA,NQ,1,1,-1,1,0,0,1,0,NA,0.75,1,0,1,1,1,1,2,4,3,3,3,4,6,6,2,2,2,3,2,1,1,3,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,1,-1,NA,1,1,NA,-1,NA,4,0,1,3,1,NA,NA,3,0,2,3,0,4,0,1,4,0,1,3,1,1,2,1,2,1,1,4,-1,2,4,0,1,4,0,3,4,-1,2,NA,NA,5,0,2,-0.048780488
68,Poland,Europe,45,292.09,II,1,29500,0.865,0,84.43744986,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,NA,1,NQ,NQ,NQ,NA,NQ,1,-1,1,-1,-1,0,1,1,1,0.25,0,0,0,0,0,0,3,4,4,3,4,2,4,5,2,3,4,5,3,2,2,4,3,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,NA,1,-1,0,0,0,0,0,0,NA,0,NA,4,1,5,1,4,0,2,3,1,1,1,1,2,1,1,2,1,1,3,1,2,0,1,5,0,2,5,0,1,5,0,3,5,0,1,4,1,3,1,2,0.083333333
69,Romania,Europe,27,3446,UNSCO,0,24500,0.811,1.820594723,3.901271136,NA,1,0,0,0,0,0,0,0,0,-1,0,1,1,-1,1,0,1,NA,1,NQ,NQ,NQ,NA,NQ,1,1,1,-1,NA,-1,1,NA,1,0.5,0,NA,-1,0,0,0,3,5,3,5,4,3,1,1,4,5,4,4,2,6,2,4,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,3,2,1,5,0,4,0,3,1,1,1,1,1,4,0,1,1,1,1,4,0,5,0,NA,5,-1,2,5,0,NA,3,0,1,2,1,3,5,0,5,0,2,0.444444444
70,Cameroon,Africa,50,1979.47,II,1,3700,0.556,0,21.41955271,1,1,0,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,0,0,0,0,1,1,-1,-1,-1,1,-1,NQ,0,1,0,-1,-0.4,0,-1,-1,0,1,-1,5,2,3,3,5,1,5,1,3,6,5,5,5,3,4,5,6,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,-1,1,-1,0,0,0,1,1,-1,4,0,2,4,0,4,0,2,-1,3,2,0,1,1,2,2,1,3,2,1,3,3,1,2,1,3,2,1,3,2,0,3,3,1,3,1,1,2,5,0,1,0,2,0.52
71,Gabon,Africa,16,1060,II,1,19200,0.702,36.74606663,39.54573288,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,-1,NQ,0,0,-1,0,0.2,0,1,1,0,0,0,1,6,1,1,1,1,1,1,2,4,2,3,1,2,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-1,-1,1,0,0,0,0,0,0,0,5,-1,2,3,1,5,0,5,0,2,5,0,5,0,3,5,0,2,5,0,1,3,0,5,0,2,4,0,2,2,1,2,5,1,1,4,0,2,5,0,3,-1,2,0.681818182
72,Guinea,Africa,21,6000,II,1,2000,0.459,24.72770493,30.7419402,NA,0,1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,-1,NQ,-1,1,0,1,0.4,1,1,1,0,1,1,2,2,2,1,4,1,2,2,2,4,6,6,4,2,1,5,2,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,NA,0,0,0,1,1,2,1,1,1,1,1,-1,1,3,1,5,1,2,5,0,2,1,1,NA,2,1,1,1,NA,2,1,NA,2,1,NA,5,-1,NA,1,-1,2,5,0,2,1,NA,-0.482758621
73,Romania,Europe,52,167.21,II,1,24500,0.811,0,19.48739864,NA,0,1,1,1,-1,0,0,0,1,1,1,1,0,0,1,1,-1,1,NA,NQ,NQ,NQ,0,NQ,1,1,0,0,1,0,0,1,1,0.75,1,1,1,1,1,1,1,3,3,3,2,4,6,6,2,2,2,3,2,2,2,4,2,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,5,0,1,5,0,5,0,2,0,3,4,0,4,1,3,3,0,1,4,0,1,3,1,5,0,NA,4,0,2,4,0,3,4,0,3,4,0,3,5,0,4,0,3,0.12244898
74,Sweden,Europe,109,1984,II,1,51500,0.933,60.870432,89.0427098,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,NQ,NQ,NQ,0,NQ,1,1,0,0,NA,0,1,NA,1,0.75,0,0,0,0,1,0,3,6,3,4,5,1,2,6,2,5,5,5,6,6,6,4,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,0,0,NA,NA,NA,5,0,1,1,0,5,0,4,0,2,5,0,3,1,2,5,0,NA,5,0,3,3,1,5,0,2,1,1,1,5,0,2,2,NA,2,5,0,2,5,0,5,0,2,0.1
75,South Africa,Africa,20,243,not reported,0,12294.88,0.699,0,1.968046019,NA,0,0,0,-1,1,0,0,1,-1,-1,-1,-1,0,0,-1,-1,1,0,0,-1,1,1,0,0,1,1,0,0,NQ,0,1,NA,NA,0.4,1,0,0,0,0,0,3,6,3,2,4,6,6,6,4,4,3,2,5,5,2,4,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,0,0,1,NA,NA,3,0,1,1,1,4,0,1,0,3,4,1,2,1,3,3,1,1,4,0,3,4,1,5,0,NA,5,0,2,5,0,2,3,1,2,5,0,2,5,0,4,0,2,0
76,Chad,Africa,8,750,II,1,2400,0.404,0.736751577,31.52096664,1,1,1,1,0,0,1,1,1,-1,0,0,-1,1,-1,1,1,-1,0,0,0,0,0,1,0,NA,NA,0,0,NQ,-1,NA,NA,NA,-0.2,1,NA,1,0,1,1,3,2,2,2,3,1,4,2,1,5,5,5,NA,NA,5,6,2,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,-1,-1,1,1,1,1,-1,-1,1,1,0,2,1,2,NA,NA,NA,NA,2,0,3,NA,NA,3,0,2,NA,NA,NA,NA,NA,NA,3,1,2,1,2,2,1,2,NA,NA,NA,3,0,3,2,1,2,NA,NA,2,1,2,0.409090909
77,Cameroon,Africa,18,975,II,1,3700,0.556,3.174340022,49.31765733,1,1,1,NA,0,0,1,1,1,0,1,NA,1,1,-1,NA,0,1,0,0,1,-1,1,1,1,1,0,1,-1,NQ,NA,1,NA,0,0.25,0,0,0,0,0,0,NA,5,3,2,4,1,3,2,2,5,2,2,3,2,2,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,0,0,1,1,0,2,1,2,NA,NA,4,1,2,1,2,4,0,4,1,2,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,1,1,2,2,1,2,3,1,2,2,1,2,NA,NA,NA,NA,NA,-0.577777778
78,Spain,Europe,19,858.83,II,1,38300,0.891,1.837075177,7.707464969,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,NA,1,NQ,NQ,NQ,NA,NQ,1,1,0,0,NA,NA,1,-1,NA,1,0,0,0,0,0,NA,2,3,3,5,3,2,6,6,2,3,2,2,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,-1,5,0,3,5,0,4,1,3,0,2,5,0,3,1,1,3,0,1,5,0,2,3,0,5,0,3,5,0,2,5,0,2,3,-1,2,NA,NA,NA,3,0,NA,0,NA,0
79,Ethiopia,Africa,56,2200,II,1,2200,0.463,0,7.6174918,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,-1,NQ,-1,1,1,0,0.6,1,0,0,1,1,1,2,3,3,2,3,5,5,5,2,3,3,3,2,3,5,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,-1,1,1,0,-1,3,-1,2,4,-1,4,0,2,1,2,3,-1,3,1,2,3,1,2,4,-1,2,2,1,4,-1,2,5,-1,2,5,-1,2,5,-1,2,5,-1,2,5,-1,5,-1,2,0.166666667
80,Romania,Europe,36,362.19,II,1,24500,0.811,0,7.32354732,NA,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,NA,0,NQ,NQ,NQ,NA,NQ,1,1,1,-1,0,1,0,0,0,0.75,0,0,0,0,0,0,4,5,3,6,4,2,6,6,4,3,3,3,3,2,4,6,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,-1,0,0,4,-1,1,2,1,3,0,2,0,3,4,0,4,0,1,5,0,1,4,0,1,4,0,5,0,2,3,0,2,4,0,3,3,0,1,3,0,2,4,0,4,0,2,0.384615385
81,Romania,Europe,30,381.15,II,1,24500,0.811,7.360233078,42.03975844,NA,0,0,0,1,-1,0,1,0,0,1,1,0,0,0,0,0,-1,NA,0,NQ,NQ,NQ,NA,NQ,0,1,1,-1,1,-1,1,0,NA,0,0,0,0,0,0,0,4,6,3,3,5,2,5,6,3,3,6,5,2,2,2,6,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,3,0,1,5,0,4,0,4,0,3,4,0,2,1,1,5,0,1,5,0,1,4,1,5,0,2,4,0,2,3,-1,1,4,0,3,4,0,3,5,0,5,0,1,0.071428571
82,Hungary,Europe,21,593.7,V,0,29500,0.838,0,10.87972462,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,NQ,NQ,NQ,0,NQ,1,1,-1,1,1,0,0,1,1,0.5,0,0,0,0,0,0,3,4,4,4,4,5,5,5,3,3,4,4,3,4,3,5,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,NA,0,0,-1,NA,0,1,0,0,-1,3,0,1,1,1,3,0,4,0,3,3,0,2,1,3,2,0,1,4,1,3,2,1,3,0,1,3,0,3,2,1,3,4,-1,2,2,1,3,5,0,2,1,2,0.666666667
83,Uganda,Africa,25,766,II,1,2400,0.516,0,11.23892537,1,1,1,1,-1,1,1,1,1,1,1,0,1,-1,1,0,1,1,1,1,-1,1,0,-1,1,1,1,-1,1,NQ,1,1,-1,1,1,1,1,0,0,1,1,2,3,2,2,2,3,3,3,2,2,2,3,1,1,1,3,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,-1,0,3,-1,3,5,-1,5,-1,4,-1,2,4,-1,3,0,3,3,0,1,3,0,1,2,1,4,0,1,4,-1,2,4,-1,2,4,-1,2,3,0,3,4,0,5,-1,2,0.68
84,Uganda,Africa,27,327,II,1,2400,0.516,2.273496804,23.90290839,-1,-1,-1,-1,1,-1,-1,0,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,0,1,1,1,-1,1,NQ,1,1,-1,1,1,1,1,-1,1,1,1,1,2,1,3,2,4,6,6,1,2,2,2,3,5,2,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,-1,0,5,0,2,5,0,5,0,5,0,2,5,0,NA,NA,NA,5,0,2,NA,NA,NA,5,0,NA,NA,NA,5,0,2,NA,NA,NA,5,0,2,5,0,2,NA,NA,NA,NA,NA,0.315789474
85,Slovakia,Europe,69,738,II,1,33000,0.855,2.797439074,51.89521872,NA,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NQ,NQ,NQ,0,NQ,1,1,-1,1,NA,0,1,0,1,0.75,0,0,0,0,0,0,4,4,3,5,4,3,5,5,4,5,3,2,3,2,2,2,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,1,1,0,4,0,1,3,1,4,0,3,0,2,3,1,1,1,3,2,1,3,2,1,1,2,1,5,0,NA,3,0,2,2,1,3,4,0,2,4,0,2,5,0,2,1,2,0.16
86,Kenya,Africa,70,13747,II,1,3500,0.59,0,0.682516385,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-1,0,-1,1,1,0,1,1,1,0,0,NQ,0,1,NA,1,0.2,0,0,0,0,0,1,2,2,2,5,6,2,6,3,2,2,2,2,1,1,2,5,2,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,5,0,2,5,1,5,0,3,-1,2,4,-1,5,0,2,3,1,1,3,0,2,1,1,NA,NA,NA,3,-1,2,4,-1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1
87,Chad,Africa,44,1136,IV,0,2400,0.404,21.46005147,40.26563626,1,1,1,NA,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,1,0,NA,NA,1,-1,NQ,1,0,0,0,0.333333333,0,NA,0,0,0,0,2,2,2,2,2,2,5,2,2,5,5,5,3,2,2,2,5,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,-1,1,1,1,1,0,1,1,1,1,0,1,1,2,NA,NA,NA,NA,2,0,2,2,1,NA,NA,NA,NA,NA,NA,3,1,2,3,0,NA,NA,NA,2,1,2,NA,NA,NA,3,1,1,5,0,2,NA,NA,3,0,2,0.235294118
88,Poland,Europe,23,194.39,II,1,29500,0.865,3.673296476,47.01727249,NA,-1,-1,0,0,0,0,0,0,1,1,0,0,-1,1,1,0,-1,NA,0,NQ,NQ,NQ,NA,NQ,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,5,4,3,5,2,5,5,2,3,5,5,2,2,2,5,4,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,NA,1,-1,NA,1,1,NA,-1,NA,4,1,1,3,0,1,1,5,0,3,4,-1,3,0,2,2,1,1,4,0,1,5,1,5,0,3,4,0,3,5,-1,1,5,0,2,5,0,NA,NA,NA,1,NA,2,-0.055555556
89,South Africa,Africa,87,1642,not reported,0,12294.88,0.699,0,37.94197926,NA,1,0,0,1,-1,0,0,0,1,1,1,0,1,-1,1,0,1,1,1,1,-1,1,1,1,1,1,1,-1,NQ,NA,1,NA,NA,1,0,0,1,1,0,0,3,5,5,1,6,4,6,5,1,1,2,2,1,1,1,6,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,NA,NA,0,-1,0,NA,NA,1,1,1,1,1,2,1,3,0,3,2,1,2,1,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2,1,2,NA,NA,NA,2,1,2,3,1,3,NA,NA,NA,NA,NA,0.625
90,Austria,Europe,16,110,II,1,49900,0.939,2.840977144,80.74010493,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,-1,NA,1,NQ,NQ,NQ,-1,NQ,1,1,0,0,0,0,1,-1,0,0.75,0,0,1,0,0,0,2,3,3,4,4,2,5,5,1,2,2,1,1,1,1,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,-1,NA,0,NA,1,0,NA,5,0,1,3,1,5,-1,5,1,1,5,0,3,1,1,2,0,1,5,0,1,2,1,5,-1,1,5,0,1,5,0,1,4,0,2,5,0,1,5,0,5,0,2,0.24
91,Hungary,Europe,21,606.75,V,0,29500,0.838,0,1.235595046,0,0,0,0,0,0,0,0,0,-1,0,NA,0,1,-1,-1,0,1,NA,0,NQ,NQ,NQ,0,NQ,1,1,-1,1,1,1,1,NA,0,0.75,0,NA,0,NA,0,NA,4,4,4,4,6,6,6,6,3,5,6,6,6,5,6,2,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,4,0,1,3,1,2,0,5,0,2,4,1,4,1,1,3,1,3,3,1,1,2,1,4,0,1,1,1,1,2,1,1,4,0,3,4,0,3,NA,NA,1,1,2,0.222222222
92,Cameroon,Africa,37,5260,UNSCO,0,3700,0.556,0.925148463,63.19426318,1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NQ,0,1,NA,0,0,0,0,0,0,0,0,5,2,2,1,5,1,1,1,1,2,1,1,3,2,1,4,6,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,2,0,2,5,0,4,0,4,0,2,NA,NA,3,0,2,5,0,2,4,0,2,5,0,4,-1,2,2,0,2,3,0,2,5,0,3,4,0,2,5,0,5,0,2,0.178571429
93,Austria,Europe,18,13.3,V,0,49900,0.939,6.785854329,56.96082206,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,NA,1,NQ,NQ,NQ,-1,NQ,1,1,0,0,0,0,0,1,1,0.75,1,0,1,1,1,1,2,1,2,3,2,3,5,5,1,4,1,1,1,1,2,1,2,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,NA,NA,1,1,NA,1,0,NA,0,0,5,0,1,4,-1,2,-1,NA,NA,NA,4,1,5,0,2,4,0,1,4,-1,1,4,1,NA,NA,NA,3,0,1,NA,NA,NA,5,0,NA,4,-1,1,NA,NA,NA,NA,NA,0
94,Guinea,Africa,74,175,UNSCO,0,2000,0.459,0,30.77326936,NA,-1,0,0,1,-1,1,0,0,1,1,1,1,0,0,-1,1,1,1,0,1,-1,1,1,1,1,1,0,0,NQ,0,0,1,0,0.6,1,1,1,1,0,1,2,2,3,1,3,2,3,1,2,6,1,6,2,1,1,5,6,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,-1,1,1,1,1,1,0,0,-1,0,0,1,1,1,3,0,5,0,2,0,2,5,0,5,0,1,3,1,1,2,1,2,1,1,2,0,2,2,1,2,4,0,2,4,0,2,3,0,2,NA,NA,5,-1,2,-0.785714286
95,South Africa,Africa,9,1570,not reported,0,12294.88,0.699,0,4.956856384,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,1,1,-1,1,1,1,1,1,1,-1,NQ,1,1,NA,NA,1,0,1,0,1,0,0,4,2,3,2,4,5,5,5,4,3,5,5,3,5,2,5,5,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,-1,0,0,0,NA,NA,0,0,1,-1,NA,3,1,3,2,1,4,0,2,1,3,1,1,2,1,3,3,1,1,2,1,3,2,1,2,1,1,3,1,2,4,1,2,2,0,3,2,1,3,NA,NA,3,1,2,0.333333333
96,Hungary,Europe,33,202,II,1,29500,0.838,0,30.51735157,0,0,0,0,1,-1,NA,NA,0,1,1,1,0,0,0,1,1,-1,NA,0,NQ,NQ,NQ,1,NQ,1,1,-1,1,-1,0,1,1,-1,0.5,0,1,1,1,1,NA,3,5,3,4,4,2,5,5,2,4,3,3,2,2,2,4,2,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1,3,1,0,3,0,2,0,2,3,-1,4,0,2,3,0,1,4,-1,1,2,1,3,1,1,3,0,1,3,1,1,4,0,1,4,0,1,NA,NA,2,1,2,0.6
97,Sierra Leone,Africa,8,710.7,II,1,1600,0.419,0,31.88466824,1,1,1,0,1,-1,1,1,1,1,1,1,1,-1,1,0,1,-1,1,1,0,0,0,0,0,1,1,1,-1,NQ,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,3,6,2,3,3,5,3,2,2,2,4,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,0,0,0,-1,-1,1,3,-1,2,2,1,4,0,3,-1,2,3,-1,2,1,2,2,0,1,4,0,2,2,0,2,1,2,1,1,2,3,0,2,2,1,3,3,0,1,5,0,4,0,2,0.176470588
98,South Africa,Africa,81,284,not reported,0,12294.88,0.699,4.769367614,6.492026973,NA,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,-1,1,NA,1,1,1,1,-1,NQ,0,1,NA,NA,0.8,0,0,1,0,1,0,2,2,1,2,2,6,5,5,2,5,3,3,2,2,2,5,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,NA,NA,NA,NA,NA,1,NA,NA,4,0,2,3,-1,2,1,4,0,2,5,0,4,0,2,5,0,3,5,0,2,2,1,5,0,NA,5,0,2,5,0,2,5,0,2,5,0,2,5,0,5,0,2,0.777777778
99,Tunisia,Africa,38,126,UNSCO,0,11800,0.735,1.11426777,15.28023963,NA,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,NQ,0,0,0,0,-0.4,0,1,-1,0,0,1,4,4,2,3,4,5,6,6,5,5,6,6,4,3,2,6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,-1,-1,-1,0,-1,-1,0,0,0,2,1,2,4,0,1,1,5,0,2,2,1,3,0,2,3,0,1,4,0,1,2,1,3,0,1,2,1,2,4,0,2,3,0,2,2,1,2,5,0,2,1,2,-0.071428571
100,Spain,Europe,23,409.07,II,1,38300,0.891,9.948710812,58.60992613,NA,-1,0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,-1,NA,1,NQ,NQ,NQ,NA,NQ,1,1,-1,1,NA,NA,NA,0,NA,1,0,0,0,0,0,NA,1,6,3,6,2,1,6,6,1,2,1,1,2,5,5,3,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,-1,0,0,NA,0,0,0,5,0,2,2,1,NA,0,4,0,NA,5,0,5,0,2,5,0,2,5,0,2,4,0,5,0,2,2,0,1,5,0,2,5,0,2,5,0,2,5,0,5,0,1,0.294117647
