sp.code,Species name,Abundance,plot,LAT,LONG,YEAR
Trich.tuer,Trichomanes tuerkenheimii,0,GZ-02-uat_L1-0500,-1.780911,-59.269508,2012
Trich.vitt,Trichomanes vittaria,0,GZ-02-uat_L1-0500,-1.780911,-59.269508,2012
Tripl.spp,Triplophyllum sp.,1,GZ-02-uat_L1-0500,-1.780911,-59.269508,2012
Adian.argu,Adiantum argutum,1,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Adian.caye,Adiantum cajennense,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Adian.dolo,Adiantum dolosum,1,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Adian.glau,Adiantum glaucescens,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Adian.humi,Adiantum humile,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Adian.obli,Adiantum obliquum,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Adian.para.tuom,Adiantum paraense or Adiantum tuomistoanum,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Adian.peti,Adiantum petiolatum,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Adian.pulv,Adiantum pulverulentum,1,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Adian.term,Adiantum terminatum,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Adian.tome,Adiantum tomentosum,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Asple.laet,Asplenium laetum,1,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Bolbi.nico,Mickelia nicotianifolia,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Bolbi.semi,Bolbitis semipinnatifida,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Campy.repe,Campyloneurum repens,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Cyath.pung,Cyathea pungens,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
cyath.sp.3G,Cyathea sp.,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
cyath.sp.G,Cyathea sp.,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Cyclo.guia,Cyclodium guianensis,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Cyclo.meni,Cyclodium meniscioides,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Cyclo.semi,Cyclopeltis semicordata,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Danaea.lepr,Danaea leprieurii,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Danae.nodo,Danaea nodosa s.l.,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Danae.trif,Danaea trifoliata,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Dipla.cris,Diplazium cristatum,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Dipla.gran,Diplazium grandifolium,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Linds.lanc.f,Lindsaea falcata,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Linds.lanc.l,Lindsaea lancea,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Linds.sp9,Lindsaea sp.,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Lomag.guia,Mickelia guianensis,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
lomar.japur.prie,Lomariopsis japurensis or Lomariopsis prieuriana,1,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Lygod.volu,Lygodium volubile,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Metax.rost.s.l.,Metaxya rostrata s.l.,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Pityr.calo,Pityrogramma calomelanos,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Polyb.caud,Polybotrya caudata,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
Polyb.sess,Polybotrya sessilisora,0,GZ-02-uat_L1-1500,-1.780907,-59.260851,2012
