GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1312510025	2022-01-06 20:49:53.435585	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				X					Japan	JP	Hokkaido	JP-01							紋別市--シブノツナイ湖IBA (Monbetsu--Lake Shibunotsunai IBA)	L2385162	H	44.2444947	143.5504454	2016-02-10		obsr236597	S100256316	Incidental	P20	EBIRD					0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1153682441	2021-05-15 09:54:34.336306	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				X					Japan	JP	Hokkaido	JP-01							苫小牧市--ウトナイ湖サンクチュアリ (Tomakomai--Lake Utonai Sanctuary)	L7187790	H	42.7044579	141.7097631	2016-02-12	10:00:00	obsr1106799	S87971501	Traveling	P22	EBIRD	180	4.828		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS377429089	2022-03-02 13:33:08.958952	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				3					Japan	JP	Hokkaido	JP-01							羅臼村--羅臼漁港 (Rausu--Rausu Fishing Port)	L1557969	H	44.0191736	145.1954601	2016-02-11	14:30:00	obsr206965	S27852532	Incidental	P20	EBIRD				11	0	G1619647	1	1	0		<br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS1002198186	2020-10-25 11:48:45	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				5					Japan	JP	Hokkaido	JP-01							別海町--野付半島-- ナラワラ (Betsukai--Notsuke Peninsula--Narawara)	L2384992	H	43.6089697	145.2747689	2016-02-10	11:00:00	obsr675279	S75383632	Traveling	P22	EBIRD	90	8.047		2	1	G5840449	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS377071261	2021-03-15 17:09:05.007321	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				2					Japan	JP	Hokkaido	JP-01							別海町--野付半島ネイチャーセンター (Betsukai--Notsuke Peninsula Nature Center)	L1557838	H	43.5902489	145.3350610	2016-02-12	14:20:00	obsr122516	S27825107	Traveling	P22	EBIRD	90	19.999		10	1	G1619644	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS377071291	2022-03-02 13:33:08.958952	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				3					Japan	JP	Hokkaido	JP-01							羅臼村--羅臼漁港 (Rausu--Rausu Fishing Port)	L1557969	H	44.0191736	145.1954601	2016-02-11	14:30:00	obsr122516	S27825110	Incidental	P20	EBIRD				11	0	G1619647	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS377428962	2021-03-15 17:09:05.007321	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				2					Japan	JP	Hokkaido	JP-01							別海町--野付半島ネイチャーセンター (Betsukai--Notsuke Peninsula Nature Center)	L1557838	H	43.5902489	145.3350610	2016-02-12	14:20:00	obsr206965	S27852522	Traveling	P22	EBIRD	90	19.999		10	1	G1619644	0	1	0		<br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS682305725	2019-05-21 09:46:44	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				X					Japan	JP	Hokkaido	JP-01							別海町--野付半島ネイチャーセンター (Betsukai--Notsuke Peninsula Nature Center)	L1557838	H	43.5902489	145.3350610	2016-02-15	10:00:00	obsr835888	S50387030	Historical	P62	EBIRD	180	8.000		1	0		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS373315213	2018-04-07 20:05:14	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				30					Japan	JP	Hokkaido	JP-01							根室市--風蓮湖--レイクサンセット (Nemuro--Lake Furen--Lake Sunset (sea-eagle feeding site))	L3456577	H	43.2634598	145.4618329	2016-02-14	09:59:00	obsr152472	S27501073	Incidental	P20	EBIRD				1	0	G1619635	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS377071239	2017-02-03 11:41:51	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				2					Japan	JP	Hokkaido	JP-01							羅臼村--羅臼漁港 (Rausu--Rausu Fishing Port)	L1557969	H	44.0191736	145.1954601	2016-02-13	07:45:00	obsr122516	S27825106	Incidental	P20	EBIRD				11	0	G1619643	0	1	0				
