2	107
3	38
4	363
5	335
6	1805
7	40
9	434
10	585
11	571
12	1550
13	466
14	508
15	87
16	6
17	25
18	659
19	654
20	766
21	1062
22	1164
23	762
24	357
25	153
26	189
27	11
28	4
29	11
30	118
31	457
32	506
33	576
34	808
35	1411
36	1138
37	556
38	120
39	5
40	6
41	4
42	82
43	15
44	51
45	396
46	684
47	535
48	1542
49	2538
50	2224
51	327
52	12
53	155
54	297
55	357
56	512
57	1728
58	2163
59	859
60	932
61	322
62	19
63	117
64	371
65	4
66	14
67	190
68	375
69	469
70	2036
71	460
72	624
73	427
74	415
75	94
76	196
77	58
78	10
79	10
80	4
81	5
82	569
83	596
84	2262
85	97
86	131
87	551
88	118
89	199
90	9
91	32
92	5
93	63
94	959
95	257
96	1166
97	757
98	53
99	35
100	421
101	692
102	1497
103	820
104	1002
105	573
106	88
107	120
108	180
109	62
110	27
111	279
112	925
113	446
114	224
115	310
116	46
117	165
118	408
119	751
120	764
121	612
122	633
123	92
124	49
125	84
126	1009
127	642
128	93
129	47
132	226
133	851
134	847
135	678
136	677
137	381
138	357
139	214
140	185
141	559
142	779
143	888
144	809
145	703
146	442
147	1040
148	760
149	374
150	176
151	65
152	20
153	4
155	6
156	377
157	1164
158	867
159	149
160	656
161	158
162	293
163	279
164	265
165	333
166	529
167	469
168	541
169	636
170	895
171	875
172	1060
173	279
174	263
175	316
176	344
177	196
178	21
179	891
180	351
181	107
182	354
183	970
184	1141
185	601
186	675
187	514
188	56
189	641
190	1053
191	829
192	946
193	540
194	613
195	364
196	286
197	175
198	60
199	465
200	939
201	549
202	983
203	1003
204	598
205	15
206	5
207	750
208	950
209	1704
210	101
211	104
212	204
213	454
214	567
215	386
216	771
217	1026
218	248
219	451
220	893
221	807
222	1012
223	768
224	977
225	646
226	620
227	349
228	195
229	1062
230	830
231	786
232	680
233	843
234	1869
235	3413
236	388
237	2900
238	2137
239	756
240	60
241	127
242	149
243	784
244	595
245	420
246	600
247	620
248	614
249	444
250	644
251	763
252	792
253	379
254	994
255	1635
256	1431
257	3602
258	2654
259	2323
260	663
261	685
262	1335
263	4333
264	4256
265	3783
266	3569
267	2659
268	4
269	45
270	96
271	243
272	104
273	481
274	604
275	546
276	711
277	547
278	639
279	990
280	878
281	825
282	952
283	1321
284	2523
285	3387
286	2066
287	899
288	2424
289	2675
290	3652
291	3887
292	7057
293	5687
294	2390
295	989
296	1181
297	9
298	367
299	598
300	1020
301	705
302	523
303	371
304	400
305	1777
306	1230
307	767
308	714
309	926
310	524
311	569
312	373
313	599
314	1941
315	1868
316	3703
317	3033
318	980
319	704
320	139
321	192
322	949
323	543
324	870
325	1522
326	1299
327	802
328	598
329	332
330	391
331	214
332	1119
333	2895
334	3953
335	3008
336	2113
337	437
338	638
339	1182
340	1378
341	1321
342	258
343	17
344	311
345	333
346	318
347	70
348	298
349	1820
350	1131
351	488
352	578
353	653
354	399
355	698
356	64
357	73
358	182
359	543
360	1253
361	1695
362	4175
363	4734
364	2803
365	1474
366	596
367	7
368	607
369	299
370	102
371	896
372	825
373	606
374	361
375	650
376	819
377	881
378	155
379	48
380	34
381	232
382	295
383	358
384	707
385	1585
386	2606
387	4290
388	741
389	1468
390	13
391	161
392	825
393	1051
394	734
395	911
396	403
397	448
398	451
399	97
400	51
401	425
402	781
403	898
404	1429
405	70
406	229
407	7453
408	3352
409	260
410	314
411	1213
412	841
413	1146
414	37
415	4
416	578
417	370
418	49
419	83
420	875
421	187
422	469
423	76
424	162
425	1010
426	3212
427	696
428	1624
429	109
430	30
431	587
432	355
433	45
434	930
435	989
436	544
437	390
438	144
439	17
440	10
441	228
442	31
443	225
444	116
445	106
446	91
447	473
448	857
449	829
450	447
451	193
452	181
453	6
454	32
455	355
456	1034
457	573
458	347
459	135
460	328
461	1059
462	379
463	403
464	49
465	417
466	1602
467	203
468	11
469	17
470	415
471	134
472	11
