date,UTC_time_day_location,satcount_day_location,hdop_day_location,speed_km_h,id_factor,UTC_time_night_location,lat_night_location,lon_night_location,used,lon_day_location,lat_day_location,species,crop_original_text,crop_category
04/08/2022,15:11:40,6,1,0,id_201845,00:11:40,59.1613,15.38614,1,15.39873,59.1614,crane,Havre,oat
07/08/2022,18:11:38,6,1,0,id_201845,00:11:39,59.16324,15.38835,1,15.39799,59.16151,crane,Havre,oat
23/07/2022,15:11:50,12,1,0,id_201845,00:11:51,59.16128,15.38565,1,15.39388,59.16134,crane,Havre,oat
07/08/2022,11:11:40,7,1,0,id_201845,00:11:39,59.16324,15.38835,1,15.3957,59.14746,crane,Havre,oat
08/08/2022,11:12:09,10,1,0,id_201845,00:11:37,59.16125,15.38562,1,15.39809,59.16144,crane,Havre,oat
10/08/2022,04:11:34,8,1,0,id_201845,00:11:34,59.17897,15.40335,0,15.40674112,59.21890419,crane,Havre,oat
13/08/2022,11:11:35,5,1,0,id_201845,00:11:49,59.17271,15.41693,0,15.27595497,59.17265228,crane,Havre,oat
14/08/2022,16:11:32,5,2,0,id_201845,00:11:36,59.17288,15.41714,0,15.30180223,59.16476458,crane,Havre,oat
19/05/2022,16:13:15,6,1,0,id_201845,00:13:10,59.16463,15.39101,1,15.39892,59.16139,crane,Havre,oat
20/07/2022,16:11:53,9,1,0,id_201845,00:11:52,59.19833,15.63641,1,15.3975,59.16159,crane,Havre,oat
29/07/2022,16:11:50,5,1,0,id_201845,00:12:10,59.16604,15.39132,1,15.39832,59.16167,crane,Havre,oat
29/07/2022,12:13:04,10,1,0,id_201845,00:12:10,59.16604,15.39132,1,15.39702,59.16002,crane,Havre,oat
08/08/2022,10:11:36,6,1,0,id_201845,00:11:37,59.16125,15.38562,1,15.39801,59.16145,crane,Havre,oat
07/08/2022,09:11:37,7,1,0,id_201845,00:11:39,59.16324,15.38835,1,15.39523,59.14828,crane,Havre,oat
04/08/2022,18:11:40,9,1,0,id_201845,00:11:40,59.1613,15.38614,1,15.39709,59.16065,crane,Havre,oat
25/07/2022,12:11:48,7,1,0,id_201845,00:11:48,59.16117,15.38544,1,15.39425,59.16121,crane,Havre,oat
07/08/2022,16:11:44,5,1,0,id_201845,00:11:39,59.16324,15.38835,1,15.39573,59.1484,crane,Havre,oat
12/08/2022,05:11:34,6,1,0,id_201845,00:11:46,59.17852,15.39367,0,15.35380629,59.19583816,crane,Havre,oat
07/08/2022,17:11:37,11,1,0,id_201845,00:11:39,59.16324,15.38835,1,15.39626,59.14742,crane,Havre,oat
19/05/2022,15:12:50,5,1,0,id_201845,00:13:10,59.16463,15.39101,1,15.39511,59.15905,crane,Havre,oat
08/08/2022,17:11:42,8,1,0,id_201845,00:11:37,59.16125,15.38562,1,15.39795,59.16142,crane,Havre,oat
19/05/2022,18:12:47,7,1,0,id_201845,00:13:10,59.16463,15.39101,1,15.39528,59.15927,crane,Havre,oat
16/08/2022,16:11:36,4,2,0,id_201845,00:11:30,59.17173,15.41666,1,15.38605,59.18297,crane,Havre,oat
12/05/2022,16:12:56,6,1,0,id_201845,00:12:52,59.1641,15.39193,1,15.3989,59.16112,crane,Havre,oat
07/08/2022,18:11:38,6,1,0,id_201845,00:11:39,59.16324,15.38835,0,15.24032531,59.19591439,crane,Havre,oat
07/08/2022,07:11:38,10,1,0,id_201845,00:11:39,59.16324,15.38835,1,15.39612,59.14858,crane,Havre,oat
19/05/2022,17:12:47,7,1,0,id_201845,00:13:10,59.16463,15.39101,1,15.39729,59.16136,crane,Havre,oat
08/08/2022,18:11:51,7,1,0,id_201845,00:11:37,59.16125,15.38562,1,15.39827,59.16144,crane,Havre,oat
07/08/2022,10:11:38,5,2,0,id_201845,00:11:39,59.16324,15.38835,1,15.39518,59.14795,crane,Havre,oat
08/08/2022,17:11:42,8,1,0,id_201845,00:11:37,59.16125,15.38562,0,15.39571191,59.19910117,crane,Havre,oat
25/07/2022,14:11:49,6,1,0,id_201845,00:11:48,59.16117,15.38544,1,15.39419,59.16119,crane,Havre,oat
21/07/2022,15:11:52,11,1,0,id_201845,00:12:20,59.16132,15.38469,1,15.39822,59.16146,crane,Havre,oat
07/08/2022,08:11:38,7,1,0,id_201845,00:11:39,59.16324,15.38835,1,15.39615,59.14898,crane,Havre,oat
04/08/2022,15:11:40,6,1,0,id_201845,00:11:40,59.1613,15.38614,0,15.34112236,59.2026424,crane,Vete (host),wheat
19/05/2022,15:12:50,5,1,0,id_201845,00:13:10,59.16463,15.39101,0,15.26554811,59.2209566,crane,Vete (host),wheat
05/08/2022,05:12:10,12,1,0,id_201845,00:11:44,59.16148,15.38565,0,15.25237768,59.19531043,crane,Vete (host),wheat
23/07/2022,14:11:58,5,2,0,id_201845,00:11:51,59.16128,15.38565,0,15.29208221,59.18618759,crane,Vete (host),wheat
16/08/2022,08:11:31,6,1,0,id_201845,00:11:30,59.17173,15.41666,0,15.37424203,59.14271884,crane,Vete (host),wheat
12/08/2022,08:11:33,10,1,2,id_201845,00:11:46,59.17852,15.39367,0,15.30641102,59.13145622,crane,Vete (host),wheat
23/07/2022,15:11:50,12,1,0,id_201845,00:11:51,59.16128,15.38565,0,15.33372994,59.21108134,crane,Vete (host),wheat
25/07/2022,09:27:09,8,1,0,id_201845,00:11:48,59.16117,15.38544,0,15.29685413,59.15921869,crane,Vete (host),wheat
08/08/2022,10:11:36,6,1,0,id_201845,00:11:37,59.16125,15.38562,0,15.28482469,59.16406629,crane,Vete (host),wheat
07/08/2022,03:11:38,9,1,0,id_201845,00:11:39,59.16324,15.38835,1,15.39977,59.14612,crane,Vete (host),wheat
07/08/2022,03:11:38,9,1,0,id_201845,00:11:39,59.16324,15.38835,0,15.42740502,59.17975078,crane,Vete (host),wheat
19/05/2022,16:13:15,6,1,0,id_201845,00:13:10,59.16463,15.39101,0,15.39993184,59.19623303,crane,Vete (host),wheat
08/08/2022,18:11:51,7,1,0,id_201845,00:11:37,59.16125,15.38562,0,15.28996414,59.18548827,crane,Vete (host),wheat
12/08/2022,07:11:34,5,1,0,id_201845,00:11:46,59.17852,15.39367,0,15.41100986,59.20501314,crane,Vete (host),wheat
21/05/2022,09:12:48,5,1,2,id_201845,00:12:45,59.16385,15.38712,0,15.40293062,59.19527044,crane,Vete (host),wheat
09/05/2022,18:13:22,6,1,0,id_201845,00:13:39,59.16445,15.39164,0,15.25563753,59.17884298,crane,Vete (host),wheat
19/05/2022,18:12:47,7,1,0,id_201845,00:13:10,59.16463,15.39101,0,15.35756247,59.14048163,crane,Vete (host),wheat
01/08/2022,19:11:43,13,1,0,id_201845,00:11:43,59.17974,15.40463,0,15.34364401,59.14860815,crane,Vete (host),wheat
01/08/2022,18:11:42,11,1,0,id_201845,00:11:43,59.17974,15.40463,0,15.36657978,59.14702817,crane,Vete (host),wheat
02/08/2022,18:12:10,14,1,0,id_201845,00:11:42,59.17992,15.40398,0,15.24487904,59.18328732,crane,Vete (host),wheat
25/07/2022,16:11:50,5,1,0,id_201845,00:11:48,59.16117,15.38544,0,15.35071725,59.19711234,crane,Vete (var),wheat
01/08/2022,17:26:42,13,1,0,id_201845,00:11:43,59.17974,15.40463,0,15.23496347,59.20659255,crane,Vete (var),wheat
12/08/2022,17:11:33,6,1,0,id_201845,00:11:46,59.17852,15.39367,0,15.41827503,59.19233489,crane,Vete (var),wheat
14/08/2022,06:11:40,6,1,0,id_201845,00:11:36,59.17288,15.41714,0,15.33575664,59.17029827,crane,Vete (var),wheat
14/08/2022,07:11:36,6,1,2,id_201845,00:11:36,59.17288,15.41714,0,15.33503208,59.18131538,crane,Vete (var),wheat
13/05/2022,05:12:51,6,1,0,id_201845,00:12:52,59.16458,15.39091,1,15.40506,59.16005,crane,Vete (var),wheat
21/05/2022,09:12:48,5,1,2,id_201845,00:12:45,59.16385,15.38712,1,15.42712,59.18378,crane,Vete (var),wheat
16/08/2022,12:11:29,7,1,0,id_201845,00:11:30,59.17173,15.41666,0,15.35164713,59.19326144,crane,Vete (var),wheat
09/05/2022,09:12:54,9,1,0,id_201845,00:13:39,59.16445,15.39164,1,15.39963,59.16132,crane,Vete (var),wheat
11/05/2022,18:13:28,7,1,1,id_201845,00:13:18,59.16566,15.39208,0,15.26619778,59.16953046,crane,Vete (var),wheat
24/07/2022,06:11:49,10,1,0,id_201845,00:11:51,59.16126,15.38583,0,15.366131,59.17272746,crane,Vete (var),wheat
08/08/2022,11:12:09,10,1,0,id_201845,00:11:37,59.16125,15.38562,0,15.32313073,59.17704763,crane,Vete (var),wheat
11/08/2022,16:11:34,10,1,0,id_201845,00:11:41,59.17251,15.41642,0,15.36911258,59.1532296,crane,Vete (var),wheat
13/08/2022,05:12:04,7,1,0,id_201845,00:11:49,59.17271,15.41693,0,15.32713821,59.18049334,crane,Vete (var),wheat
11/05/2022,04:12:52,8,1,1,id_201845,00:13:18,59.16566,15.39208,1,15.40047,59.15799,crane,Vete (var),wheat
12/05/2022,05:12:53,6,1,0,id_201845,00:12:52,59.1641,15.39193,1,15.39984,59.15989,crane,Vete (var),wheat
02/08/2022,04:11:42,8,1,1,id_201845,00:11:42,59.17992,15.40398,1,15.42398,59.20706,crane,Vete (var),wheat
16/08/2022,09:11:29,10,1,0,id_201845,00:11:30,59.17173,15.41666,1,15.42115,59.20784,crane,Vete (var),wheat
19/05/2022,17:12:47,7,1,0,id_201845,00:13:10,59.16463,15.39101,0,15.32382197,59.17843115,crane,Vete (var),wheat
11/05/2022,17:12:53,7,1,0,id_201845,00:13:18,59.16566,15.39208,1,15.40191,59.15837,crane,Vete (var),wheat
12/05/2022,03:13:28,9,1,2,id_201845,00:12:52,59.1641,15.39193,1,15.40512,59.15988,crane,Vete (var),wheat
12/05/2022,04:12:52,6,1,0,id_201845,00:12:52,59.1641,15.39193,1,15.40531,59.15915,crane,Vete (var),wheat
09/05/2022,18:13:22,6,1,0,id_201845,00:13:39,59.16445,15.39164,1,15.40486,59.16143,crane,Vete (var),wheat
25/07/2022,14:11:49,6,1,0,id_201845,00:11:48,59.16117,15.38544,0,15.36240632,59.17389045,crane,Vete (var),wheat
07/08/2022,16:11:44,5,1,0,id_201845,00:11:39,59.16324,15.38835,0,15.33989471,59.1690439,crane,Vete (var),wheat
13/05/2022,03:13:01,5,2,0,id_201845,00:12:52,59.16458,15.39091,1,15.40538,59.15948,crane,Vete (var),wheat
07/08/2022,07:11:38,10,1,0,id_201845,00:11:39,59.16324,15.38835,0,15.36529583,59.17533524,crane,Vete (var),wheat
13/05/2022,05:12:51,6,1,0,id_201845,00:12:52,59.16458,15.39091,0,15.41000311,59.18670436,crane,Vete (var),wheat
07/08/2022,09:11:37,7,1,0,id_201845,00:11:39,59.16324,15.38835,0,15.26407893,59.16679639,crane,Vete (var),wheat
12/08/2022,18:11:35,6,2,0,id_201845,00:11:46,59.17852,15.39367,0,15.42127352,59.18533796,crane,Vete (var),wheat
16/08/2022,08:11:31,6,1,0,id_201845,00:11:30,59.17173,15.41666,1,15.4208,59.20744,crane,Vete (var),wheat
09/05/2022,13:12:54,7,1,0,id_201845,00:13:39,59.16445,15.39164,1,15.39997,59.16101,crane,Vete (var),wheat
11/05/2022,18:13:28,7,1,1,id_201845,00:13:18,59.16566,15.39208,1,15.40057,59.15767,crane,Vete (var),wheat
12/05/2022,12:12:56,4,2,0,id_201845,00:12:52,59.1641,15.39193,1,15.40106,59.1605,crane,Vete (var),wheat
03/08/2022,19:11:49,8,1,0,id_201845,00:11:40,59.17944,15.40395,0,15.35561178,59.19211104,crane,Vete (var),wheat
11/05/2022,03:12:57,4,2,1,id_201845,00:13:18,59.16566,15.39208,1,15.40222,59.15986,crane,Vete (var),wheat
21/07/2022,15:11:52,11,1,0,id_201845,00:12:20,59.16132,15.38469,0,15.33193917,59.20364935,crane,Ragvete (host),rye_triticale
25/07/2022,03:11:52,5,2,0,id_201845,00:11:48,59.16117,15.38544,0,15.31582013,59.17233418,crane,Ragvete (host),rye_triticale
10/08/2022,05:11:34,6,1,0,id_201845,00:11:34,59.17897,15.40335,0,15.38053179,59.18763801,crane,Ragvete (host),rye_triticale
11/05/2022,04:12:52,8,1,1,id_201845,00:13:18,59.16566,15.39208,0,15.38733942,59.20524562,crane,Ragvete (host),rye_triticale
05/08/2022,04:11:40,7,1,0,id_201845,00:11:44,59.16148,15.38565,1,15.392,59.18485,crane,Ragvete (host),rye_triticale
13/08/2022,08:11:49,7,2,0,id_201845,00:11:49,59.17271,15.41693,0,15.29495833,59.17589042,crane,Rag,rye_triticale
29/07/2022,16:11:50,5,1,0,id_201845,00:12:10,59.16604,15.39132,0,15.38301402,59.18570866,crane,Blandsad (strasadesblandningar),other
11/08/2022,13:11:34,11,1,0,id_201845,00:11:41,59.17251,15.41642,0,15.34361006,59.1591904,crane,Raps (host),other
03/08/2022,17:11:41,13,1,0,id_201845,00:11:40,59.17944,15.40395,0,15.27848699,59.1626088,crane,Raps (host),other
12/05/2022,03:13:28,9,1,2,id_201845,00:12:52,59.1641,15.39193,0,15.42742201,59.19307903,crane,Raps (var),other
09/05/2022,13:12:54,7,1,0,id_201845,00:13:39,59.16445,15.39164,0,15.3326671,59.20880607,crane,Ragvete (var),rye_triticale
14/08/2022,17:11:39,5,1,0,id_201845,00:11:36,59.17288,15.41714,0,15.32153151,59.19435237,crane,arter (ej konservarter),bean_pea
08/08/2022,16:11:44,7,1,1,id_201845,00:11:37,59.16125,15.38562,0,15.30471467,59.13296784,crane,arter (ej konservarter),bean_pea
25/07/2022,12:11:48,7,1,0,id_201845,00:11:48,59.16117,15.38544,0,15.3643148,59.13919496,crane,arter (ej konservarter),bean_pea
09/08/2022,18:11:37,6,2,1,id_201845,00:11:36,59.1613,15.38533,0,15.36672172,59.13945373,crane,arter (ej konservarter),bean_pea
21/05/2022,10:13:10,9,1,0,id_201845,00:12:45,59.16385,15.38712,0,15.33417595,59.17471204,crane,Matpotatis,potatoe
21/05/2022,11:12:46,5,1,1,id_201845,00:12:45,59.16385,15.38712,1,15.43087,59.18352,crane,Matpotatis,potatoe
13/08/2022,10:11:38,6,1,0,id_201845,00:11:49,59.17271,15.41693,0,15.42074258,59.19783063,crane,Matpotatis,potatoe
21/05/2022,10:13:10,9,1,0,id_201845,00:12:45,59.16385,15.38712,1,15.42873,59.17981,crane,Matpotatis,potatoe
02/08/2022,04:11:42,8,1,1,id_201845,00:11:42,59.17992,15.40398,0,15.41876694,59.20168149,crane,Matpotatis,potatoe
12/05/2022,05:12:53,6,1,0,id_201845,00:12:52,59.1641,15.39193,0,15.32936692,59.17804864,crane,Matpotatis,potatoe
22/07/2022,18:11:51,5,1,0,id_201845,00:11:59,59.1613,15.38629,0,15.34279601,59.16666469,crane,Matpotatis,potatoe
25/07/2022,17:11:48,14,1,0,id_201845,00:11:48,59.16117,15.38544,1,15.39562,59.15654,crane,Slatter och betesvall pa akermark,ley
07/08/2022,17:11:37,11,1,0,id_201845,00:11:39,59.16324,15.38835,0,15.36565113,59.23402924,crane,Slatter och betesvall pa akermark,ley
10/08/2022,03:26:46,7,1,1,id_201845,00:11:34,59.17897,15.40335,0,15.40567589,59.19634568,crane,Slatter och betesvall pa akermark,ley
02/08/2022,17:11:42,10,1,0,id_201845,00:11:42,59.17992,15.40398,1,15.39265,59.18464,crane,Slatter och betesvall pa akermark,ley
16/08/2022,09:11:29,10,1,0,id_201845,00:11:30,59.17173,15.41666,0,15.2998322,59.13703632,crane,Slatter och betesvall pa akermark,ley
25/07/2022,03:11:52,5,2,0,id_201845,00:11:48,59.16117,15.38544,1,15.39654,59.15179,crane,Slatter och betesvall pa akermark,ley
11/05/2022,12:12:52,8,1,1,id_201845,00:13:18,59.16566,15.39208,0,15.34139928,59.19085947,crane,Slatter och betesvall pa akermark,ley
23/07/2022,14:11:58,5,2,0,id_201845,00:11:51,59.16128,15.38565,1,15.39642,59.15673,crane,Slatter och betesvall pa akermark,ley
01/08/2022,18:11:42,11,1,0,id_201845,00:11:43,59.17974,15.40463,1,15.38786,59.18585,crane,Slatter och betesvall pa akermark,ley
