ID;Snake_initiation_B1;Snake_movement_B1;Butterfly_initiation_B1;Butterfly_movement_B1;Snake_initiation_B2;Snake_movement_B2;Butterfly_initiation_B2;Butterfly_movement_B2;Snake_initiation_B3;Snake_movement_B3;Butterfly_initiation_B3;Butterfly_movement_B3;SNAQ;Gender;Age;Handedness;SNAQ_Group
125;0.175032469565849;0.78065211458344;0.208682286857981;0.660308191304268;0.23800489673899;0.816987655615958;0.20834005652179;0.816761925052247;0.165315778260976;0.783263726449267;0.178027828532595;0.782072416666549;7;2;25;2;0
127;0.239646938311924;0.463926424516722;0.213336091304328;0.432929055059373;0.313479091304306;0.431045787878902;0.322277839583269;0.445241522554143;0.268296627264524;0.425733178273948;0.283102377766514;0.427035575051714;;;;;
124;0.228699515217316;0.51542513695629;0.227534297916842;0.566741995833278;0.227865630871327;0.595490676679765;0.251359051539994;0.543471583333181;0.175286411857503;0.506568327667902;0.197690804709895;0.479903297463589;1;2;20;1;1
126;0.23375084565202;0.651133960416547;0.247739125633877;0.571241899209532;0.216869605525042;0.581287750000228;0.229980878169917;0.584576364402167;0.21980772083369;0.739331683333374;0.215969702083233;0.586236641666649;2;2;20;1;1
122;0.442357810227659;0.5569409583333;0.439858169474756;0.477063156422606;0.367393242424372;0.611868731249916;0.403441738134062;0.572305104150266;0.323970407336749;0.640446298097846;0.325034077083273;0.544412580632646;2;1;28;1;1
123;0.282825841666863;0.391518232970832;0.291975142209897;0.345807823912923;0.265089536552915;0.676515154166832;0.254083294886606;0.461853612500363;0.211378889402399;0.483340625452986;0.204114493749936;0.477787907065361;4;2;21;1;0
119;0.279924216666813;0.887443504347884;0.271393061742346;1.00005506428576;0.267324911775647;1.09747844999994;0.261079460416719;0.932078082156078;0.265048774818847;0.868772332007471;0.2267097367755;0.890218770750901;0;1;20;1;1
121;0.21818794230087;0.83751308352272;0.250427755253275;0.5419;0.196257618750072;0.797740625181195;0.228966369886269;0.797245095018008;0.199934300000133;0.5692;0.212890977083589;0.819120482427444;9;2;21;1;0
120;0.342731423912957;0.811094456521932;0.425613890908764;0.766679501136758;0.313665573913369;0.877401001720797;0.317962131423289;0.760589556068872;0.247404987500307;0.839387485177732;0.41229797500004;0.812732557349762;5;2;20;1;0
118;0.189366555525369;0.5151921666668;0.190452937319009;0.496151786309393;0.245598684782785;0.568473714393982;0.153002620833376;0.545378895652427;0.139277860779018;0.507816089854905;0.138739802083288;0.577896535416811;3;1;19;1;0
114;0.232846862500044;0.469323549184758;0.248911074365993;0.549963028754842;0.24439324999984;0.516813272916768;0.233688034090805;0.636760596590823;0.271195912499895;0.591115062500003;0.262967842662909;0.69524068333328;9;2;25;1;0
113;0.3144003041668;0.624374452083239;0.305625822916567;0.663863662499881;0.273320762228294;0.610226721590809;0.239347477083356;0.631791557065106;0.24931468333356;0.716787468750035;0.217631694268725;0.726571597348685;3;2;21;1;0
116;0.166011645535593;0.624662541213756;0.157177682065345;0.664524102536284;0.154465842844142;0.628252494565239;0.166938190513987;0.628861793387724;0.176093686594208;0.621923596467555;0.174299154347903;0.668219177083149;2;2;25;1;1
115;0.269767147916555;0.312528719886376;0.267958204166688;0.264222767391442;0.27554141041666;0.331347072010928;0.25533760416666;0.330456950000078;0.205658652083267;0.483762098641351;0.218634068750096;0.443843400000105;0;3;23;1;1
111;0.297342308876779;0.545568724456593;0.305762964130389;0.536244837499945;0.266363987499933;0.516063822916711;0.236941627717322;0.46821819545453;0.241039683333421;0.51104916739132;0.265571470833265;0.411547335416666;0;2;20;1;1
112;0.434084888586971;0.383161810326093;0.407353538677467;0.327396120833422;0.384830974999924;0.270095013043572;0.38841644166672;0.248984780072409;0.428993052355165;0.247047338636383;0.405270180072513;0.246261501778644;2;2;20;1;1
108;0.303689760869569;0.55222853349803;0.30031770380443;0.506684941757146;0.271652756340531;0.530930163257554;0.276856935416579;0.506905510054326;0.225929107608688;0.501932649909415;0.251724362862337;0.513991970833331;0;3;20;1;1
109;0.219486536660076;0.574266795779186;0.217592686050716;0.529893267234868;0.223910983333307;0.509635221829734;0.188573612500041;0.537706247554261;0.205923731159438;0.534541456974691;0.22758612028993;0.454670092687725;2;2;21;1;1
110;0.117483071022678;0.674259336931851;0.225928419112306;0.681392414945646;0.141960842028982;0.625463883333339;0.133891388960964;0.635870795833359;0.11032858954539;0.593174574366026;0.100406145561595;0.615246939130429;1;2;23;2;1
107;0.317689120198838;0.720822898701439;0.343573364583107;0.637794180797371;0.257791637500001;0.721822130434582;0.269235513134449;0.62275925815187;0.221435027083164;0.718735879348246;0.234102988315007;0.635536982386334;2;1;23;1;1
104;0.41732638125048;0.566108897331578;0.453749634469259;0.491743441304724;0.369431359821462;0.599330132608725;0.392463966666672;0.569210770075861;0.347557395833291;0.612865068012398;0.361229054734849;0.565236023913016;6;1;22;1;0
105;0.296004105253798;0.585242428787909;0.247770902808243;0.62619637083306;0.249890419202832;0.638213601515416;0.219140845924031;0.628026407007396;0.234846697916433;0.613889613446665;0.245461770018183;0.661563095454621;7;2;20;1;0
106;0.168665853030475;0.616280755162905;0.219568947916362;0.567482812681333;0.240602106159251;0.660409441213802;0.215778806250227;0.582466085416551;0.231625712499862;0.569202225757731;0.234431381250412;0.599842029257111;4;2;22;1;0
103;0.312791968750161;0.547249851630366;0.285531103351694;0.560069753894637;0.234648977083225;0.622151577898431;0.243024264583255;0.603843256249698;0.187872887549206;0.638793007699355;0.198013293749797;0.594307464229092;0;1;23;1;1
102;0.333171206249744;0.486581677083525;0.354871227461885;0.443861176877502;0.325525611956568;0.618100489583032;0.332928220265082;0.536988752083212;0.340727948369697;0.38874870612671;0.309366752083633;0.379132228260815;1;2;20;1;1
100;0.168663719999784;0.739481663405747;0.212730168686829;0.658035792633062;0.261583959225925;0.713097549405216;0.163228973517711;0.663610862944698;0.157285464723374;0.77283749399615;0.15087892391294;0.757258006003992;4;2;18;1;0
101;0.297151798419306;0.793152022727263;0.31784569012686;0.693577371739433;0.2070756612321;0.802715312953028;0.204570552470426;0.816715131883918;0.258235491304493;0.833117115217684;0.251718165217429;0.860921388949086;1;2;18;1;1
99;0.303489204619516;0.449628296428738;0.269295360672068;0.551119744927495;0.360446849275169;0.441876979545516;0.389451181250099;0.378132981818274;0.296046093749964;0.58962017708336;0.259549503853403;0.537878204644419;2;1;22;1;1
96;0.263822202083171;0.454331817992314;0.270640454166823;0.437554675633922;0.232115387500471;0.494078212590459;0.246084722916521;0.483782366666598;0.252493870833329;0.509416579981975;0.24133337708334;0.540078905887715;7;2;24;1;0
98;0.298042671344339;0.416221704734611;0.303287960416658;0.379579801539658;0.286134825000241;0.672;0.287736062499789;0.395518006249934;0.301328912047451;0.355622576086677;0.275999752264117;0.64441;4;2;20;1;0
97;0.252524839583505;0.450780430434742;0.228486331159435;0.467261715217398;0.23581020833338;0.480477311050617;0.259262893749867;0.475853581250097;0.250931607246411;0.563850139583261;0.269043416666666;0.514645956249902;1;3;20;1;1
91;0.254592324728243;0.556613224810548;0.254816487409398;0.529012321212152;0.239651456818161;0.537242779464436;0.222745583901634;0.606130714130622;0.210760230434773;0.493265552272703;0.208552382114824;0.542846042984054;3;1;19;1;0
89;0.25444438728276;0.509441811630265;0.261332532608756;0.482697684280293;0.256813300297694;0.479965468873538;0.251785111503771;0.556125464220872;0.240282682608504;0.472288776086948;0.221614047010956;0.4799507051383;8;2;21;1;0
93;0.244079532880473;0.782658615530272;0.265686109420501;0.734236643115728;0.21360259999975;0.757839788257662;0.194390265909243;0.754284849802019;;;;;10;2;20;1;0
95;0.185780775099;0.602287829841678;0.18966611159421;0.652705175395117;0.182094082251052;0.735684686749431;0.185232143025183;0.76216961098502;0.144467823616613;0.600795988392768;0.156848841666525;0.681431471286239;5;2;19;1;0
87;0.235417246780383;0.549722337878745;0.228817451894022;0.547584513043444;0.196685026383308;0.61432867472833;0.208196508695654;0.615073506884006;0.172893354800766;0.728068167210121;0.189718334510817;0.61767260565482;3;2;19;1;0
84;0.236378237499999;0.281566733102702;0.465823717119633;0.29487423278975;0.264675950000016;0.761575762499981;0.249322027717408;0.730872060597828;0.313015958695616;0.329855425271813;0.304102464583252;0.574056985416758;7;2;20;1;0
83;0.290198465851438;0.467093681027673;0.300886037500087;0.474068838825639;0.295532538446914;0.453704057246468;0.313363764130388;0.448833898418987;0.214577556249992;0.513273365036214;0.245411300000065;0.475672628442036;2;2;21;1;1
86;0.183647697916626;0.420101333876809;0.193501285416687;0.423628263043374;0.23882296231061;0.393735159469682;0.257388046480348;0.408395738095199;0.207611722348501;0.385785158497872;0.200772396467427;0.397147291098349;1;2;20;1;1
85;0.359789292481879;0.407162424637647;0.357213729166687;0.397440589583244;0.320507402083345;0.372326878532552;0.292590566666679;0.402929628359738;0.306442159980243;0.426002530434763;0.330024605797202;0.421631823550663;2;2;19;1;1
