Mpala structural data,,,,,,,,,,,,,Ilmotiok structural data,,,,,,,,
S/Transect,ALL,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol ,,,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol 
M1,M105,ACACBR,2.5,4.91,0.8,1.77,0.97,0.99,0.75,0.49,,,ACACTO,7.8,47.76,1.1,2.32,1.22,4.25,14.08,11.42
M1,M105,ACACET,8,50.24,1.2,3.6,2.4,2.23,3.9,6.25,,,ACACTO,15.3,183.76,0.86,2.87,2.01,6.42,32.29,43.17
M1,M105,ACACET,17.1,229.54,0.3,2.23,1.93,2.31,4.18,5.38,,,ACACME,20,314.00,1.22,3.11,1.89,5.29,20.22,25.48
M1,M105,ACACBR,2.6,5.31,0.9,1,0.1,0.8,0.43,0.03,,,ACACET,3.7,10.75,0.83,1.92,1.09,2.1,3.41,2.48
M1,M105,ACACBR,2.4,4.52,0.9,1.22,0.32,0.5,0.2,0.04,,,ACACTO,3.5,9.62,1.22,1.55,0.33,3.34,8.71,1.95
M1,M105,ACACET,8.5,56.72,3,3.46,0.46,1.95,2.93,0.9,,,ACACET,10.6,88.20,0.8,3.69,2.89,4.88,17.76,34.25
M1,M105,ACACET,14.2,158.29,2.8,3.37,0.57,1.63,2.04,0.77,,,ACACTO,3.6,10.17,0.87,1.59,0.72,2.5,4.85,2.31
M1,M105,ACACET,13.1,134.71,3.1,3.36,0.26,2.42,4.55,0.79,,,ACACME,17.7,245.93,1.2,4.82,3.62,7.29,41.53,100.13
M1,M105,ACACET,4,12.56,1.18,1.7,0.52,1.01,0.79,0.27,,,ACACME,7.4,42.99,0.8,3.38,2.58,2.72,5.8,9.99
M1,M105,ACACET,3,7.07,0.75,1.01,0.26,0.42,0.13,0.02,,,ACACME,15.5,188.60,0.9,3.84,2.94,6.75,34.34,67.33
M1,M105,ACACET,6.7,35.24,2.3,2.78,0.48,1.35,1.33,0.43,,,ACACME,5,19.63,0.66,1.83,1.17,2.13,3.53,2.75
M1,M105,ACACBR,1.6,2.01,0.87,1.43,0.56,0.4,0.12,0.04,,,ACACME,8.4,55.39,0.22,2.82,2.6,3.42,9.04,15.67
M1,M105,ACACET,7.8,47.76,1.1,2.41,1.31,2.27,4.03,3.52,,,ACACME,1.1,0.95,0.1,0.7,0.6,2.24,3.69,1.48
M1,M105,ACACBR,2.6,5.31,0.87,1.79,0.92,0.45,0.14,0.08,,,ACACME,2.1,3.46,0.2,0.8,0.6,1.29,1.28,0.51
M1,M105,ACACBR,1.5,1.77,0.8,1.12,0.32,0.6,0.28,0.06,,,ACACME,7.4,42.99,0.8,3.63,2.83,3.68,10.13,19.11
M1,M105,ACACBR,1.6,2.01,0.6,1.05,0.45,0.7,0.38,0.12,,,ACACME,5.3,22.05,0.22,1.82,1.6,2.68,5.6,5.98
M1,M105,ACACBR,2.5,4.91,0.6,2.1,1.5,1.1,0.94,0.94,,,ACACET,8.1,51.50,0.8,3.35,2.55,3.29,7.93,13.48
M1,M105,ACACBR,3.2,8.04,0.5,1.6,1.1,1.1,0.95,0.7,,,ACACME,13,132.67,0.5,3.5,3,2.95,6.59,13.19
M1,M105,ACACBR,2.5,4.91,0.6,1.2,0.6,0.45,0.16,0.06,,,ACACME,6.4,32.15,0.7,3.3,2.6,4.3,14.51,25.16
M1,M105,ACACBR,2,3.14,0.4,1.35,0.95,1.37,1.45,0.92,,,ACACME,11.1,96.72,1.1,3.9,2.8,5.55,24.18,45.14
M1,M105,ACACBR,2.8,6.15,0.85,1.66,0.81,2.31,4.16,2.25,,,ACACTO,2.6,5.31,0.3,1.1,0.8,1.5,1.57,0.84
M1,M105,ACACBR,2.4,4.52,0.54,1.17,0.63,0.67,0.35,0.15,,,ACACME,9.2,66.44,1,4.24,3.24,7.1,39.48,85.27
M1,M105,ACACBR,2.1,3.46,0.4,1.42,1.02,1,0.79,0.53,,,ACACME,6.4,32.15,0.9,3.8,2.9,3.67,10.49,20.28
M1,M105,ACACBR,1.8,2.54,1.6,1.7,0.1,0.49,0.18,0.01,,,ACACME,6.4,32.15,1,3.1,2.1,3.4,9.01,12.62
M1,M105,ACACBR,2.1,3.46,1,1.66,0.66,0.98,0.75,0.33,,,ACACME,12.3,118.76,1,4.71,3.71,5.58,24.44,60.45
M1,M105,ACACBR,3,7.07,0.5,1.5,1,1.09,0.93,0.62,,,ACACME,5.5,23.75,0.5,2.43,1.93,3.55,9.88,12.71
M1,M105,ACACBR,1.6,2.01,0.9,1.2,0.3,0.65,0.33,0.07,,,ACACME,13.6,145.19,1,4.51,3.51,5.55,24.12,56.44
M1,M105,ACACBR,2.2,3.80,0.4,0.9,0.5,0.8,0.5,0.17,,,ACACME,6.8,36.30,5.2,7.7,2.5,5.56,20.67,34.45
M1,M105,ACACBR,2,3.14,1.1,1.8,0.7,0.83,0.53,0.25,,,ACACME,11.5,103.82,0.2,3.66,3.46,5.38,20.61,47.53
M1,M105,ACACBR,2.2,3.80,0.8,1.4,0.6,0.7,0.38,0.15,,,ACACME,4.9,18.85,1.1,2.94,1.84,3.16,7.73,9.48
M1,M105,ACACBR,2.2,3.80,0.4,1.43,1.03,1.1,0.94,0.65,,,ACACME,8.2,52.78,0.04,3.93,3.89,5.25,21.58,55.96
M1,M105,ACACBR,3.1,7.54,1.24,1.38,0.14,0.95,0.71,0.07,,,ACACME,11.2,98.47,1.1,3.69,2.59,5.08,20.02,34.56
M1,M105,ACACBR,2.3,4.15,0.7,1.94,1.24,1.6,1.73,1.43,,,ACACME,9.7,73.86,0.7,3.2,2.5,4.38,14.84,24.73
M1,M105,ACACBR,1.4,1.54,0.8,0.9,0.1,0.95,0.69,0.05,,,ACACME,7.5,44.16,0.93,3.38,2.45,5.21,21.27,34.73
M1,M105,ACACBR,1.5,1.77,0.7,0.9,0.2,0.31,0.08,0.01,,,ACACME,5.5,23.75,1,2.78,1.78,3.06,7.32,8.69
M1,M105,ACACBR,1.6,2.01,1.16,1.22,0.06,0.2,0.03,0,,,ACACME,6.7,35.24,0.6,3.28,2.68,4.51,15.82,28.26
M1,M105,ACACBR,1.4,1.54,0.38,0.4,0.02,0.33,0.08,0,,,ACACME,9.5,70.85,0.4,3.55,3.15,3.44,8.42,17.69
