CCA Data Second - Il Motiok,,,,,,,,,,,,,,
217,plots,,,,,,,,,,,,,
14,variables,,,,,,,,,,,,,
,q,q,q,q,q,q,q,q,q,q,q,q,q,q
Plot,soil text,Slope,Alt,Soil  pH,Tot. N,Tot. C,K,Ca,Mg,Mn,Co,Fe,Zn,Na
L214,1,1,1670,0,0,0,0,0,0,0,0,0,0,0
L215,5,1,1672,0,0,0,0,0,0,0,0,0,0,0
L216,1,1,1658,8.58,0.11,1.11,0.24,16.9,2.07,0.06,1.63,112,6.31,1.82
L217,4,2,1679,0,0,0,0,0,0,0,0,0,0,0
L218,5,2,1673,0,0,0,0,0,0,0,0,0,0,0
L219,1,3,1666,0,0,0,0,0,0,0,0,0,0,0
L220,1,2,1655,0,0,0,0,0,0,0,0,0,0,0
L221,1,3,1677,8.22,0.12,1.16,1.14,9.7,3.99,0.06,4.33,59.4,5,0.98
L222,1,3,1679,0,0,0,0,0,0,0,0,0,0,0
L223,1,3,1683,0,0,0,0,0,0,0,0,0,0,0
L224,1,3,1684,0,0,0,0,0,0,0,0,0,0,0
L225,1,2,1690,0,0,0,0,0,0,0,0,0,0,0
L226,1,2,1685,6.87,0.1,0.93,0.78,3.9,2.77,0.47,1.81,48.6,5.91,0.38
L227,1,2,1684,0,0,0,0,0,0,0,0,0,0,0
L228,4,2,1679,0,0,0,0,0,0,0,0,0,0,0
L229,4,2,1682,0,0,0,0,0,0,0,0,0,0,0
L230,4,2,1684,0,0,0,0,0,0,0,0,0,0,0
L231,4,1,1682,5.76,0.11,1.06,0.56,2.4,2.46,0.37,1.92,56.8,13.3,0.2
L232,1,1,1684,0,0,0,0,0,0,0,0,0,0,0
L233,4,2,1683,0,0,0,0,0,0,0,0,0,0,0
L234,4,2,1683,0,0,0,0,0,0,0,0,0,0,0
L235,4,2,1680,0,0,0,0,0,0,0,0,0,0,0
L236,1,2,1681,5.82,0.08,0.81,0.9,2.7,1.38,0.35,1.92,51.1,11.1,0.22
L238,5,2,1681,0,0,0,0,0,0,0,0,0,0,0
L239,4,2,1681,0,0,0,0,0,0,0,0,0,0,0
L240,1,2,1681,0,0,0,0,0,0,0,0,0,0,0
L241,5,2,1678,5.7,0.06,0.54,0.6,2,1.21,0.37,1.8,21.7,11.2,0.18
L242,1,2,1676,0,0,0,0,0,0,0,0,0,0,0
L243,1,2,1676,0,0,0,0,0,0,0,0,0,0,0
L244,5,2,1675,0,0,0,0,0,0,0,0,0,0,0
L245,1,2,1674,0,0,0,0,0,0,0,0,0,0,0
L246,4,2,1675,5.55,0.07,0.67,0.8,2.9,1.99,0.52,1.76,17.4,7.24,0.24
