cond;plot;subplot;bare_soil;cov_woody;cov_n_woody
invaded;4;4;37.5;10;10
invaded;5;1;2.5;62.5;62.5
invaded;5;2;87.5;2.5;2.5
invaded;5;3;62.5;2.5;10
invaded;5;4;62.5;2.5;10
invaded;6;1;87.5;2.5;10
invaded;6;2;87.5;20;2.5
invaded;6;3;87.5;2.5;2.5
invaded;6;4;37.5;37.5;37.5
invaded;7;1;87.5;2.5;2.5
invaded;7;2;62.5;2.5;2.5
invaded;7;3;20;37.5;2.5
invaded;7;4;62.5;20;2.5
invaded;8;1;10;62.5;37.5
invaded;8;2;2.5;87.5;37.5
invaded;8;3;10;37.5;2.5
invaded;8;4;2.5;2.5;10
invaded;9;1;62.5;2.5;37.5
invaded;9;2;20;87.5;2.5
invaded;9;3;2.5;87.5;2.5
invaded;9;4;10;2.5;87.5
invaded;10;1;37.5;37.5;2.5
invaded;10;2;2.5;2.5;2.5
invaded;10;3;2.5;10;87.5
invaded;10;4;20;2.5;37.5
invaded;11;1;87.5;2.5;2.5
invaded;11;2;87.5;2.5;20
invaded;11;3;87.5;2.5;37.5
invaded;11;4;62.5;2.5;37.5
invaded;12;1;37.5;2.5;37.5
invaded;12;2;62.5;2.5;37.5
invaded;12;3;37.5;2.5;37.5
invaded;12;4;37.5;2.5;37.5
invaded;13;1;10;2.5;87.5
invaded;13;2;20;2.5;62.5
invaded;13;3;62.5;2.5;10
invaded;13;4;87.5;2.5;2.5
invaded;14;1;87.5;2.5;10
invaded;14;2;10;2.5;37.5
invaded;14;3;37.5;2.5;37.5
invaded;14;4;87.5;2.5;20
invaded;15;1;20;2.5;62.5
invaded;15;2;62.5;2.5;2.5
invaded;15;3;62.5;2.5;62.5
invaded;15;4;37.5;2.5;62.5
invaded;16;1;87.5;2.5;2.5
invaded;16;2;87.5;2.5;2.5
invaded;16;3;87.5;2.5;2.5
invaded;16;4;87.5;2.5;2.5
invaded;17;1;87.5;2.5;37.5
invaded;17;2;62.5;2.5;2.5
invaded;17;3;87.5;2.5;2.5
invaded;17;4;62.5;2.5;10
invaded;18;1;2.5;2.5;87.5
invaded;18;2;20;2.5;87.5
invaded;18;3;2.5;2.5;87.5
invaded;18;4;2.5;37.5;62.5
invaded;19;1;37.5;37.5;20
invaded;19;2;20;2.5;62.5
invaded;19;3;20;20;37.5
invaded;19;4;62.5;2.5;37.5
invaded;20;1;2.5;2.5;87.5
invaded;20;2;2.5;10;87.5
invaded;20;3;10;2.5;62.5
invaded;20;4;20;2.5;10
invaded;21;1;20;10;20
invaded;21;2;2.5;10;62.5
invaded;21;3;37.5;20;10
