"2"	"1"	2.00000
"2"	"2"	2.00000
"3"	"1"	2.00000
"3"	"2"	2.00000
"4"	"1"	2.00000
"4"	"2"	2.00000
"5"	"1"	2.00000
"5"	"2"	2.00000
"6"	"1"	2.00000
"6"	"2"	2.00000
"7"	"1"	2.00000
"7"	"2"	2.00000
"9"	"1"	2.00000
"9"	"2"	2.00000
"10"	"1"	2.00000
"10"	"2"	2.00000
"11"	"1"	2.00000
"11"	"2"	2.00000
"12"	"1"	2.00000
"12"	"2"	2.00000
"13"	"1"	2.00000
"13"	"2"	2.00000
"14"	"1"	2.00000
"14"	"2"	2.00000
"15"	"1"	2.00000
"15"	"2"	2.00000
"16"	"1"	2.00000
"16"	"2"	2.00000
"17"	"1"	2.00000
"17"	"2"	2.00000
"18"	"1"	2.00000
"18"	"2"	2.00000
"19"	"1"	2.00000
"19"	"2"	2.00000
"20"	"1"	2.00000
"20"	"2"	2.00000
"21"	"1"	2.00000
"21"	"2"	2.00000
"22"	"1"	2.00000
"22"	"2"	2.00000
"23"	"1"	2.00000
"23"	"2"	2.00000
"24"	"1"	2.00000
"24"	"2"	2.00000
"25"	"1"	2.00000
"25"	"2"	2.00000
"26"	"1"	2.00000
"26"	"2"	2.00000
"27"	"1"	2.00000
"27"	"2"	2.00000
"28"	"1"	2.00000
"28"	"2"	2.00000
"29"	"1"	2.00000
"29"	"2"	2.00000
"30"	"1"	2.00000
"30"	"2"	2.00000
"31"	"1"	2.00000
"31"	"2"	2.00000
"32"	"1"	2.00000
"32"	"2"	2.00000
"33"	"1"	2.00000
"33"	"2"	2.00000
"34"	"1"	2.00000
"34"	"2"	2.00000
"35"	"1"	2.00000
"35"	"2"	2.00000
"36"	"1"	2.00000
"36"	"2"	2.00000
"37"	"1"	2.00000
"37"	"2"	2.00000
"38"	"1"	2.00000
"38"	"2"	2.00000
"39"	"1"	2.00000
"39"	"2"	2.00000
"40"	"1"	2.00000
"40"	"2"	2.00000
"41"	"1"	2.00000
"41"	"2"	2.00000
"42"	"1"	2.00000
"42"	"2"	2.00000
"43"	"1"	2.00000
"43"	"2"	2.00000
"44"	"1"	2.00000
"44"	"2"	2.00000
"45"	"1"	2.00000
"45"	"2"	2.00000
"46"	"1"	2.00000
"46"	"2"	2.00000
"47"	"1"	2.00000
"47"	"2"	2.00000
"48"	"1"	2.00000
"48"	"2"	2.00000
"49"	"1"	2.00000
"49"	"2"	2.00000
"50"	"1"	2.00000
"50"	"2"	2.00000
"51"	"1"	2.00000
"51"	"2"	2.00000
"52"	"1"	2.00000
"52"	"2"	2.00000
"53"	"1"	2.00000
"53"	"2"	2.00000
"54"	"1"	2.00000
"54"	"2"	2.00000
"55"	"1"	2.00000
"55"	"2"	2.00000
"56"	"1"	2.00000
"56"	"2"	2.00000
"57"	"1"	2.00000
"57"	"2"	2.00000
"58"	"1"	2.00000
"58"	"2"	2.00000
"59"	"1"	2.00000
"59"	"2"	2.00000
"60"	"1"	2.00000
"60"	"2"	2.00000
"61"	"1"	2.00000
"61"	"2"	2.00000
"62"	"1"	2.00000
"62"	"2"	2.00000
"63"	"1"	2.00000
"63"	"2"	2.00000
"64"	"1"	2.00000
"64"	"2"	2.00000
"65"	"1"	2.00000
"65"	"2"	2.00000
"66"	"1"	2.00000
"66"	"2"	2.00000
"67"	"1"	2.00000
"67"	"2"	2.00000
"68"	"1"	2.00000
"68"	"2"	2.00000
"69"	"1"	2.00000
"69"	"2"	2.00000
"70"	"1"	2.00000
"70"	"2"	2.00000
"71"	"1"	2.00000
"71"	"2"	2.00000
"72"	"1"	2.00000
"72"	"2"	2.00000
"73"	"1"	2.00000
"73"	"2"	2.00000
"74"	"1"	2.00000
"74"	"2"	2.00000
"75"	"1"	2.00000
"75"	"2"	2.00000
"76"	"1"	2.00000
"76"	"2"	2.00000
"77"	"1"	2.00000
"77"	"2"	2.00000
"78"	"1"	2.00000
"78"	"2"	2.00000
"79"	"1"	2.00000
"79"	"2"	2.00000
"80"	"1"	2.00000
"80"	"2"	2.00000
"81"	"1"	2.00000
"81"	"2"	2.00000
"82"	"1"	2.00000
"82"	"2"	2.00000
"83"	"1"	2.00000
"83"	"2"	2.00000
"84"	"1"	2.00000
"84"	"2"	2.00000
"85"	"1"	2.00000
"85"	"2"	2.00000
"86"	"1"	2.00000
"86"	"2"	2.00000
"87"	"1"	2.00000
"87"	"2"	2.00000
"88"	"1"	2.00000
"88"	"2"	2.00000
"89"	"1"	2.00000
"89"	"2"	2.00000
"90"	"1"	2.00000
"90"	"2"	2.00000
"91"	"1"	2.00000
"91"	"2"	2.00000
"92"	"1"	2.00000
"92"	"2"	2.00000
"93"	"1"	2.00000
"93"	"2"	2.00000
"94"	"1"	2.00000
"94"	"2"	2.00000
"95"	"1"	2.00000
"95"	"2"	2.00000
"96"	"1"	2.00000
"96"	"2"	2.00000
"97"	"1"	2.00000
"97"	"2"	2.00000
"98"	"1"	2.00000
"98"	"2"	2.00000
"99"	"1"	2.00000
"99"	"2"	2.00000
"100"	"1"	2.00000
"100"	"2"	2.00000
"101"	"1"	2.00000
"101"	"2"	2.00000
"102"	"1"	2.00000
"102"	"2"	2.00000
"103"	"1"	2.00000
