Date,tod,Site,Sample_num,Oligochaeta,Polychaete_Capitella,Polychaete_Simplisetia,Polychaete_Phyllodoce,Polychaete_Australonereis,Polychaete_Boccardiella,Diptera_Chironomid,Diptera_Dolichopodid,Diptera_Ceratopogonid,Ceratopogonid_pupae,Diptera_Stratiomyid,Stratiomyid_pupae,Diptera_Ephydridae,Amphipod,Ostracod,Bivalve_Arthritica,Gastropod_Hydrobia,Gastropod_Salinator,Batillariella_estuarina,Diptera adult,Springtails (Collembola),Empididae,Cafius sp, Hydrophilidae,Micronecta_sp,Pupae_Fly sp,Other
15/04/2021,am,NC2,2,76,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
15/04/2021,am,NC2,3,0,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0
11/06/2021,am,NC2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
11/06/2021,am,NC2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/06/2021,am,NC2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/06/2021,pm,NC2,1,38,180,48,0,0,0,90,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
14/06/2021,pm,NC2,2,21,15,22,0,0,0,7,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0
14/06/2021,pm,NC2,3,17,151,43,0,0,0,20,0,0,0,0,0,0,54,0,3,0,0,0,0,0,0,0,0,0,0,0
14/06/2021,pm,NC2,4,4,51,4,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
14/06/2021,pm,NC2,5,27,39,21,0,0,0,4,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
19/08/2021,pm,NC2,1,3,4,4,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0
19/08/2021,pm,NC2,2,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
19/08/2021,pm,NC2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2021,pm,NC2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2021,pm,NC2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2021,am,NC2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2021,am,NC2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2021,am,NC2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0
23/08/2021,am,NC2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2021,am,NC2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/10/2021,pm,NC2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14/10/2021,pm,NC2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14/10/2021,pm,NC2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
18/10/2021,am,NC2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2021,am,NC2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2021,am,NC2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2021,pm,NC2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2021,pm,NC2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2021,pm,NC2,3,52,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2021,pm,NC2,4,34,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2021,pm,NC2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/2021,am,NC2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7/12/2021,am,NC2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
7/12/2021,am,NC2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7/12/2021,am,NC2,4,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
7/12/2021,am,NC2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4/02/2022,am,NC2,1,71,0,0,0,0,0,5,0,0,0,0,0,0,35,0,0,0,0,2,2,0,0,0,0,0,0,0
4/02/2022,am,NC2,2,16,0,27,0,0,0,5,0,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0
4/02/2022,am,NC2,3,0,0,4,0,1,0,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4/02/2022,am,NC2,4,11,2,9,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,45,0,0,0,0,0,0,0,0
4/02/2022,am,NC2,5,9,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
6/02/2022,pm,NC2,1,93,22,3,0,0,0,47,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
