Respondent_ID,EK_nonforest_total,EK_forest_total,Current_contact,Childhood_contact,Gender,agegroup,Origin,Subsistence,INS,LCNR_score,LCNR_max_possible_score,Forest_cover_percent,distance_to_closest_town_grouped,Coragyps_atratus_image,Columbina_passerina_image,Troglodytes_musculus_image,Crotophaga_ani_image,Pitangus_sulphuratus_image,Passer_domesticus_image,Volatinia_jacarina_image,Sporophila_angolensis_image,Sturnella_militaris_image,Vanellus_chilensis_image,Opisthocomus_hoazin_image,Eurypyga_helias_image,Caracara.plancus_image,Cyphorinus_arada_image,Odontophorus_gujanensis_image,Cyanoloxia_rothschildii_image,Pseudastur_albicolis_image,Lipaugus_vociferans_image,Pionus.menstruus,Cyanoloxia_rothschildii_image_sound_match,Cyphorinus_arada_image_sound_match,Sporophila_angolensis_image_sound_match,Troglodytes_musculus_image_sound_match,Pitangus_sulphuratus_image_sound_match,Volatinia_jacarina_image_sound_match,Vanellus_chilensis_image_sound_match,Lipaugus_vociferans_image_sound_match,Cyanoloxia_rothschildii_sound,Cyphorinus_arada_sound,Sporophila_angolensis_sound,Troglodytes_musculus_sound,Pitangus_sulphuratus_sound,Volatinia_jacarina_sound,Vanellus_chilensis_sound,Lipaugus_vociferans_sound
60,7,1,6,4,Female,46-50,Amazonia,0,6,27,28,23.92261423,far,correct genus,correct genus,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct genus,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
61,2,0,4,2,Female,31-35,Amazonia,0,5,25,28,61.641722,near,correct genus,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
62,13,0,8,2,Male,41-45,Amazonia,0,5,20,28,61.641722,near,correct genus,correct genus,correct species,correct species,correct species,incorrect,correct species,correct species,incorrect,incorrect,correct species,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect,incorrect,incorrect
63,9,3,4,2,Male,46-50,Amazonia,12,6,28,28,44.46794052,near,correct genus,correct family,correct species,correct species,correct species,correct species,correct species,correct species,correct family,incorrect,incorrect,correct species,correct species,incorrect,incorrect,incorrect,correct family,correct species,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound
64,18,0,4,4,Female,41-45,Amazonia,17,6,28,28,44.46794052,near,correct genus,correct genus,correct species,correct species,correct species,correct species,correct species,correct species,correct family,correct species,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect,incorrect
65,14,2,6,1,Male,56-60,Other,0,7,28,28,63.93663567,mid-range,correct genus,correct family,correct species,correct species,correct species,incorrect,incorrect,correct species,incorrect,correct species,incorrect,incorrect,correct species,incorrect,incorrect,correct species,incorrect,correct species,correct family,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,correct species by sound,correct species by sound,incorrect
66,22,1,6,3,Male,46-50,Amazonia,9,7,28,28,14.28116867,near,correct genus,correct genus,correct species,correct species,correct species,correct species,correct species,correct species,incorrect,correct species,correct species,correct species,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
67,18,3,5,1,Male,41-45,Amazonia,11,4,26,28,58.57571268,mid-range,correct genus,correct family,correct species,correct species,correct species,incorrect,correct species,incorrect,correct genus,correct species,correct species,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,correct genus,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
68,20,0,4,4,Male,46-50,Other,7,4,27,28,52.37693358,near,correct genus,correct genus,correct species,correct species,correct species,incorrect,correct species,correct species,incorrect,correct species,correct species,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
69,5,2,4,4,Male,51-55,Other,6,5,22,28,65.86810307,mid-range,correct genus,correct family,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,correct genus,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
70,18,1,4,4,Male,21-25,Amazonia,16,5,26,28,65.86810307,mid-range,correct genus,correct genus,correct species,correct species,correct species,correct species,correct species,correct species,correct family,incorrect,correct species,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound
71,14,0,6,1,Male,41-45,Other,6,6,27,28,41.59272411,mid-range,correct genus,correct family,correct species,correct species,correct species,correct species,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,incorrect,correct species by sound,incorrect
72,6,2,1,3,Male,66-70,Other,8,6,28,28,33.77135481,mid-range,correct genus,correct family,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,correct family,incorrect,correct species,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound,incorrect
73,6,0,1,3,Female,66-70,Other,8,6,28,28,33.77135481,mid-range,correct genus,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound,incorrect
74,5,0,5,3,Female,51-55,Other,0,5,11,28,74.67272435,mid-range,correct genus,correct genus,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
76,13,1,7,4,Male,66-70,Other,0,5,26,28,49.65782726,mid-range,correct genus,correct genus,correct species,correct species,correct species,correct species,incorrect,correct genus,correct genus,incorrect,correct species,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,correct species by sound,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
77,20,6,6,2,Male,66-70,Other,13,5,27,28,60.26789149,far,correct genus,correct family,correct species,correct species,correct species,correct species,correct species,correct species,incorrect,correct species,correct species,incorrect,correct species,incorrect,correct species,incorrect,correct family,incorrect,correct genus,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
82,14,1,2,4,Male,36-40,Other,0,5,26,28,18.21178862,mid-range,correct genus,incorrect,incorrect,correct species,correct species,incorrect,correct species,incorrect,correct genus,correct species,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,incorrect
83,15,0,4,4,Female,31-35,Other,4,5,22,28,18.21178862,mid-range,correct genus,correct family,correct species,correct species,correct species,correct species,correct species,incorrect,correct genus,correct species,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound,incorrect
84,14,2,5,2,Male,56-60,Other,0,2,14,28,38.43361277,near,correct genus,correct family,incorrect,correct species,correct species,incorrect,correct species,incorrect,incorrect,incorrect,correct species,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct genus,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect,incorrect
85,11,1,1,1,Female,41-45,Amazonia,0,7,21,24,38.43361277,near,correct genus,correct family,incorrect,correct species,correct species,incorrect,correct species,correct family,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct genus,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,correct species by sound,incorrect,incorrect
86,19,3,5,1,Male,51-55,Other,5,7,28,28,50.47691778,mid-range,correct genus,correct genus,correct species,incorrect,correct species,incorrect,correct species,correct species,correct family,correct species,correct species,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct family,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
87,13,3,5,1,Female,61-65,Amazonia,4,7,28,28,50.47691778,mid-range,correct genus,correct family,correct species,correct species,correct species,correct species,incorrect,correct species,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct species,incorrect,incorrect,incorrect,correct family,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,incorrect,incorrect,incorrect
88,18,4,7,3,Male,66-70,Other,0,5,24,28,32.51944052,mid-range,correct genus,correct family,correct species,correct species,correct species,correct species,correct species,incorrect,correct genus,correct species,incorrect,incorrect,correct family,incorrect,correct family,incorrect,correct genus,incorrect,correct species,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
89,20,2,6,2,Male,56-60,Other,9,4,27,28,62.60649244,near,correct genus,correct family,correct species,correct species,correct species,correct species,correct species,incorrect,correct genus,correct species,correct species,incorrect,correct species,incorrect,correct genus,incorrect,correct genus,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
90,15,5,4,3,Female,56-60,Other,0,5,22,28,62.60649244,near,correct genus,correct genus,incorrect,correct species,correct species,correct species,incorrect,incorrect,correct genus,correct species,correct species,incorrect,correct species,incorrect,incorrect,correct species,correct species,correct species,correct family,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect,correct species by sound,correct species by sound
91,2,0,6,4,Female,61-65,Other,8,6,28,28,18.4732915,mid-range,correct genus,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
92,16,1,8,4,Male,36-40,Amazonia,0,7,25,28,18.4732915,mid-range,correct genus,correct family,correct species,correct species,correct species,incorrect,correct species,correct species,correct genus,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct species,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect,incorrect
94,22,8,6,4,Male,36-40,Amazonia,3,4,23,28,44.97305358,mid-range,correct genus,correct genus,correct species,correct species,correct species,correct species,correct species,correct species,correct genus,correct species,correct species,incorrect,correct species,correct species,correct species,incorrect,correct genus,incorrect,correct genus,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound
95,21,4,8,3,Female,26-30,Amazonia,0,5,22,28,44.97305358,mid-range,correct genus,correct genus,correct species,correct species,correct species,correct species,correct species,correct species,correct genus,correct species,correct species,incorrect,correct species,incorrect,incorrect,incorrect,correct genus,correct species,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound
96,17,3,4,2,Male,51-55,Amazonia,0,7,28,28,51.6568313,mid-range,correct genus,correct genus,incorrect,correct species,correct species,correct species,correct species,correct species,correct species,incorrect,correct species,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct genus,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound
97,9,1,4,1,Male,51-55,Amazonia,7,6,28,28,61.25822879,near,correct genus,correct genus,incorrect,correct species,correct species,incorrect,incorrect,correct species,incorrect,incorrect,correct species,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound,incorrect,incorrect,incorrect
98,16,3,1,1,Male,61-65,Other,0,5,28,28,48.92966377,near,correct genus,correct genus,correct species,incorrect,incorrect,correct species,correct species,correct species,incorrect,correct species,correct species,incorrect,correct family,incorrect,incorrect,incorrect,correct family,correct species,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound
99,9,1,4,3,Female,31-35,Amazonia,0,5,28,28,76.25622303,mid-range,correct genus,correct family,incorrect,correct species,correct species,incorrect,correct species,incorrect,incorrect,incorrect,correct species,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct species,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect
100,13,1,4,3,Male,41-45,Amazonia,6,4,20,28,76.25622303,mid-range,correct genus,correct genus,correct species,correct species,correct species,correct species,correct species,incorrect,incorrect,correct species,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct species,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound,incorrect
101,6,1,5,3,Male,66-70,Other,5,7,28,28,76.25622303,mid-range,correct genus,correct family,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,correct family by sound,incorrect,correct species by sound,incorrect,incorrect,incorrect
102,4,1,5,3,Female,66-70,Other,0,5,28,28,76.25622303,mid-range,correct genus,correct family,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
103,17,2,8,4,Male,46-50,Other,4,6,21,28,65.91741084,mid-range,correct genus,correct genus,correct species,correct species,correct species,incorrect,correct species,incorrect,correct genus,correct species,correct species,incorrect,correct family,incorrect,incorrect,incorrect,correct species,incorrect,correct family,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
104,10,0,7,1,Female,36-40,Amazonia,0,5,19,28,65.91741084,mid-range,correct genus,correct genus,correct species,correct species,correct species,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect
105,17,1,4,3,Male,51-55,Other,0,5,28,28,74.63421924,mid-range,correct genus,correct family,correct species,incorrect,correct species,correct species,correct species,correct species,correct genus,incorrect,correct species,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct species,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect,incorrect
106,13,3,4,1,Male,51-55,Other,0,7,28,28,86.4603771,mid-range,correct genus,correct family,correct species,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,correct family,incorrect,correct species,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,incorrect,correct species by sound,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
107,3,1,4,4,Female,46-50,Amazonia,0,6,28,28,86.4603771,mid-range,correct genus,correct family,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct family,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
108,15,0,6,3,Male,61-65,Other,0,7,24,28,53.24543862,near,correct genus,correct family,correct species,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
109,6,0,8,4,Male,46-50,Other,15,7,28,28,72.06370276,mid-range,correct genus,incorrect,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,incorrect
110,14,0,5,4,Female,46-50,Amazonia,0,7,28,28,72.06370276,mid-range,correct genus,incorrect,correct species,correct species,correct species,incorrect,correct species,incorrect,incorrect,correct species,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
111,21,2,5,3,Male,26-30,Amazonia,7,5,28,28,51.67426216,near,correct genus,correct genus,correct species,correct species,correct species,correct species,correct species,correct species,correct genus,correct species,correct species,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
112,16,0,4,4,Male,51-55,Other,4,4,28,28,51.67426216,near,correct genus,correct family,correct species,correct species,correct species,incorrect,correct species,incorrect,incorrect,correct species,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
113,18,3,8,1,Male,41-45,Amazonia,12,5,25,28,76.89961915,near,correct genus,correct family,correct species,correct species,correct species,incorrect,correct species,correct species,correct family,correct species,correct species,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct species,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
115,6,1,6,4,Female,26-30,Amazonia,3,4,24,28,76.89961915,near,correct genus,incorrect,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct genus,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
116,12,2,6,4,Male,46-50,Amazonia,3,5,25,28,51.1174789,near,correct genus,correct family,incorrect,correct species,correct species,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct species,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect,incorrect
117,16,1,5,1,Female,46-50,Other,3,5,28,28,51.1174789,near,correct genus,correct family,correct species,correct species,correct species,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct genus,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect,incorrect
118,18,1,7,4,Male,31-35,Amazonia,5,5,28,28,42.04500659,near,correct genus,correct family,correct species,correct species,correct species,incorrect,correct species,correct species,incorrect,correct species,correct species,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct genus,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
119,8,2,5,2,Female,26-30,Amazonia,7,5,25,28,42.04500659,near,correct genus,correct family,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
120,8,1,4,1,Male,56-60,Other,6,4,28,28,60.73062268,mid-range,correct genus,correct family,incorrect,correct species,correct species,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct genus,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,incorrect,incorrect
121,13,0,7,4,Male,26-30,Amazonia,7,7,28,28,60.73062268,mid-range,correct genus,correct family,correct species,correct species,correct species,incorrect,correct species,incorrect,correct genus,incorrect,correct species,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,incorrect
122,12,1,4,1,Male,66-70,Other,11,7,28,28,92.79724596,mid-range,correct genus,correct family,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect,incorrect
124,14,6,6,2,Male,41-45,Amazonia,11,5,28,28,92.79724596,mid-range,correct genus,incorrect,correct species,correct species,correct species,incorrect,incorrect,correct species,incorrect,incorrect,correct species,incorrect,correct family,correct species,correct species,incorrect,correct species,incorrect,correct family,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect,incorrect
125,9,0,4,2,Female,31-35,Amazonia,17,6,28,28,92.79724596,mid-range,correct genus,incorrect,incorrect,correct species,correct species,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect,incorrect,incorrect
