ident,web,state,trec3,noman2,protect2,restore2,wnoman2,wprotect2,wrestore2,women,spend2,polview2,seeind2,nepind2,gccind2
366,1,1,5,2,4,4,3,3,3,1,.5,2,2.5,3.8888888,5
367,1,3,5,2,4,5,3,5,5,,1,6,3,4.5555553,5
368,1,3,5,3,5,5,3,5,5,1,1,5,3,4.3333335,4.5
369,1,3,5,2,5,5,3,3,3,0,1,4,2.5,4.1111112,5
370,1,3,4,2,4,4,2,4,4,0,1,,1,3.4444444,4
371,1,3,3,,5,5,2,5,5,1,.5,2,3,3.2222223,5
372,1,1,5,1,1,5,1,1,5,0,0,6,3,1.8888888,1.5
373,1,3,4,2,2,4,2,2,4,0,1,2,1.5,3.5555556,4
374,1,3,4,4,4,3,5,5,4,0,1,2,1.5,2.6666667,2.5
375,1,3,3,3,3,4,3,3,4,0,0,3,1.5,2.8888888,2.5
376,1,3,1,,5,4,,5,4,1,.5,4,.5,3.7777777,5
377,1,1,5,3,4,4,3,4,4,0,.5,3,2.5,2.7777777,3
378,1,3,3,1,5,5,1,4,4,1,.5,2,1,4.3333335,5
379,1,1,5,3,4,5,3,4,5,1,.5,2,2.5,3.2222223,4.5
380,1,3,2,2,5,4,2,4,4,0,1,1,2,3.8888888,3.5
381,1,1,5,3,3,4,3,3,4,0,.5,6,3,4.3333335,5
382,1,3,2,3,4,5,3,2,2,0,1,4,2.5,4.2222223,4.5
383,1,1,5,1,5,5,1,5,5,0,.5,4,3,4.2222223,4.5
384,1,3,5,4,4,4,2,4,4,1,.5,4,1.5,3.7777777,2
385,1,1,5,4,2,3,5,1,1,0,0,2,1,3.4444444,2.5
386,1,3,5,1,5,2,1,5,3,0,1,4,3,2.3333333,1.5
387,1,3,1,3,3,3,3,3,3,0,.5,7,0,4.5555553,5
388,1,1,3,1,5,5,2,5,5,0,1,5,3,4.3333335,4.5
389,1,1,5,2,2,5,3,4,4,0,0,2,2.5,1.8888888,1.5
390,1,3,5,2,5,5,3,4,4,1,.5,5,1,4.7777777,5
391,1,3,2,2,3,4,1,4,4,0,1,3,3,2.7777777,4
392,1,3,4,2,4,4,2,4,4,0,.5,2,2.5,2.1111112,1.5
393,1,3,5,1,4,5,2,4,5,0,1,1,1.5,2.7777777,1.5
394,1,3,5,2,5,5,2,4,4,0,1,3,2.5,3.8888888,4.5
395,1,3,5,2,3,5,3,5,5,0,.5,2,2.5,2.2222223,1
396,1,1,5,2,5,5,1,5,5,1,1,7,2,3.7777777,5
397,1,2,5,3,3,4,3,3,3,0,.5,2,3,2.5555556,3
398,1,3,3,1,5,5,1,5,5,0,1,4,3,4.5555553,4.5
399,1,2,5,4,4,4,4,4,4,0,0,4,2.5,2.7777777,2
400,1,2,3,3,3,3,3,3,3,0,0,1,1.5,3.3333333,2
401,1,2,1,5,5,5,4,4,4,1,.5,2,0,3.6666667,4.5
402,1,1,,4,3,3,3,3,3,0,.5,2,3,2.8888888,4
403,1,3,5,2,5,5,2,5,5,1,1,2,2.5,3.2222223,4
404,1,1,4,2,4,3,2,4,3,1,.5,3,2,3.5555556,4
405,1,3,5,4,4,4,4,4,4,0,.5,6,2,3.3333333,5
406,1,1,2,1,4,4,1,4,4,0,1,2,2.5,2.8888888,2
407,1,3,5,,,5,,,5,0,.5,4,,3.4444444,4.5
408,1,1,3,3,5,5,3,5,5,0,1,7,3,3.6666667,5
409,1,3,,1,5,5,1,5,5,0,.5,2,2,3.5555556,3.5
410,1,3,4,1,4,4,1,4,4,0,.5,4,2.5,3.7777777,5
411,1,1,2,1,5,5,2,4,4,0,.5,7,1.5,3.5555556,5
412,1,3,5,3,4,4,3,4,4,1,1,2,2,2.7777777,2.5
413,1,1,3,1,5,5,2,4,4,1,.5,4,2,3.1111112,5
414,1,2,4,3,4,4,4,4,4,1,1,6,1.5,4.1111112,5
415,1,2,5,1,5,5,1,5,5,0,1,4,2.5,4.3333335,5
416,1,3,2,3,4,4,3,4,4,0,1,3,2,3.2222223,3.5
417,1,1,4,4,2,2,4,2,2,0,0,1,2.5,,1.5
418,1,3,5,5,4,4,3,3,3,0,.5,2,2,3.2222223,2.5
419,1,1,5,5,5,5,5,3,3,0,1,6,3,2.6666667,4
420,1,3,5,2,4,4,2,4,4,0,1,2,2,3,3.5
421,1,3,5,2,4,5,2,4,5,0,0,2,2,3.2222223,1.5
422,1,1,5,2,4,4,2,4,4,1,.5,4,2.5,3,4
423,1,1,5,4,4,4,4,4,4,0,1,4,2,3.1111112,1.5
424,1,2,5,3,3,3,5,2,2,0,.5,1,2,3.6666667,2
425,1,3,5,,5,4,,5,4,0,1,,2.5,4.3333335,4.5
426,1,3,5,3,4,4,4,2,2,0,0,3,2,3.6666667,4.5
427,1,1,5,,,5,4,4,4,0,1,2,2,2.8888888,
428,1,3,4,2,4,5,1,4,5,0,1,6,2,3.3333333,5
429,1,3,5,1,4,5,1,4,4,0,1,6,,3.4444444,5
430,1,3,5,5,5,5,1,5,5,0,.5,4,2.5,4.1111112,5
431,1,1,5,1,5,5,1,5,5,1,1,4,2.5,3.4444444,4
432,1,1,4,2,4,3,2,4,3,0,0,2,,2.5555556,4
433,1,3,4,3,4,5,3,4,5,1,.5,4,0,2.7777777,2
434,1,1,5,5,5,5,5,5,5,1,1,3,2.5,3.3333333,4.5
435,1,1,5,2,4,4,4,2,2,0,.5,4,2.5,2.4444444,2
436,1,1,5,2,4,4,2,4,4,0,.5,2,2.5,4,4.5
437,1,3,5,2,4,4,3,3,3,1,1,2,2,2.7777777,4
438,1,3,2,2,4,4,2,4,4,0,.5,4,3,2.5555556,4
439,1,3,5,3,4,4,3,4,3,0,1,6,2.5,3.2222223,4
440,1,3,4,3,4,4,3,4,2,0,1,5,,3.3333333,4.5
441,1,3,5,2,4,4,3,4,4,1,.5,4,2,3.3333333,4.5
442,1,1,5,1,5,5,1,5,5,0,.5,4,2,3.6666667,4.5
443,1,3,5,3,5,5,3,5,5,0,.5,4,2.5,3.8888888,4.5
444,1,1,5,1,5,5,1,5,5,0,.5,4,2.5,3.4444444,5
445,1,1,2,3,3,3,3,3,3,0,.5,2,0,3.5555556,1.5
446,1,1,5,3,4,4,3,4,4,1,.5,7,2,4.2222223,5
447,1,1,2,3,3,4,3,3,4,0,.5,,,3.4444444,
448,1,3,3,3,3,4,3,3,4,1,.5,1,2,2.6666667,3.5
449,1,3,5,1,5,2,3,5,3,0,0,4,2,1.5555556,2
450,1,2,4,3,4,5,3,4,5,0,0,1,3,4.2222223,1
451,1,3,5,1,5,5,1,5,5,0,.5,4,1.5,3.2222223,3
452,1,3,5,3,4,4,3,4,4,0,.5,4,2.5,2.8888888,2
453,1,3,5,4,2,3,4,2,3,1,.5,4,3,4.4444447,5
454,1,3,5,4,4,4,4,4,4,0,0,1,2.5,2.1111112,1
455,1,3,5,3,4,3,3,4,3,0,.5,4,2.5,4.1111112,4.5
456,1,3,3,,4,4,,4,4,0,.5,1,2.5,2.5555556,2.5
457,1,1,5,1,5,4,2,5,3,1,1,4,2.5,3.8888888,5
458,1,3,5,3,4,4,3,4,4,0,.5,2,3,3.3333333,4.5
459,1,1,5,1,2,5,4,2,2,0,1,3,3,2.2222223,4.5
460,1,1,5,1,4,4,2,4,3,1,.5,4,2.5,4.6666665,4.5
461,1,1,1,3,3,3,1,1,1,1,.5,1,2.5,2.4444444,1
462,1,3,5,5,,,5,,,0,.5,3,,,3
463,1,1,5,2,4,4,4,2,2,0,.5,2,2.5,2.4444444,1.5
464,1,1,5,1,5,5,2,4,4,0,1,4,3,2.5555556,4
465,1,3,2,1,4,5,3,4,4,0,.5,2,.5,4.1111112,4
466,1,3,3,1,5,5,1,5,5,0,.5,4,2,2.8888888,3.5
467,1,3,5,2,4,4,2,4,4,0,.5,2,3,3.3333333,4
468,1,3,3,1,5,5,1,5,5,0,1,6,3,4.8888888,5
469,1,3,5,2,5,5,2,2,2,1,.5,5,1,3.2222223,5
470,1,1,5,2,5,3,3,3,3,1,.5,4,2.5,4.1111112,5
471,1,3,5,2,4,4,1,5,5,0,.5,2,1,3.4444444,4
472,1,1,4,4,4,4,3,3,3,1,.5,4,2.5,3.7777777,5
473,1,3,3,2,4,4,2,4,4,1,.5,7,0,3.5555556,5
474,1,3,5,1,5,5,4,2,2,0,1,2,3,4,4
475,1,2,5,4,4,4,4,4,4,1,0,4,2.5,2.4444444,4
476,1,2,3,2,4,4,4,2,2,0,.5,6,2,3.4444444,5
477,1,3,5,1,5,5,1,5,5,0,.5,2,3,2.5555556,3
478,1,2,5,1,,,5,,,0,0,2,3,1.7777778,3.5
479,1,2,5,,,5,2,4,4,1,.5,5,2.5,3.7777777,4
480,1,3,5,3,4,4,3,4,3,0,.5,3,1,2.8888888,2.5
481,1,3,3,2,5,4,2,5,4,1,.5,4,.5,3.6666667,4.5
482,1,1,5,2,5,4,2,4,4,0,1,4,2,3.1111112,4
483,1,3,4,2,4,4,2,4,4,1,.5,3,1,2.7777777,2.5
484,1,3,5,1,5,5,1,5,5,0,.5,4,2.5,2.8888888,3
485,1,3,5,4,4,4,4,4,4,0,.5,1,1,3.7777777,2.5
486,1,3,5,1,5,5,1,5,5,1,1,4,3,3.8888888,4.5
487,1,2,2,3,4,3,5,2,2,1,0,5,,2.2222223,1.5
488,1,1,5,1,5,5,1,5,5,0,.5,4,2,3.6666667,5
489,1,2,4,2,4,5,2,4,5,1,.5,6,2.5,3.8888888,5
490,1,1,3,1,5,5,1,5,5,0,.5,6,0,4.4444447,4.5
491,1,1,2,4,3,4,4,2,4,1,.5,2,2.5,3.5555556,2
492,1,1,5,2,5,5,3,2,4,0,.5,6,3,3.1111112,5
493,1,1,2,2,4,5,2,4,5,0,.5,2,3,2.6666667,2
494,1,1,4,2,5,4,2,4,4,0,.5,1,1,,2
495,1,1,2,3,5,5,3,5,5,0,.5,5,1,4.1111112,5
496,1,1,5,4,4,4,4,4,4,0,.5,4,2,3.3333333,4
497,1,2,3,2,4,4,3,3,4,0,.5,4,.5,,2.5
498,1,1,5,2,4,2,3,3,3,1,.5,3,2.5,2.4444444,3
499,1,3,5,3,4,4,3,4,4,0,.5,4,2,2.8888888,3
500,1,1,5,2,4,4,1,4,4,0,.5,4,2,3.6666667,5
501,1,2,5,,4,4,,4,4,0,0,4,2,3.5555556,4
502,1,1,5,3,4,3,4,3,2,0,.5,4,2.5,3.8888888,4.5
503,1,1,3,3,5,5,3,5,5,1,1,7,2.5,4,5
504,1,1,5,,5,5,4,,,0,0,,,,
505,1,1,3,1,5,4,1,5,4,1,.5,6,3,4.1111112,4.5
506,1,1,4,2,3,3,2,3,3,1,1,6,1.5,4.4444447,5
507,1,1,5,1,5,5,1,5,5,1,1,2,2.5,3.1111112,2
508,1,1,5,3,4,3,4,3,3,1,.5,5,2,2.8888888,3.5
509,1,1,5,2,5,5,3,4,4,0,.5,2,3,4.5555553,3
510,1,1,4,2,4,3,2,4,4,0,.5,2,2.5,2.4444444,4.5
511,1,1,5,2,4,4,5,5,5,0,.5,2,3,2.3333333,3
512,1,2,1,4,4,4,4,3,3,1,0,2,2.5,2.4444444,4
513,1,2,5,4,2,5,4,2,5,0,.5,4,2,3,3
514,1,1,5,1,5,5,1,5,5,1,1,6,2.5,3.7777777,5
515,1,1,2,3,4,5,3,4,5,1,1,4,2,3.8888888,2.5
516,1,1,3,1,5,5,1,5,,0,1,7,2.5,3.2222223,5
517,1,1,3,1,5,5,1,5,5,0,.5,4,2,3.6666667,3.5
518,1,3,5,1,3,5,1,4,5,0,.5,4,3,2.1111112,2
519,1,1,5,3,4,4,3,4,4,1,1,4,2,4.4444447,5
520,1,3,5,2,4,4,2,4,4,1,.5,3,1,3.6666667,2.5
521,1,3,5,2,4,4,3,3,3,1,.5,6,3,3.5555556,4.5
522,1,1,5,1,5,5,1,5,5,0,1,4,2,4.2222223,5
523,1,2,5,2,4,5,4,2,2,0,1,4,2.5,4,5
524,1,3,3,2,4,4,3,3,3,1,.5,4,2,3.2222223,2.5
525,1,1,,2,5,5,2,4,3,1,.5,4,1.5,3.8888888,5
526,1,3,5,3,4,4,4,3,4,1,0,2,1,,2
527,1,3,5,1,5,5,1,5,5,0,1,2,3,2.4444444,4
528,1,3,3,3,3,3,3,3,3,1,.5,4,2.5,3.1111112,4.5
529,1,2,4,2,4,4,2,4,4,0,.5,1,3,2.5555556,1.5
530,1,1,5,3,3,3,3,3,3,0,0,4,,2,2
531,1,3,2,5,5,5,2,4,4,0,.5,3,2.5,2.6666667,4
532,1,1,5,1,5,5,1,5,5,0,1,6,2.5,3.4444444,5
533,1,1,5,4,4,4,4,4,4,0,.5,4,2.5,3.3333333,4.5
534,1,1,4,2,5,5,2,5,5,1,.5,2,2,3.1111112,4
535,1,1,4,1,5,5,2,4,4,0,.5,2,,2.5555556,2
536,1,1,1,,,5,,,5,0,1,6,2.5,3.2222223,4.5
537,1,3,4,4,4,4,3,4,4,0,.5,4,0,3.6666667,4.5
538,1,2,5,3,4,4,2,4,5,1,1,1,1.5,3.3333333,1.5
539,1,2,3,1,5,5,1,5,5,0,1,2,2.5,4.8888888,4.5
540,1,1,,2,4,5,2,4,4,0,.5,4,2.5,2.7777777,4
541,1,3,5,1,5,5,2,5,4,0,1,7,2,4.6666665,5
542,1,2,4,1,5,5,2,4,3,0,1,6,2.5,4,5
543,1,1,1,3,3,4,3,3,3,0,.5,4,2,3.2222223,3.5
544,1,2,2,2,4,4,2,4,4,0,.5,4,1.5,3.4444444,4.5
545,1,1,,4,4,4,,4,,0,.5,3,2.5,3.1111112,2.5
546,1,1,4,1,5,5,3,5,5,0,1,4,2,3.7777777,5
547,1,3,5,3,4,4,4,3,3,1,0,2,2.5,3.3333333,
548,1,1,4,5,5,5,3,3,3,0,1,2,2.5,2.6666667,1
549,1,1,5,3,4,4,4,3,2,0,1,7,2.5,4.3333335,5
550,1,1,1,3,3,4,3,3,4,0,.5,1,2,2.7777777,5
551,1,2,5,2,5,5,2,5,5,0,0,4,2,3.8888888,5
552,1,1,1,3,3,3,3,3,3,1,0,4,0,3,3
553,1,2,5,1,5,5,1,5,5,0,1,1,3,3.4444444,2
554,1,1,5,1,5,5,1,3,5,1,.5,7,2,4.1111112,5
555,1,1,4,3,5,5,3,5,4,0,1,5,2.5,4.6666665,5
556,1,1,4,1,4,4,1,4,4,0,.5,4,1,2.8888888,4
557,1,3,5,2,4,4,2,4,4,0,1,5,2,3.7777777,5
558,1,2,2,3,3,3,3,3,3,1,.5,4,2,2.4444444,2
559,1,2,5,1,2,5,1,2,5,0,0,2,3,3.7777777,4
560,1,1,1,1,4,5,2,4,5,0,1,2,1,3.4444444,3
561,1,1,5,5,2,2,5,2,2,0,.5,2,1.5,2.7777777,1.5
562,1,2,2,5,5,5,5,5,5,0,1,6,1.5,3.5555556,5
563,1,2,5,2,4,4,2,4,4,0,1,4,1,3.6666667,5
564,1,1,5,2,4,4,2,4,4,1,.5,2,3,4,3
565,1,1,2,2,4,4,2,5,4,1,1,5,2.5,3.8888888,5
566,1,2,3,2,4,3,2,4,3,1,.5,,,,
567,1,1,4,3,4,4,3,3,3,0,.5,4,2,3.1111112,2
568,1,2,1,3,4,4,3,4,4,1,.5,2,1.5,2.6666667,2
569,1,1,2,1,4,4,3,4,4,0,.5,4,2,3.5555556,3
570,1,2,5,2,5,4,3,4,4,1,1,5,2.5,3.5555556,4.5
571,1,2,5,2,4,5,2,4,5,0,.5,6,3,3.5555556,3
572,1,1,1,2,4,3,3,3,3,1,0,2,,3.1111112,2.5
573,1,1,5,1,5,5,1,5,5,1,1,6,2,3.7777777,5
574,1,1,4,,4,3,3,3,3,1,.5,3,.5,4.2222223,4.5
575,1,1,5,2,4,5,2,4,5,1,1,6,1.5,3.4444444,4.5
576,1,1,5,3,3,3,3,3,3,0,0,1,2,2.1111112,1.5
577,1,2,5,1,5,5,1,5,5,0,1,3,2.5,4,4
578,1,1,5,4,4,3,4,4,3,0,.5,3,3,3.7777777,4
579,1,1,5,3,5,4,3,5,2,0,.5,4,2,3.5555556,5
580,1,1,5,2,5,5,2,5,4,0,1,6,3,4.7777777,5
581,1,1,5,4,4,2,4,4,2,0,0,2,2.5,1.8888888,2
582,1,2,4,2,2,4,2,2,4,1,.5,4,1.5,2.8888888,
583,1,2,5,3,3,3,3,3,3,0,.5,2,2,2.1111112,1.5
584,1,2,3,2,4,4,2,4,4,1,.5,2,2,3.2222223,2.5
585,1,1,5,2,2,2,2,2,2,0,0,2,1.5,2.8888888,1
586,1,1,3,1,5,5,2,4,4,0,.5,2,2,3.1111112,4
587,1,1,3,2,2,5,1,3,5,1,1,4,3,3.3333333,5
588,1,1,5,1,4,5,2,4,5,1,.5,4,2.5,4.2222223,5
589,1,1,2,,5,,,5,,0,.5,2,2.5,3.5555556,4
590,1,1,,2,4,4,2,4,4,1,.5,2,.5,2.8888888,2.5
591,1,2,5,1,5,5,2,5,5,0,1,5,2,4.4444447,5
592,1,1,4,3,5,5,3,5,5,0,1,2,2.5,3.5555556,4
593,1,3,5,3,5,4,3,4,4,0,.5,3,2.5,3.5555556,4.5
594,1,1,5,1,5,5,2,4,5,0,1,4,3,3.4444444,4
595,1,1,3,,,5,,,5,1,.5,4,1.5,2.8888888,5
596,1,1,2,2,4,4,2,4,4,1,.5,5,2,2.8888888,4.5
597,1,3,4,4,5,4,4,3,3,1,.5,4,1.5,2.4444444,1.5
598,1,3,5,4,4,4,4,4,4,1,1,6,3,4,5
599,1,1,3,2,4,4,3,3,3,0,1,4,2.5,3.5555556,4.5
600,1,2,,5,5,5,5,5,5,0,.5,4,3,3.3333333,5
601,1,1,4,1,5,5,2,3,3,0,1,4,2.5,3.4444444,4
602,1,2,5,4,3,4,4,3,4,1,.5,2,2,3,1
603,1,3,3,3,4,4,3,4,4,0,.5,5,1.5,3.5555556,4
604,1,1,5,1,5,5,1,5,5,0,1,2,2,3.7777777,5
605,1,3,5,2,5,5,2,5,5,0,1,7,3,4.6666665,5
606,1,3,5,1,4,5,1,4,5,0,.5,4,1,3.1111112,1.5
607,1,3,5,3,5,5,1,5,5,1,1,7,2,4.7777777,5
608,1,1,3,3,4,4,4,3,3,0,.5,2,2,3.6666667,4
609,1,3,5,2,4,5,2,4,4,0,1,3,1,3.1111112,4
610,1,3,3,5,,,3,,,1,.5,2,1,2.7777777,2
611,1,1,5,2,5,4,2,4,4,1,.5,2,3,4.3333335,5
612,1,3,1,3,3,3,3,3,3,0,.5,2,0,3.2222223,2.5
613,1,1,3,2,4,4,2,4,4,1,1,7,2,3.8888888,5
614,1,2,,2,4,4,2,2,2,0,0,7,1.5,2.1111112,3
615,1,1,2,2,4,4,3,3,3,0,.5,1,2,3.5555556,4
616,1,2,,3,3,3,3,3,3,0,0,4,2,2.8888888,4.5
617,1,3,2,3,3,3,3,3,3,0,0,4,0,3,4
618,1,3,5,3,3,4,2,2,2,0,.5,3,3,4,4.5
619,1,3,3,,5,5,2,4,4,0,.5,4,2,2.5555556,3
620,1,1,5,5,,,5,,,0,0,2,2.5,3.8888888,2
621,1,1,3,3,5,5,3,3,3,0,0,4,0,3.1111112,3.5
622,1,3,5,1,4,4,1,4,4,0,1,6,0,3,5
623,1,3,4,1,5,5,2,5,5,1,.5,2,2,3.5555556,3
624,1,3,1,3,3,3,3,3,3,1,.5,2,1,3.2222223,1.5
625,1,3,5,2,5,4,2,5,4,0,0,1,2.5,3.2222223,4.5
626,1,3,4,2,4,4,3,4,4,0,.5,5,,3.3333333,4
627,1,1,5,1,5,4,2,5,4,0,.5,4,1,2.2222223,4.5
628,1,1,1,2,4,4,2,4,4,0,.5,4,3,3.2222223,3
629,1,1,5,1,5,5,1,5,5,1,.5,,2.5,3.4444444,4.5
630,1,1,5,4,3,2,4,2,2,0,1,3,2.5,3,3.5
631,1,3,3,3,3,3,3,3,3,0,.5,3,1,3.2222223,3
632,1,2,5,3,4,5,2,4,5,0,.5,1,1.5,2.2222223,1.5
633,1,3,5,1,5,5,2,4,4,1,.5,1,2.5,3.1111112,4.5
634,1,3,,4,2,3,3,3,3,0,0,,2,2.2222223,
635,1,3,3,2,4,4,3,4,4,0,.5,5,1,3,4.5
636,1,3,5,,,5,,,5,0,1,4,1,3.2222223,4
637,1,3,3,1,5,5,1,4,4,0,.5,5,2,3.7777777,4.5
638,1,1,4,3,3,2,3,3,2,0,.5,3,3,2.8888888,4
639,1,3,1,1,4,4,3,3,3,1,.5,7,1.5,3.1111112,5
640,1,1,4,1,5,5,1,5,5,1,1,3,2.5,4.8888888,5
641,1,2,5,2,4,3,3,2,2,1,1,5,2.5,3.8888888,4.5
642,1,3,4,2,4,4,2,4,4,1,.5,6,2.5,3.4444444,5
643,1,3,5,1,5,5,1,5,5,1,.5,7,3,4.7777777,5
644,1,1,5,3,4,5,4,4,3,0,.5,2,2.5,2.4444444,2
645,1,3,5,2,4,4,3,4,4,1,.5,7,1.5,3.4444444,4
646,1,3,4,3,5,5,3,4,5,1,1,3,2.5,3.3333333,4.5
647,1,1,2,1,4,4,1,4,4,0,.5,2,2,3,2
648,1,1,5,1,5,5,2,5,5,1,1,7,1.5,4.6666665,5
649,1,2,2,2,5,5,2,4,4,1,.5,2,2,2.7777777,2.5
650,1,1,3,1,5,5,1,5,5,0,1,7,2,3.5555556,5
651,1,3,2,3,4,4,3,4,4,1,1,4,2.5,3.1111112,5
652,1,3,5,1,5,5,2,2,2,0,1,3,3,3.2222223,3
653,1,2,5,3,4,3,4,2,2,1,0,3,1.5,,1.5
654,1,3,3,1,4,4,2,4,3,0,.5,3,1.5,2.7777777,4
655,1,3,4,1,4,4,1,4,4,1,.5,5,2.5,3.4444444,4.5
656,1,3,5,3,4,3,3,4,3,0,.5,3,2.5,3.1111112,4
657,1,1,5,2,2,4,2,2,4,1,1,2,3,3,2
658,1,3,3,1,5,5,1,5,5,1,1,6,1,3.2222223,5
659,1,1,2,4,4,4,2,4,4,0,1,4,2,3.3333333,4
660,1,3,3,2,4,4,3,3,3,0,.5,3,2.5,3.1111112,4
661,1,3,5,3,4,4,3,4,4,0,.5,4,2.5,2.6666667,4
662,1,1,4,3,4,4,3,4,4,1,.5,6,,3.1111112,4.5
663,1,1,5,3,3,3,5,1,1,0,0,4,3,1.5555556,1
664,1,1,5,3,4,3,3,4,3,1,0,2,2,3.2222223,2
665,1,1,2,3,3,3,3,3,3,0,0,1,3,2.5555556,1.5
666,1,1,5,2,4,5,2,4,5,0,1,4,2.5,3.7777777,4.5
667,1,3,5,1,5,5,2,5,5,0,.5,4,3,3.4444444,4.5
668,1,3,3,2,4,4,4,4,2,1,0,2,3,3.3333333,2
669,1,3,5,1,5,5,3,5,5,1,1,4,1,3.4444444,5
670,1,3,5,1,5,5,1,5,5,0,1,2,2.5,3.5555556,5
671,1,1,5,1,5,5,2,5,5,1,1,6,2.5,3.5555556,5
672,1,3,2,2,3,4,2,3,4,0,.5,3,2.5,3.1111112,2
673,1,3,5,1,5,5,2,4,4,1,.5,5,2.5,3.6666667,4
674,1,3,4,,,5,,,5,1,.5,6,0,,5
675,1,3,3,2,4,4,2,4,3,1,1,3,1,4.2222223,4.5
676,1,3,5,1,5,5,1,5,4,1,1,4,3,3,2
677,1,2,5,2,4,5,2,4,5,0,1,1,3,3.7777777,3
678,1,3,5,3,4,3,5,3,3,0,0,2,1,3.8888888,2
679,1,3,5,4,4,4,2,2,2,1,.5,2,2.5,,1.5
680,1,3,4,3,3,3,3,3,3,0,.5,2,3,1.8888888,1
681,1,1,5,2,4,3,3,4,1,0,.5,4,2.5,2.6666667,4
682,1,1,5,2,4,4,2,4,4,0,.5,2,0,3.8888888,4.5
683,1,3,5,2,4,5,2,4,5,0,1,4,2.5,3.6666667,4
684,1,1,4,2,5,5,2,5,5,0,1,6,,3.3333333,5
685,1,3,5,3,3,3,3,3,3,,0,2,1,3.1111112,
686,1,2,5,3,3,3,4,3,3,0,0,2,1.5,2.3333333,1.5
687,1,2,5,3,4,4,2,4,4,0,.5,1,,3.2222223,1
688,1,2,5,,5,5,,5,5,0,1,4,2,4.2222223,
689,1,3,5,2,4,4,2,4,4,0,1,3,0,2.7777777,4.5
690,1,3,4,2,5,5,3,4,4,0,1,7,2,4.6666665,5
691,1,1,5,3,4,2,4,3,2,0,1,2,2.5,4.3333335,4.5
692,1,3,5,,4,,3,4,4,0,0,2,2,2.1111112,1
693,1,3,4,1,5,5,1,5,5,1,.5,4,2.5,3.8888888,4.5
694,1,3,5,1,5,5,1,5,5,1,1,2,2,3.2222223,3
695,1,2,5,2,4,4,3,3,3,0,.5,4,2.5,3.3333333,4.5
696,1,3,5,2,5,4,2,5,4,0,.5,5,2.5,4,5
697,1,3,2,4,4,4,5,5,5,0,.5,4,1.5,,4.5
698,1,3,5,2,5,5,2,5,5,1,.5,6,3,4.2222223,5
699,1,1,5,3,4,3,3,4,4,0,.5,2,3,2.5555556,2
700,1,2,5,,5,5,,5,5,0,1,3,2.5,3.4444444,4
701,1,2,5,1,5,5,1,5,5,0,1,4,2.5,3.5555556,4
702,1,3,5,2,5,5,2,5,5,1,.5,6,2.5,3.3333333,4.5
703,1,2,5,3,4,4,5,1,1,0,0,2,1,1.7777778,2.5
704,1,3,5,1,5,5,3,4,4,0,1,6,2,4.2222223,5
705,1,1,5,3,3,5,3,4,5,0,0,2,3,4.4444447,4
706,1,3,3,2,4,2,5,3,1,0,1,2,2,2.7777777,3
707,1,3,5,1,4,4,2,4,4,0,.5,4,1,3.5555556,4.5
708,1,3,5,4,4,3,4,4,3,0,1,7,2,4.8888888,5
709,1,3,3,1,3,5,1,1,4,1,.5,5,2,4.5555553,5
710,1,2,5,2,4,5,1,4,5,1,1,4,2,3.3333333,3
711,1,3,5,1,5,5,1,5,5,0,1,3,2,3.7777777,4
712,1,1,4,2,4,4,2,4,4,0,.5,2,1,2.4444444,1.5
713,1,1,5,4,3,3,4,3,3,0,.5,4,2.5,3.4444444,
714,1,3,2,4,5,4,3,4,4,0,.5,4,,4.2222223,4.5
715,1,1,5,1,5,5,1,4,4,1,1,6,1.5,4.2222223,5
716,1,3,3,3,4,3,5,2,2,1,.5,4,1,3.6666667,5
717,1,3,2,1,4,2,3,4,2,0,0,1,1.5,3.2222223,1
718,1,3,4,2,4,5,2,4,5,1,0,1,2.5,2.2222223,3
719,1,1,5,2,4,4,2,4,4,1,.5,4,2.5,3.2222223,4.5
720,1,1,5,2,4,4,2,4,4,0,.5,3,1,3.7777777,4.5
721,1,2,5,3,5,5,,5,5,0,.5,2,3,2.2222223,2
722,1,3,3,2,4,4,3,4,4,1,,2,0,,
723,1,3,5,2,4,4,3,4,4,1,.5,4,0,,4.5
724,1,3,5,2,4,4,2,4,4,0,.5,3,2,3.4444444,5
725,1,1,5,5,3,4,4,3,5,0,1,4,3,4,3.5
726,1,1,5,2,5,4,2,4,4,0,0,3,2.5,2.4444444,1.5
727,1,2,2,2,4,4,3,4,5,1,1,4,,3.8888888,5
728,1,3,2,4,4,4,4,4,4,0,.5,4,.5,3.7777777,4
729,1,3,5,3,4,4,2,4,4,0,.5,3,1.5,3,2.5
730,1,1,5,2,4,4,2,4,4,0,1,4,2.5,3.8888888,5
731,1,3,4,,,5,,,4,1,.5,2,2.5,2.5555556,3
732,1,2,2,,5,5,1,5,5,0,0,2,1,3.4444444,1.5
733,1,3,,3,5,5,4,4,4,1,0,4,.5,3.6666667,5
734,1,3,4,2,5,4,4,3,4,0,1,2,.5,3,4
735,1,1,5,4,4,3,3,3,3,1,1,4,2,3,4
736,1,3,5,3,3,3,4,2,2,0,.5,2,0,2.6666667,2.5
737,1,2,4,1,4,4,2,4,4,0,.5,2,,3.2222223,4
738,1,2,5,2,4,4,2,4,4,0,1,4,3,3.7777777,2.5
739,1,3,,2,5,4,3,3,3,1,,,2,4.3333335,5
