ident,web,state,trec3,noman2,protect2,restore2,wnoman2,wprotect2,wrestore2,women,spend2,polview2,seeind2,nepind2,gccind2
85,1,3,5,1,5,4,2,5,5,0,.5,4,3,3.7777777,4.5
86,1,1,5,2,4,5,4,4,4,1,1,3,,2.7777777,1.5
87,1,1,5,5,1,1,5,1,1,0,0,3,2.5,3.2222223,3.5
88,1,1,2,2,4,3,2,4,2,0,1,5,2.5,3.3333333,4.5
89,1,2,4,1,4,4,1,4,4,0,.5,4,2.5,2.8888888,3
90,1,1,4,5,5,5,2,5,5,0,1,5,1.5,4.2222223,5
91,1,3,3,2,3,5,3,3,4,0,0,2,1,2.6666667,1
92,1,1,5,2,5,5,2,5,5,0,.5,2,2.5,2.4444444,2
93,1,2,2,1,5,5,1,5,5,1,0,1,2.5,2.1111112,1.5
94,1,3,5,2,5,4,2,5,4,1,.5,6,2,4.1111112,4
95,1,3,2,3,4,4,4,3,3,1,1,4,2,4.1111112,4.5
96,1,3,5,,5,5,,5,5,0,1,2,3,3.2222223,3.5
97,1,3,4,2,4,3,2,2,2,0,.5,2,2.5,1.8888888,3.5
98,1,1,5,2,4,4,1,5,5,0,.5,3,2.5,2.8888888,4
99,1,1,1,2,4,3,2,4,2,1,.5,4,2,2.1111112,1.5
100,1,1,5,1,5,5,2,5,5,1,1,4,2,4.1111112,5
101,1,2,5,3,4,3,2,2,2,0,.5,4,2.5,2.6666667,5
102,1,1,1,3,4,3,5,1,1,1,.5,5,0,4,4
103,1,3,1,2,4,4,2,4,4,0,.5,4,2,4.3333335,4
104,1,1,5,2,4,4,3,4,4,1,.5,4,1,3.5555556,4
105,1,1,2,1,5,5,1,5,5,0,.5,6,0,3.5555556,5
106,1,1,,1,5,5,1,5,5,1,1,1,3,2.5555556,1.5
107,1,1,1,1,5,5,1,5,5,0,.5,4,1.5,4.2222223,4.5
108,1,3,5,1,4,4,1,5,5,0,1,,1.5,3.6666667,2
109,1,2,5,2,4,4,3,3,3,0,.5,2,3,3.4444444,3
110,1,1,2,4,4,4,4,4,4,1,.5,4,2,3,3.5
111,1,3,5,1,5,5,3,3,4,1,.5,1,2,4.5555553,3.5
