ObsNr,BroodID,ChickID,NailCode,BSManip,BS_BeforeManip,BS_AfterManip,OdourDonorNest,F_U,FD,Seq,BegResponse,BegDuration,BegScore,ChickMassAtStart,ChickMassAfterFeed
387,220,65,t4,3_R,13,10,221,U,2,1,0,0,0,5.38,5.39
388,220,65,t4,3_R,13,10,220,F,2,2,0,0,0,5.38,5.39
389,220,65,t4,3_R,13,10,220,F,3,1,1,6.84,20,5.38,5.39
390,220,65,t4,3_R,13,10,221,U,3,2,0,0,0,5.38,5.39
391,220,66,t8,3_R,13,10,221,U,1,1,0,0,0,5.69,5.94
392,220,66,t8,3_R,13,10,220,F,1,2,0,0,0,5.69,5.94
393,220,66,t8,3_R,13,10,220,F,2,1,0,0,0,5.69,5.94
394,220,66,t8,3_R,13,10,221,U,2,2,0,0,0,5.69,5.94
395,220,66,t8,3_R,13,10,221,U,3,1,1,4.83,20,5.69,5.94
396,220,66,t8,3_R,13,10,220,F,3,2,0,0,0,5.69,5.94
397,221,67,t6,3_R,12,9,220,U,1,1,0,0,0,6.9,7.2
398,221,67,t6,3_R,12,9,221,F,1,2,0,0,0,6.9,7.2
399,221,67,t6,3_R,12,9,221,F,2,1,0,0,0,6.9,7.2
400,221,67,t6,3_R,12,9,220,U,2,2,0,0,0,6.9,7.2
401,221,67,t6,3_R,12,9,220,U,3,1,1,7.14,14,6.9,7.2
402,221,67,t6,3_R,12,9,221,F,3,2,1,6.85,17,6.9,7.2
403,221,68,t7,3_R,12,9,221,F,1,1,0,0,0,7.6,7.67
404,221,68,t7,3_R,12,9,220,U,1,2,0,0,0,7.6,7.67
405,221,68,t7,3_R,12,9,220,U,2,1,0,0,0,7.6,7.67
406,221,68,t7,3_R,12,9,221,F,2,2,1,1.17,2,7.6,7.67
407,221,68,t7,3_R,12,9,221,F,3,1,1,6.19,15,7.6,7.67
408,221,68,t7,3_R,12,9,220,U,3,2,0,0,0,7.6,7.67
409,11,69,t3+4,2_C,11,11,209,U,1,1,0,0,0,6.77,6.8
410,11,69,t3+4,2_C,11,11,11,F,1,2,0,0,0,6.77,6.8
411,11,69,t3+4,2_C,11,11,11,F,2,1,0,0,0,6.77,6.8
412,11,69,t3+4,2_C,11,11,209,U,2,2,0,0,0,6.77,6.8
413,11,69,t3+4,2_C,11,11,209,U,3,1,0,0,0,6.77,6.8
414,11,69,t3+4,2_C,11,11,11,F,3,2,0,0,0,6.77,6.8
415,11,70,t1+4,2_C,11,11,11,F,1,1,0,0,0,6.8,7
416,11,70,t1+4,2_C,11,11,209,U,1,2,0,0,0,6.8,7
417,11,70,t1+4,2_C,11,11,209,U,2,1,0,0,0,6.8,7
418,11,70,t1+4,2_C,11,11,11,F,2,2,0,0,0,6.8,7
419,11,70,t1+4,2_C,11,11,11,F,3,1,1,6.83,13,6.8,7
420,11,70,t1+4,2_C,11,11,209,U,3,2,0,0,0,6.8,7
421,209,71,t4,2_C,11,11,209,F,1,1,1,6.19,24,5.38,5.62
422,209,71,t4,2_C,11,11,11,U,1,2,0,0,0,5.38,5.62
423,209,71,t4,2_C,11,11,11,U,2,1,1,8.9,28,5.38,5.62
424,209,71,t4,2_C,11,11,209,F,2,2,1,7.69,25,5.38,5.62
425,209,71,t4,2_C,11,11,209,F,3,1,1,13,34,5.38,5.62
426,209,71,t4,2_C,11,11,11,U,3,2,1,14.9,44,5.38,5.62
427,209,72,t6,2_C,11,11,11,U,1,1,0,0,0,5.1,5.15
428,209,72,t6,2_C,11,11,209,F,1,2,0,0,0,5.1,5.15
429,209,72,t6,2_C,11,11,209,F,2,1,1,6.01,19,5.1,5.15
430,209,72,t6,2_C,11,11,11,U,2,2,1,11,31,5.1,5.15
431,209,72,t6,2_C,11,11,11,U,3,1,1,14.68,42,5.1,5.15
432,209,72,t6,2_C,11,11,209,F,3,2,0,0,0,5.1,5.15
433,50,73,t3,2_C,7,7,54,U,1,1,0,0,0,6.6,6.73
434,50,73,t3,2_C,7,7,50,F,1,2,0,0,0,6.6,6.73
435,50,73,t3,2_C,7,7,50,F,2,1,0,0,0,6.6,6.73
436,50,73,t3,2_C,7,7,54,U,2,2,0,0,0,6.6,6.73
437,50,73,t3,2_C,7,7,54,U,3,1,1,6.57,21,6.6,6.73
438,50,73,t3,2_C,7,7,50,F,3,2,1,7.56,21,6.6,6.73
439,50,74,t8,2_C,7,7,50,F,1,1,0,0,0,5.59,6.34
440,50,74,t8,2_C,7,7,54,U,1,2,0,0,0,5.59,6.34
441,50,74,t8,2_C,7,7,54,U,2,1,0,0,0,5.59,6.34
442,50,74,t8,2_C,7,7,50,F,2,2,0,0,0,5.59,6.34
443,50,74,t8,2_C,7,7,50,F,3,1,0,0,0,5.59,6.34
444,50,74,t8,2_C,7,7,54,U,3,2,0,0,0,5.59,6.34
445,54,75,t1,1_U,8,8,54,F,1,1,0,0,0,4.17,4.42
446,54,75,t1,1_U,8,8,50,U,1,2,0,0,0,4.17,4.42
447,54,75,t1,1_U,8,8,50,U,2,1,1,20.89,66,4.17,4.42
448,54,75,t1,1_U,8,8,54,F,2,2,1,16.66,53,4.17,4.42
449,54,75,t1,1_U,8,8,54,F,3,1,1,11.57,43,4.17,4.42
450,54,75,t1,1_U,8,8,50,U,3,2,1,20.13,73,4.17,4.42
451,54,76,t6,1_U,8,8,50,U,1,1,1,8.44,21,5.06,5.33
452,54,76,t6,1_U,8,8,54,F,1,2,0,0,0,5.06,5.33
453,54,76,t6,1_U,8,8,54,F,2,1,1,9.49,25,5.06,5.33
454,54,76,t6,1_U,8,8,50,U,2,2,0,0,0,5.06,5.33
455,54,76,t6,1_U,8,8,50,U,3,1,1,12.34,55,5.06,5.33
456,54,76,t6,1_U,8,8,54,F,3,2,1,13.44,37,5.06,5.33
457,44,77,t8,2_C,11,11,44,F,1,1,1,5.86,17,6.05,6
458,44,77,t8,2_C,11,11,183,U,1,2,0,0,0,6.05,6
459,44,77,t8,2_C,11,11,183,U,2,1,1,8.23,21,6.05,6
460,44,77,t8,2_C,11,11,44,F,2,2,0,0,0,6.05,6
461,44,77,t8,2_C,11,11,44,F,3,1,1,4.43,14,6.05,6
462,44,77,t8,2_C,11,11,183,U,3,2,1,1.73,3,6.05,6
463,44,78,t2,2_C,11,11,183,U,1,1,0,0,0,6.46,6.4
464,44,78,t2,2_C,11,11,44,F,1,2,0,0,0,6.46,6.4
465,44,78,t2,2_C,11,11,44,F,2,1,0,0,0,6.46,6.4
466,44,78,t2,2_C,11,11,183,U,2,2,0,0,0,6.46,6.4
467,44,78,t2,2_C,11,11,183,U,3,1,1,10.74,28,6.46,6.4
468,44,78,t2,2_C,11,11,44,F,3,2,1,8.85,27,6.46,6.4
469,183,79,t8,3_R,13,10,44,U,1,1,0,0,0,5.96,5.92
470,183,79,t8,3_R,13,10,183,F,1,2,0,0,0,5.96,5.92
471,183,79,t8,3_R,13,10,183,F,2,1,0,0,0,5.96,5.92
472,183,79,t8,3_R,13,10,44,U,2,2,1,1.25,2,5.96,5.92
473,183,79,t8,3_R,13,10,44,U,3,1,1,6.06,20,5.96,5.92
474,183,79,t8,3_R,13,10,183,F,3,2,0,0,0,5.96,5.92
475,183,80,t6+8,3_R,13,10,183,F,1,1,0,0,0,5.76,5.8
476,183,80,t6+8,3_R,13,10,44,U,1,2,0,0,0,5.76,5.8
477,183,80,t6+8,3_R,13,10,44,U,2,1,0,0,0,5.76,5.8
478,183,80,t6+8,3_R,13,10,183,F,2,2,0,0,0,5.76,5.8
479,183,80,t6+8,3_R,13,10,183,F,3,1,0,0,0,5.76,5.8
480,183,80,t6+8,3_R,13,10,44,U,3,2,0,0,0,5.76,5.8
481,153,81,t6,1_U,9,9,213,U,1,1,0,0,0,3.24,3.35
482,153,81,t6,1_U,9,9,153,F,1,2,0,0,0,3.24,3.35
483,153,81,t6,1_U,9,9,153,F,2,1,1,0.74,1,3.24,3.35
484,153,81,t6,1_U,9,9,213,U,2,2,0,0,0,3.24,3.35
485,153,81,t6,1_U,9,9,213,U,3,1,1,10.33,27,3.24,3.35
486,153,81,t6,1_U,9,9,153,F,3,2,0,0,0,3.24,3.35
487,153,82,t2,1_U,9,9,153,F,1,1,0,0,0,3.21,3.41
488,153,82,t2,1_U,9,9,213,U,1,2,0,0,0,3.21,3.41
489,153,82,t2,1_U,9,9,213,U,2,1,1,10.04,40,3.21,3.41
490,153,82,t2,1_U,9,9,153,F,2,2,1,4.22,9,3.21,3.41
491,153,82,t2,1_U,9,9,153,F,3,1,1,7.3,21,3.21,3.41
492,153,82,t2,1_U,9,9,213,U,3,2,1,10.62,27,3.21,3.41
493,213,83,t8,3_R,10,7,213,F,1,1,0,0,0,5.72,6.05
494,213,83,t8,3_R,10,7,153,U,1,2,0,0,0,5.72,6.05
495,213,83,t8,3_R,10,7,153,U,2,1,0,0,0,5.72,6.05
496,213,83,t8,3_R,10,7,213,F,2,2,1,10.32,38,5.72,6.05
497,213,83,t8,3_R,10,7,213,F,3,1,1,9.95,34,5.72,6.05
498,213,83,t8,3_R,10,7,153,U,3,2,0,0,0,5.72,6.05
499,213,84,t3,3_R,10,7,153,U,1,1,0,0,0,6.82,7.12
500,213,84,t3,3_R,10,7,213,F,1,2,0,0,0,6.82,7.12
501,213,84,t3,3_R,10,7,213,F,2,1,1,7.89,23,6.82,7.12
502,213,84,t3,3_R,10,7,153,U,2,2,0,0,0,6.82,7.12
503,213,84,t3,3_R,10,7,153,U,3,1,0,0,0,6.82,7.12
504,213,84,t3,3_R,10,7,213,F,3,2,0,0,0,6.82,7.12
505,8,85,t6,1_U,8,8,17,U,1,1,0,0,0,3.87,4.12
506,8,85,t6,1_U,8,8,8,F,1,2,0,0,0,3.87,4.12
507,8,85,t6,1_U,8,8,8,F,2,1,0,0,0,3.87,4.12
508,8,85,t6,1_U,8,8,17,U,2,2,0,0,0,3.87,4.12
509,8,85,t6,1_U,8,8,17,U,3,1,1,6.71,20,3.87,4.12
510,8,85,t6,1_U,8,8,8,F,3,2,0,0,0,3.87,4.12
511,8,86,t8,1_U,8,8,8,F,1,1,1,0.92,2,3.59,4.01
512,8,86,t8,1_U,8,8,17,U,1,2,0,0,0,3.59,4.01
513,8,86,t8,1_U,8,8,17,U,2,1,1,11.85,44,3.59,4.01
514,8,86,t8,1_U,8,8,8,F,2,2,0,0,0,3.59,4.01
515,8,86,t8,1_U,8,8,8,F,3,1,0,0,0,3.59,4.01
516,8,86,t8,1_U,8,8,17,U,3,2,0,0,0,3.59,4.01
517,17,87,t4,1_U,9,9,17,F,1,1,0,0,0,6.19,6.5
518,17,87,t4,1_U,9,9,8,U,1,2,0,0,0,6.19,6.5
519,17,87,t4,1_U,9,9,8,U,2,1,0,0,0,6.19,6.5
520,17,87,t4,1_U,9,9,17,F,2,2,1,5.05,8,6.19,6.5
521,17,87,t4,1_U,9,9,17,F,3,1,1,9,26,6.19,6.5
522,17,87,t4,1_U,9,9,8,U,3,2,0,0,0,6.19,6.5
523,17,88,t1,1_U,9,9,8,U,1,1,0,0,0,6.83,7
524,17,88,t1,1_U,9,9,17,F,1,2,0,0,0,6.83,7
525,17,88,t1,1_U,9,9,17,F,2,1,1,11.72,27,6.83,7
526,17,88,t1,1_U,9,9,8,U,2,2,0,0,0,6.83,7
527,17,88,t1,1_U,9,9,8,U,3,1,0,0,0,6.83,7
528,17,88,t1,1_U,9,9,17,F,3,2,0,0,0,6.83,7
529,89,89,t4,1_U,8,8,89,F,1,1,0,0,0,4.3,4.47
530,89,89,t4,1_U,8,8,179,U,1,2,0,0,0,4.3,4.47
531,89,89,t4,1_U,8,8,179,U,2,1,1,10.52,27,4.3,4.47
532,89,89,t4,1_U,8,8,89,F,2,2,1,9.28,38,4.3,4.47
533,89,89,t4,1_U,8,8,89,F,3,1,1,8.35,27,4.3,4.47
534,89,89,t4,1_U,8,8,179,U,3,2,1,10.79,32,4.3,4.47
535,89,90,t2,1_U,8,8,179,U,1,1,0,0,0,6.79,6.8
536,89,90,t2,1_U,8,8,89,F,1,2,0,0,0,6.79,6.8
537,89,90,t2,1_U,8,8,89,F,2,1,0,0,0,6.79,6.8
538,89,90,t2,1_U,8,8,179,U,2,2,0,0,0,6.79,6.8
539,89,90,t2,1_U,8,8,179,U,3,1,1,8.39,23,6.79,6.8
540,89,90,t2,1_U,8,8,89,F,3,2,0,0,0,6.79,6.8
541,179,91,t6,1_U,10,10,89,U,1,1,1,8.26,19,5.94,6.05
542,179,91,t6,1_U,10,10,179,F,1,2,0,0,0,5.94,6.05
543,179,91,t6,1_U,10,10,179,F,2,1,1,8.94,27,5.94,6.05
544,179,91,t6,1_U,10,10,89,U,2,2,1,8.19,19,5.94,6.05
545,179,91,t6,1_U,10,10,89,U,3,1,1,8.8,29,5.94,6.05
546,179,91,t6,1_U,10,10,179,F,3,2,1,4.89,13,5.94,6.05
547,179,92,t1,1_U,10,10,179,F,1,1,0,0,0,5.88,5.88
548,179,92,t1,1_U,10,10,89,U,1,2,0,0,0,5.88,5.88
549,179,92,t1,1_U,10,10,89,U,2,1,1,7.38,27,5.88,5.88
550,179,92,t1,1_U,10,10,179,F,2,2,1,8.13,26,5.88,5.88
551,179,92,t1,1_U,10,10,179,F,3,1,1,6.95,23,5.88,5.88
552,179,92,t1,1_U,10,10,89,U,3,2,0,0,0,5.88,5.88
