herd,month,monitoring_time,sex_of_herd,total_peeps,avgtime,people_present,wewd,int,easting,northing
161,6,213,F,0,15.98333333,13,Weekday,before_management,710355.9111,735285.6039
93,6,84,F,0,8.883333333,6,Weekday,before_management,710173.5344,735588.1456
110,6,77,F,0,10.4,6,Weekday,before_management,710130.8008,735411.9804
150,6,37,F,2,11.53333333,8,Weekday,before_management,710339.8714,735232.6862
181,6,61,F,0,12.51666667,12,Weekday,before_management,710392.3819,735153.5066
3,6,24,F,0,8.533333333,0,Weekend,before_management,710996.45,735362.1
97,6,18,F,0,9.5,8,Weekend,before_management,710310.9374,735093.1989
129,6,79,F,0,10.33333333,12,Weekend,before_management,710291.9028,735237.7323
29,6,36,F,0,8.916666667,2,Weekday,before_management,710441.5847,734964.845
40,6,14,F,0,9.366666667,3,Weekday,before_management,710595.9278,735055.9893
57,6,11,F,0,9.633333333,0,Weekday,before_management,710442.0324,735133.6997
74,6,23,F,0,9.966666667,6,Weekday,before_management,710481.0652,735053.6241
96,6,167,F,0,11.61666667,62,Weekday,before_management,710431.8162,735067.5988
4,6,43,F,0,12.63333333,8,Weekday,before_management,710359.7053,735829.7931
13,6,29,F,0,13.25,1,Weekday,before_management,710356.8555,735841.7578
16,6,9,F,0,13.58333333,2,Weekday,before_management,710393.5225,735808.6205
8,6,83,F,0,14.38333333,26,Weekday,before_management,710326.3136,735802.418
180,6,94,F,8,16.1,170,Weekday,before_management,710641.8184,735114.6528
2,6,12,F,0,12.48333333,0,Weekday,before_management,709664.5525,735638.3169
116,6,270,F,18,15.66666667,92,Weekday,before_management,710453.8367,735329.878
63,6,70,F,18,16.16666667,116,Weekend,before_management,710820.7326,735224.351
160,5,183,F,115,14.26666667,480,Weekend,before_management,710273.6274,734915.5597
116,6,11,F,4,16.98333333,50,Weekend,before_management,710809.9856,735091.6375
9,7,25,F,0,12.83333333,13,Weekday,before_management,710235.0897,735575.6916
5,7,10,F,0,13.3,10,Weekday,before_management,710096.8849,735470.3278
160,7,3,F,0,13.71666667,13,Weekday,before_management,710233.5649,735418.028
128,7,131,F,9,14.9,99,Weekday,before_management,710375.8065,735337.0299
46,7,62,F,0,8.583333333,7,Weekday,before_management,710310.013,735611.2723
16,7,25,F,0,9.416666667,5,Weekday,before_management,710324.2673,735384.5475
25,7,81,F,5,10.33333333,14,Weekday,before_management,709985.559,735325.0476
282,5,38,F,17,16.28333333,73,Weekday,before_management,710256.334,734835.5197
151,7,39,F,11,10.7,39,Weekend,management_applied,709972.4483,735448.2467
161,7,23,F,10,16.26666667,58,Weekend,management_applied,710488.5207,735114.4218
4,7,24,F,0,15.76666667,3,Weekday,management_applied,710185.8338,735949.415
97,7,37,F,2,9.533333333,4,Weekday,management_applied,710376.3894,735668.2665
56,7,60,F,0,10.6,7,Weekday,management_applied,710108.8199,735251.1875
10,7,103,F,0,10.13333333,1,Weekday,management_applied,710239.0823,734933.227
10,7,3,F,0,8.55,0,Weekday,management_applied,709918.3242,735244.913
6,7,68,F,0,9.283333333,0,Weekday,management_applied,710117.653,735173.2181
15,7,10,F,0,10,0,Weekday,management_applied,710135.0405,735078.1647
160,7,35,F,0,10.46666667,5,Weekday,management_applied,710143.4968,735102.6839
19,7,9,F,0,11.13333333,5,Weekday,management_applied,710198.7064,734975.0002
160,7,87,F,14,12.06666667,26,Weekday,management_applied,710166.2151,735019.053
136,7,66,F,4,13.38333333,9,Weekday,management_applied,710195.8713,734974.7119
18,7,103,F,0,8.733333333,7,Weekday,management_applied,710258.7809,735764.4243
46,7,18,F,0,9.85,3,Weekday,management_applied,710363.5305,735803.1463
123,7,185,F,25,11.65,97,Weekday,management_applied,710146.382,735342.3525
119,7,38,F,11,13.63333333,55,Weekday,management_applied,710070.6274,735253.967
14,7,23,F,0,8.9,1,Weekend,management_applied,710414.5569,735408.4235
107,7,190,F,11,10.88333333,179,Weekend,management_applied,710299.0218,735368.1703
152,7,80,F,47,13.28333333,239,Weekend,management_applied,710221.7036,735023.707
3,7,141,F,3,16.78333333,178,Weekday,management_applied,710711.1426,735958.1201
58,7,16,F,5,15.58333333,23,Weekday,management_applied,710309.9329,735018.1008
128,7,89,F,12,16.58333333,63,Weekday,management_applied,710441.2628,735054.4075
6,7,43,F,0,16.05,10,Weekday,management_applied,710374.1092,735969.815
9,7,27,F,0,16.68333333,21,Weekday,management_applied,710395.4745,735816.9128
105,7,180,F,8,9.433333333,99,Weekend,management_applied,710327.106,735607.8252
276,5,9,F,0,13.6,5,Weekday,before_management,711275.0465,734995.8503
142,7,43,F,7,11.33333333,62,Weekend,management_applied,710289.8191,735396.8995
193,7,103,F,23,12.65,215,Weekend,management_applied,710233.2296,735413.3422
8,7,133,F,0,9.45,1,Weekday,management_applied,709987.2181,735462.318
39,7,58,F,2,11.11666667,16,Weekday,management_applied,710108.1386,735425.7483
93,7,23,F,0,11.76666667,20,Weekday,management_applied,710120.5753,735252.6008
151,7,93,F,20,12.91666667,89,Weekday,management_applied,710184.8138,735199.0766
168,7,183,F,0,10.11666667,27,Weekday,management_applied,710427.9093,735320.9581
68,7,10,F,0,12.08333333,2,Weekday,management_applied,710281.9462,735374.5642
179,7,47,F,1,12.56666667,26,Weekday,management_applied,710283.2031,735374.9273
72,7,28,F,0,13.26666667,15,Weekday,management_applied,710275.5472,735374.8053
189,5,42,F,0,14.1,27,Weekday,before_management,711103.0839,734972.6802
264,5,11,F,2,14.58333333,13,Weekday,before_management,711092.446,734986.1239
276,5,26,F,4,14.98333333,36,Weekday,before_management,711132.4236,734976.9284
219,5,14,F,0,15.48333333,35,Weekday,before_management,711135.0195,735039.6623
276,5,46,F,4,16.11666667,110,Weekday,before_management,711239.9452,734911.2323
31,5,155,F,0,15.31666667,10,Weekday,before_management,710347.5616,735430.7918
71,5,41,F,0,8.65,2,Weekday,before_management,710535.1251,735225.8252
82,5,145,F,0,10.2,10,Weekday,before_management,710541.1127,735223.2372
100,5,7,F,0,11.5,3,Weekday,before_management,710513.0827,735222.8635
120,5,4,F,0,11.61666667,5,Weekday,before_management,710522.3881,735195.0274
224,5,194,F,20,9.783333333,161,Weekend,before_management,710138.5575,735133.6682
189,5,28,F,0,11.73333333,56,Weekend,before_management,710242.1708,735046.9762
40,5,99,F,0,9.083333333,11,Weekday,before_management,710068.7673,735098.1993
148,5,97,F,0,10.81666667,31,Weekday,before_management,710107.7642,735045.6694
195,5,145,F,8,15.28333333,43,Weekday,before_management,710286.7143,735021.0151
284,5,141,F,3,14.6,24,Weekday,before_management,710263.8777,735115.921
303,5,31,F,0,16.86666667,13,Weekday,before_management,710430.9078,735021.8027
27,5,58,F,0,15.45,22,Weekday,management_applied,710031.4131,735177.6234
242,5,21,F,7,16.23333333,34,Weekday,management_applied,710027.8956,735274.8907
269,5,53,F,15,16.9,43,Weekday,management_applied,709975.1075,735333.5307
98,5,149,F,20,15.51666667,186,Weekend,management_applied,710040.2266,735434.0845
51,5,67,F,105,15.83333333,105,Weekend,management_applied,710134.4536,735205.9479
99,5,143,F,0,9.266666667,3,Weekday,management_applied,710332.7222,735475.1533
242,5,11,F,0,10.71666667,3,Weekday,management_applied,710527.3339,735383.2727
237,5,64,F,9,11.5,36,Weekday,management_applied,710375.6005,735295.9913
86,5,24,F,4,16.03333333,12,Weekday,before_management,710536.7655,735042.1859
173,5,151,F,4,10.16666667,10,Weekday,management_applied,710823.2269,735030.0444
3,5,209,F,0,9.516666667,16,Weekday,management_applied,710261.4689,735778.741
269,5,40,F,0,11.66666667,8,Weekday,management_applied,710117.5654,735158.7464
3,6,38,F,0,8.583333333,1,Weekend,management_applied,710498.0847,736099.7145
242,6,103,F,13,12.16666667,47,Weekend,management_applied,710426.2701,735098.1436
21,6,48,F,0,15.56666667,6,Weekday,management_applied,710142.9857,735419.7116
51,6,34,F,0,16.3,10,Weekday,management_applied,710185.1769,735447.3879
66,6,29,F,0,16.85,6,Weekday,management_applied,710201.246,735436.0347
64,5,21,F,2,16.58333333,8,Weekday,before_management,710568.22,735005.6255
39,6,33,F,0,13.9,67,Weekend,management_applied,710111.7045,735331.2113
29,6,48,F,24,14.65,171,Weekend,management_applied,710029.4801,735100.4101
158,6,26,F,13,15.45,72,Weekend,management_applied,710226.2532,735077.1086
198,6,65,F,55,16.5,225,Weekend,management_applied,710199.268,735183.5832
205,6,227,F,37,11.08333333,293,Weekend,management_applied,710225.9592,734938.8193
1,6,1,F,0,8.533333333,0,Weekday,management_applied,709576.9465,735696.8898
97,6,153,F,0,10.1,30,Weekday,management_applied,710160.368,735568.1137
107,6,26,F,4,11.66666667,10,Weekday,management_applied,710212.0268,735559.8495
139,6,15,F,0,12.06666667,11,Weekday,management_applied,710279.944,735517.2312
62,6,38,F,0,12.61666667,24,Weekday,management_applied,710170.5455,735373.7633
199,6,147,F,0,9.383333333,16,Weekday,management_applied,710355.4115,735389.715
199,6,80,F,9,11.33333333,78,Weekday,management_applied,710118.1746,735375.066
181,6,91,F,10,13.71666667,132,Weekend,management_applied,710298.7197,735096.6177
44,6,102,F,7,15.63333333,224,Weekend,management_applied,710277.4613,735100.0205
38,6,15,F,1,16.75,29,Weekend,management_applied,710278.0007,735099.7361
166,6,95,F,5,13.35,66,Weekday,management_applied,710099.2857,735237.7476
43,6,14,F,0,14.5,8,Weekday,management_applied,710164.8714,735250.8445
56,5,32,F,4,13.8,213,Weekend,before_management,710337.1466,735173.1717
182,6,196,F,15,16.36666667,72,Weekday,management_applied,710206.7563,735238.4797
16,6,37,F,0,9.533333333,5,Weekday,management_applied,709959.3201,735521.5249
68,6,15,F,0,10.36666667,3,Weekday,management_applied,710268.8378,735259.267
149,6,51,F,2,11.15,41,Weekday,management_applied,710188.5413,735263.3326
95,6,45,F,0,10.61666667,14,Weekend,management_applied,710449.3334,735138.4465
82,6,42,F,0,12.1,28,Weekday,management_applied,710107.5438,735302.9121
19,6,42,F,0,8.983333333,0,Weekday,management_applied,710558.1227,735334.7282
35,6,8,F,0,9.666666667,0,Weekday,management_applied,710458.3979,735473.3954
78,5,184,F,50,15.66666667,601,Weekend,before_management,710352.6485,735169.4064
172,6,181,F,0,11.45,30,Weekday,management_applied,710333.4793,735389.0556
163,6,124,F,11,14.2,42,Weekday,management_applied,710400.0664,735235.1518
