Year,Season,Active_Holes,Total_Holes,Sett Type,Trial_Code,Sett_ID_Code
5,Autumn,0,2,Outlier,Area3,Area3 Sett29
1,Summer,0,1,Outlier,Area3,Area3 Sett30
2,Spring,1,1,Outlier,Area3,Area3 Sett30
3,Spring,1,2,Outlier,Area3,Area3 Sett30
1,Summer,1,6,Outlier,Area3,Area3 Sett31
2,Spring,0,6,Outlier,Area3,Area3 Sett31
3,Spring,3,9,Outlier,Area3,Area3 Sett31
4,Spring,1,7,Outlier,Area3,Area3 Sett31
5,Autumn,0,5,Outlier,Area3,Area3 Sett31
1,Summer,0,3,Outlier,Area3,Area3 Sett32
2,Spring,1,2,Outlier,Area3,Area3 Sett32
1,Summer,1,1,Outlier,Area3,Area3 Sett33
1,Summer,1,1,Outlier,Area3,Area3 Sett33
2,Spring,0,1,Outlier,Area3,Area3 Sett33
3,Spring,1,2,Outlier,Area3,Area3 Sett33
4,Spring,0,2,Outlier,Area3,Area3 Sett33
5,Autumn,0,2,Outlier,Area3,Area3 Sett33
3,Spring,1,3,Outlier,Area3,Area3 Sett34
5,Autumn,1,3,Outlier,Area3,Area3 Sett34
1,Summer,3,10,Outlier,Area3,Area3 Sett35
3,Spring,2,6,Outlier,Area3,Area3 Sett35
4,Spring,1,3,Outlier,Area3,Area3 Sett35
1,Summer,0,2,Outlier,Area3,Area3 Sett36
3,Spring,0,2,Outlier,Area3,Area3 Sett36
4,Spring,0,1,Outlier,Area3,Area3 Sett36
1,Summer,0,4,Outlier,Area3,Area3 Sett37
3,Spring,0,4,Outlier,Area3,Area3 Sett37
4,Spring,0,1,Outlier,Area3,Area3 Sett37
1,Summer,2,6,Outlier,Area3,Area3 Sett38
3,Spring,4,9,Main,Area3,Area3 Sett38
3,Autumn,0,8,Outlier,Area3,Area3 Sett38
5,Autumn,0,8,Outlier,Area3,Area3 Sett38
3,Spring,0,1,Outlier,Area3,Area3 Sett39
3,Spring,0,1,Outlier,Area3,Area3 Sett40
2,Spring,1,2,Outlier,Area3,Area3 Sett41
3,Spring,1,2,Outlier,Area3,Area3 Sett41
4,Spring,0,1,Outlier,Area3,Area3 Sett41
5,Autumn,0,1,Outlier,Area3,Area3 Sett41
3,Spring,0,1,Outlier,Area3,Area3 Sett42
5,Autumn,0,1,Outlier,Area3,Area3 Sett42
2,Spring,0,1,Outlier,Area3,Area3 Sett43
2,Spring,0,2,Outlier,Area3,Area3 Sett44
4,Spring,0,1,Outlier,Area3,Area3 Sett44
5,Autumn,0,2,Outlier,Area3,Area3 Sett44
1,Summer,0,2,Outlier,Area3,Area3 Sett45
2,Spring,0,2,Outlier,Area3,Area3 Sett45
3,Spring,0,2,Outlier,Area3,Area3 Sett45
4,Spring,0,1,Outlier,Area3,Area3 Sett45
5,Autumn,0,1,Outlier,Area3,Area3 Sett45
1,Summer,1,1,Outlier,Area3,Area3 Sett46
2,Spring,0,1,Outlier,Area3,Area3 Sett46
3,Spring,0,1,Outlier,Area3,Area3 Sett46
4,Spring,0,1,Outlier,Area3,Area3 Sett46
1,Summer,1,5,Outlier,Area3,Area3 Sett47
2,Spring,1,1,Outlier,Area3,Area3 Sett47
3,Spring,0,1,Outlier,Area3,Area3 Sett47
4,Spring,0,1,Outlier,Area3,Area3 Sett47
1,Summer,1,6,Outlier,Area3,Area3 Sett48
2,Spring,0,6,Outlier,Area3,Area3 Sett48
3,Spring,0,6,Outlier,Area3,Area3 Sett48
4,Spring,2,4,Outlier,Area3,Area3 Sett48
5,Autumn,1,5,Outlier,Area3,Area3 Sett48
1,Summer,0,5,Outlier,Area3,Area3 Sett49
3,Spring,0,4,Outlier,Area3,Area3 Sett49
1,Summer,0,3,Outlier,Area3,Area3 Sett50
2,Spring,1,4,Outlier,Area3,Area3 Sett50
3,Spring,0,3,Outlier,Area3,Area3 Sett50
4,Spring,0,1,Outlier,Area3,Area3 Sett50
5,Autumn,0,1,Outlier,Area3,Area3 Sett50
1,Summer,0,1,Outlier,Area3,Area3 Sett51
1,Summer,7,13,Main,Area3,Area3 Sett52
2,Spring,4,12,Main,Area3,Area3 Sett52
3,Spring,1,9,Outlier,Area3,Area3 Sett52
