parameter,name,time,mean,sd,lower95,upper95
b1[1],overnightYes,Time: no,2.316684127268854,0.10742297444209735,2.106783804467348,2.5316631444348237
b1[2],genderOther,Time: no,-0.03769463638476256,0.32842890045533263,-0.6802111218752199,0.6137864026625446
b1[3],genderWoman,Time: no,-0.2090935678368939,0.10432737537275098,-0.40800441745256805,-0.005339958714989556
b1[4],marital_statusOther,Time: no,0.03510756955781519,0.2144356390923733,-0.3855214462283744,0.472198223798296
b1[5],marital_statusSingle,Time: no,-0.26427042445199633,0.12415816589881778,-0.5001533375331789,-0.022268137908315888
b1[6],employment_statusEmployed - part time,Time: no,-0.10692161291480311,0.20451832903626097,-0.5121509996203464,0.28873033180016994
b1[7],employment_statusRetired,Time: no,-0.11673535660231302,0.14916911912199654,-0.40609626309987407,0.1813000358096695
b1[8],employment_statusSelf-employed,Time: no,-0.006694957206494687,0.17866032651143102,-0.36314639096225104,0.3422574582273555
b1[9],employment_statusStudent,Time: no,0.2809904815539636,0.25898237285625764,-0.21514531650076438,0.7892719667580382
b1[10],employment_statusUnemployed,Time: no,-0.1884518963053896,0.2797745857325246,-0.7487180988734878,0.3559571766655678
b1[11],highest_educationDoctoral degree or equivalent,Time: no,-0.10897690669041947,0.156437453768903,-0.4165588420346512,0.2021566446762391
b1[12],highest_educationHigh School,Time: no,-0.015532191645758328,0.19394668982580374,-0.3958429130074757,0.37631610528717663
b1[13],highest_educationMaster's degree or equivalent,Time: no,-0.1684869490501829,0.11818469302597458,-0.3968051536925435,0.06648438104116873
b1[14],highest_educationOther (please specify),Time: no,-0.3900309792576994,0.29011157846870417,-0.9659784040790608,0.1659855014395924
b1[15],carpoolYes,Time: no,0.1871166864022178,0.10467198850890605,-0.016259392080458256,0.39094808676923753
b2[1],overnightYes,Time: yes,1.8224593242483695,0.09971799991010996,1.6286599652034157,2.0182203875177875
b2[2],genderOther,Time: yes,0.2753741702787573,0.2823190204523025,-0.28495539405860787,0.8300010239203403
b2[3],genderWoman,Time: yes,-0.24785650080554134,0.09652444935525023,-0.4355665612435795,-0.058439634817993344
b2[4],marital_statusOther,Time: yes,0.0814015549603049,0.18999561597526957,-0.30198073786441726,0.4509690755069617
b2[5],marital_statusSingle,Time: yes,-0.07449305344425672,0.10938989963784455,-0.28836787767445965,0.14620215179593618
b2[6],employment_statusEmployed - part time,Time: yes,0.04093645097351359,0.18388172310516165,-0.31067631226910974,0.3997330272184305
b2[7],employment_statusRetired,Time: yes,-0.08735365774155826,0.13475462797189547,-0.3497739501995946,0.17104688127540588
b2[8],employment_statusSelf-employed,Time: yes,-0.056029850390497786,0.15912746857596288,-0.3666231651622532,0.2546504881045338
b2[9],employment_statusStudent,Time: yes,0.10450134044306253,0.23710380726794467,-0.3532089644783356,0.5655363462276971
b2[10],employment_statusUnemployed,Time: yes,-0.2112952784371659,0.25006710548596284,-0.7040009422669901,0.27847137159350843
b2[11],highest_educationDoctoral degree or equivalent,Time: yes,-0.07687990555623024,0.1456497952413072,-0.3658363893044056,0.20522506747744462
b2[12],highest_educationHigh School,Time: yes,0.16626020021659876,0.17334318014060582,-0.17799087509708358,0.503704128375473
b2[13],highest_educationMaster's degree or equivalent,Time: yes,-0.07024378233634462,0.10854049324006353,-0.28685138457068193,0.1409511672204269
b2[14],highest_educationOther (please specify),Time: yes,-0.2176377649106312,0.263369850060432,-0.7347692115209357,0.3135662869157712
b2[15],carpoolYes,Time: yes,0.22105704893639921,0.09341750852586102,0.039634655191015666,0.4059020885411186
Intercept1,Intercept,Time: no,4.424345403542559,0.1624137876212895,4.0968185376144195,4.740351791073572
Intercept2,Intercept,Time: yes,5.034785676554059,0.15284750017026535,4.703445509062579,5.314412306243442
bsp1[1],mo(age),Time: no,0.034148828268367244,0.04641874043206921,-0.058040785295530126,0.12618258440897298
bsp2[1],mo(age),Time: yes,0.048147664632206905,0.04238415573855522,-0.03164490628231044,0.13534870933488466
