"","alpha","beta","b1","b2","b4","b5","tau","pp_log_RS[1]","pp_log_RS[2]","pp_log_RS[3]","pp_log_RS[4]","pp_log_RS[5]","pp_log_RS[6]","pp_log_RS[7]","pp_log_RS[8]","pp_log_RS[9]","pp_log_RS[10]","pp_log_RS[11]","pp_log_RS[12]","pp_log_RS[13]","pp_log_RS[14]","pp_log_RS[15]","pp_log_RS[16]","pp_log_RS[17]","pp_log_RS[18]","pp_log_RS[19]","pp_log_RS[20]","pp_log_RS[21]","pp_log_RS[22]","pp_R[1]","pp_R[2]","pp_R[3]","pp_R[4]","pp_R[5]","pp_R[6]","pp_R[7]","pp_R[8]","pp_R[9]","pp_R[10]","pp_R[11]","pp_R[12]","pp_R[13]","pp_R[14]","pp_R[15]","pp_R[16]","pp_R[17]","pp_R[18]","pp_R[19]","pp_R[20]","pp_R[21]","pp_R[22]","log_lik[1]","log_lik[2]","log_lik[3]","log_lik[4]","log_lik[5]","log_lik[6]","log_lik[7]","log_lik[8]","log_lik[9]","log_lik[10]","log_lik[11]","log_lik[12]","log_lik[13]","log_lik[14]","log_lik[15]","log_lik[16]","log_lik[17]","log_lik[18]","log_lik[19]","log_lik[20]","log_lik[21]","log_lik[22]","lp__"
"1",3.43300840410962,0.00021384268658937,-0.52064385374721,-0.175295090087605,-0.616759316993854,0.738270743224305,0.904138174496073,1.29102577340519,-0.52914091066437,-0.463831507041423,-1.8163755971368,-1.84643360756697,-3.03313964389856,0.452772642263312,-0.396583058411199,-1.22363127903664,1.427482338504,-1.66101384689935,-2.87094636026776,-1.29303244459588,0.624591828388477,-0.312491692553781,0.0496504968642215,-1.6644699932339,0.0756085196152427,-0.32141190187527,0.324955356641452,-1.58436905309565,1.37558468293311,18404.4018252478,2962.04935982506,5980.54899848802,1727.77441964564,2805.34950030627,462.954118451028,2432.91521155604,5468.35513782863,2407.11167224479,37447.035799151,2447.83804508224,820.846960428972,2786.08751091201,6065.5865641527,3721.75962264105,1060.36187167376,834.962410832954,580.254662108424,3811.97954551124,3779.61895552272,1169.34988133307,13633.208084722,-1.59243994577474,-1.45362953611761,-1.37543550203941,-0.826512261451081,-1.7117061345832,-1.76989133382992,-1.04501099425868,-1.3930579943491,-1.72027455063458,-1.31777181780995,-1.23580259237043,-0.936880263059715,-0.819265200045606,-2.62582133866611,-0.830991099120865,-0.908881088443431,-1.67276830197332,-0.921513008386923,-0.830340143640192,-1.20306107798068,-0.887562601740545,-1.00589749980214,-8.3907596539947
"2",3.08057908697386,0.00019146920268541,0.140518427057976,-0.0289030443346841,-0.768451613731668,0.339434811213706,0.851853582548711,-0.335954775098597,1.72735881301937,-0.889208129926927,-0.959505728698771,-3.45182634803445,1.59995215073905,3.36671113603427,1.39581854632604,-0.769410043975739,0.297464409410346,0.465443002357853,-2.79534633000289,-0.27058254898348,-0.177565870592268,0.541454196122357,-1.12974672775241,-0.399721306777327,0.499105067837258,-1.24741304665577,2.5317234945629,-0.399940133072653,0.462992951356955,3616.87110747557,28286.3994336427,3908.42995230358,4070.2482232639,563.344120998519,47606.2696839655,44836.7765423181,32831.2061429168,3791.07184405561,12096.4210377506,20525.3776291071,885.308981791226,7745.31528646768,2719.56938029659,8742.03029564462,326.023117882092,2957.6058729275,886.218583129699,1510.05711585578,34342.7638488515,3822.39373061329,5473.4922837941,-1.4981305911643,-0.991296135144388,-0.977789499489892,-1.2157797759301,-1.12524112395733,-0.792361292293747,-1.28140713617951,-0.856300963383093,-2.14449365471857,-1.32034227912402,-0.886496405519826,-0.813587606420098,-0.82092783793541,-2.15064710284813,-0.764772738955971,-1.35992715746901,-2.02555367168673,-1.12660162474528,-1.24294494374957,-1.09161753671159,-0.760482146005958,-0.765304783336268,-6.00829694389833
"3",2.85227642152401,0.000181818317005573,0.117895177454478,0.181523288132077,-0.483115948198553,0.234579653148097,1.18463303858924,-0.0605088801111963,0.903770578493548,-2.21473931142759,-0.496081325899566,-0.162001738252739,-0.725727699161304,1.14415341284816,-0.937357032868065,-0.97304608033607,-0.280057770878402,-0.756463549073553,-2.23864590657311,-1.66895645515883,2.0588477602385,-1.46146651893806,0.124119615076545,-0.504915420441134,1.23122808830653,-0.645344494093697,0.779609985681479,-2.23855317264203,0.475760849704609,4763.8454613369,12413.6027736257,1038.32056353,6469.69126154224,15119.1174534461,4651.94131100105,4857.24295844009,3184.20894956295,3092.60182509837,6789.5688825497,6048.16851992163,1544.78054855469,1913.0795533672,25454.3635103569,1179.65467448089,1142.34064683023,2662.28825885285,1842.88332483496,2757.20098077552,5955.2776605262,607.905290014964,5543.82532396673,-1.5623598287637,-1.08837950786439,-1.19879684962332,-1.27984325770744,-1.33137795752712,-1.09972390882444,-1.09081456164064,-1.10850630448659,-1.51733542272696,-1.17210846343219,-1.21184466071302,-1.12154973124989,-1.08839285557187,-1.62737298527656,-1.09075897345566,-1.26623056320872,-1.4465657425809,-1.51447849116125,-1.22216767002689,-1.21184615228009,-1.17014566250651,-1.20105165837246,-7.75222783792848
"4",3.49338499018703,0.000171729812827116,-0.175629901506293,0.350495730377631,-0.365152062415541,0.108495652138963,1.18276333364503,2.09389506924706,3.13609923198348,-0.686772364980794,-0.725100064664816,-1.30237612989903,-1.09537966296187,-0.253165260947019,2.1026996201657,2.22244731691032,-1.00650545979843,-0.647143212078626,-1.6718368938423,-1.19533804437796,-0.477438330297397,-0.228336372278306,1.11085857993052,2.82908132391208,-1.34796967455805,-2.7010938024581,1.45408094266474,0.197649296444795,-0.732367539460839,41077.4439348023,115713.987646277,4785.40907120836,5145.43364329657,4833.57136714435,3214.37409150624,1200.99731882582,66570.4339121834,75528.2039277899,3283.59795151279,6746.85074169903,2722.88198645722,3072.01189096301,2014.96352198602,4048.5220701271,3064.29743514975,74677.7914733233,139.754719935906,352.913152009385,11690.1754643864,6948.08642362748,1656.25058673062,-1.46208216517607,-1.44273056589999,-1.39987550259975,-1.25889730779236,-1.30761663617021,-1.10449782706145,-1.57060928558813,-1.10711131750221,-1.1604556528613,-1.25812099669809,-1.09474074133353,-1.34743044432041,-1.1050346424928,-2.01150336157961,-1.09884685089235,-1.10786609569928,-1.14827551389945,-1.4502641888795,-1.09219077296745,-1.38461577273923,-1.53281894757861,-1.53427865623869,-9.09061834987488
"5",4.11838717462935,0.000228004171677193,-0.306400774298934,0.229773853694774,-0.584996315319093,0.211676528950166,1.26432214173796,-0.95090995847613,0.156943043706756,-1.53488437305077,-0.547076412241072,-3.77179555798124,-0.332948325862448,4.86408050787136,2.46769741310908,-1.6074578539637,0.1286474597091,-1.80197891506978,-4.15520445439514,-2.65023801630923,-1.68279679479486,0.628692198589379,-1.82421304400905,0.711759152702288,1.76290705713181,-0.462733110720822,3.09793488845388,-1.40041634424857,-2.06787517799741,1955.51607142566,5882.4028972879,2049.22055444716,6148.03982006748,409.084386540317,6889.95112930829,200416.575819902,95895.4309321934,1639.84377406401,10217.4053934273,2125.99544253423,227.256330953489,717.080417841459,603.652020243851,9538.92184030051,162.796666342085,8987.73233686964,3136.19517761533,3309.60024805924,60497.5416874192,1405.51059031018,435.634681409508,-1.40914656861805,-1.27614381572748,-1.27826957450623,-1.16369550402741,-1.91606395068293,-1.17741418871166,-1.47387586424146,-1.15434081009674,-1.41207843438484,-1.31550143828455,-1.23573120446155,-1.18096758212957,-1.15434649160251,-2.12205765403179,-1.15435009020864,-1.1830776188207,-1.33293475152936,-1.28485488232931,-1.18582765738767,-1.4974147487266,-1.30347608017372,-1.32088667242224,-9.8274943851099
"6",3.96235955156488,0.000214767082029279,-0.36334711829502,0.373623286696883,-0.625459251274312,0.0730544600762381,1.27290026242272,-0.445685587486981,1.55084530127143,-2.21546294091318,-0.603994346877422,-2.3573078217941,1.36996102605946,2.74095246138509,2.81116838519773,-1.00534101340478,0.604106457235929,-0.805420046460636,-0.903133442437839,-2.36492721439201,-0.934219137805931,0.423716145583368,0.230546277774369,0.481224228434671,2.58690862512438,0.0518388258690324,0.92501934304911,-0.499074613585946,-0.31686110324451,3240.98891769671,23709.3051156563,1037.56947594207,5807.8785583742,1683.12791423526,37825.1166622864,23981.196233208,135196.504469278,2994.32196854689,16437.2758718446,5759.20246881213,5873.16883993343,953.842720836615,1276.11497223187,7771.04316955494,1270.621332658,7137.23644964741,7149.28181569801,5536.70383304642,6887.35544020416,3461.63969431169,2509.44798138533,-1.79249586775959,-1.6659264004985,-1.28559095159071,-1.17892103015102,-1.85836010104591,-1.16027199908144,-1.88443047500896,-1.17905487920477,-1.32773137236571,-1.37151485752408,-1.17311442466308,-1.22699467619146,-1.17290634826744,-2.16340754583839,-1.16558178382284,-1.20238831351814,-1.29881512653401,-1.34359472175701,-1.21310983676505,-1.58593541107741,-1.36119084939406,-1.30697193708836,-11.2873510285829
"7",1.87448474480085,0.000119742835697256,0.1656589275572,0.166324622749821,-0.129971242565172,0.862091269382061,0.626672288659224,1.70596041415365,0.28501023289882,-1.7417877766639,0.491396800293534,-0.346248188172183,-0.144764044053561,2.74699582838655,0.476250204316007,-1.31929588898293,1.23570487385977,-1.70454904979955,-2.30491177254473,-0.758373433374815,-1.14918028737575,0.797396709955198,-0.418412212419369,-1.10588597572869,-0.00108854088516454,0.0790225458145999,1.43329712349307,-0.301113476311897,-0.0996393949008006,27869.266050197,6686.11189535124,1666.21752074283,17367.6019739076,12575.0356333438,8316.55639081996,24126.5622107305,13089.509761897,2187.50788226069,30912.1741360031,2343.5573300372,1445.7323279292,4755.47838200727,1029.279594714,11291.8923358618,664.013717357673,1459.67738977203,537.414683631976,5689.27638904836,11449.7164555321,4219.44462601966,3118.28917338997,-2.44504292666837,-1.3057544818205,-1.38748732482616,-1.42783463185242,-0.543557086364363,-0.628788570849725,-1.07430990737167,-0.464185751190651,-1.94271393842178,-0.459858889751861,-2.18951590383081,-0.590465698307695,-0.979779078611855,-0.681660182867478,-0.451861229079049,-1.26519658975297,-2.54553967601224,-3.74485199773033,-0.513115989284781,-0.534965107894497,-0.878108173255619,-1.19345020903007,-6.98260443248842
"8",1.71223007856909,0.000107031986339237,0.0761222310822442,0.416322716501183,0.00467735981048087,0.616484535621315,0.842463901495909,2.18278096466971,-0.0392426483123473,-0.615557754317683,-1.37162017977283,-1.56532568099349,-1.70738681889392,1.39138014766809,1.60933344980938,-0.465665177998157,-1.00166180634439,-2.0512433615343,-2.3968820981153,-0.926705224041945,0.340231015874004,0.349629286208854,0.410752236426012,-0.819545819064985,0.790553950561522,0.329835406040899,0.209799233914353,1.11589852462867,-1.57723766676874,44895.8362637607,4834.50933772098,5138.62802298861,2695.51568550532,3715.95628476639,1743.03090792118,6219.55101000526,40645.7538160926,5136.611668071,3299.54114254825,1656.94523925461,1318.69903222881,4018.72828822466,4564.32408368217,7216.12100820518,1521.5232600217,1943.62658573038,1186.08412734603,7311.1159867696,3368.49843360523,17404.2688984148,711.547031098931,-0.92616013327326,-0.756828312686952,-1.21631563003259,-1.19665631202382,-0.754927621643729,-0.778921047465965,-0.886646962772005,-0.747724953916502,-1.13744463632713,-0.755517660790503,-1.44268151522069,-0.912737387646993,-1.08910182413458,-0.854868167990438,-0.756864457335107,-1.10063367214646,-1.40118889568848,-3.39909048019101,-0.776044245680212,-0.79648049737807,-1.35580484189442,-1.46524698248598,-4.40955005666742
"9",3.20002886997576,0.000168227671887926,0.198702141476538,0.117448133311354,-0.546126416585768,0.324568586937733,0.598929296197064,-0.302736897534365,1.50925801797698,-1.28276246979481,0.928670190647313,-1.35948529626863,-0.548899470494791,2.01863803606383,1.02409514211142,-0.872714742248615,0.316479063156069,-0.57384143986894,-2.3937960235533,-0.901976166048946,0.56784965764023,0.121547846851912,0.0727260037244292,0.0604117545021328,1.58974849407276,-0.843570244919167,1.43832681703634,-0.107089406148418,-2.2917191612652,3739.0336463004,22743.5208880457,2636.84046472099,26893.3731634623,4565.26444671468,5551.7480791348,11645.916547856,22638.5921150676,3418.98625099598,12328.630994925,7259.98390169827,1322.77492178178,4119.34662394079,5730.99452328744,5744.46115226799,1085.11475361023,4685.68996359412,2637.55347967966,2261.41398996628,11507.4500899938,5122.93534499733,348.263724636701,-1.25587743202476,-0.421235398923738,-1.25515106577601,-2.07890285301553,-0.551192143783299,-0.714935792944115,-1.23133632379584,-0.862465565411057,-1.86250369269246,-1.26252378375366,-0.573898343922158,-0.796476531791794,-0.50048831021352,-2.86998575532888,-0.521202378171139,-1.06519574462608,-1.79881062769421,-1.55618158935658,-0.722420993966357,-1.17148433285498,-0.765261170014481,-0.851126504531186,-4.19895000784355
"10",2.27713228486725,0.000164648565015598,-0.340814481011579,0.287611456861916,-0.289982951117064,0.736359471603055,0.774010935354337,2.45220330915096,1.24747349153887,0.0535707357254708,-1.32388694769383,-2.12735126925167,-2.56088591544095,0.49256329397321,-0.44161524391772,0.0463597940599273,-0.252372998453487,-2.10552274840006,-1.13885466317892,-0.0861953281622841,-0.64678013940532,-1.05541409297556,0.727398907908714,-0.13041058869273,0.136752245375094,0.178842403240939,2.04135873536316,-0.995801559735766,-1.04931240906841,58777.9862547444,17505.1615344389,10033.3506829487,2827.30162421112,2118.29277313434,742.395174373674,2531.67430771532,5227.56548698253,8571.29325054006,6980.16265130951,1569.40458609947,4639.80854663065,9313.59724982908,1701.0730926565,1770.52156534406,2088.31735680967,3871.68894769162,616.84069983463,6286.49024353025,21031.6107102665,2106.47393921261,1206.3647460395,-1.40049272341201,-0.664111942726973,-1.12328849495275,-0.671317889447148,-1.11737680772836,-1.34877975074774,-1.52903002598985,-0.829211216205061,-1.47205561380736,-0.711428798044007,-1.6141183950255,-0.70939661729405,-1.00830421927331,-1.30724690362665,-0.797492034913373,-0.964828729867892,-1.79093374584929,-2.19229139579602,-0.714342800653154,-1.00736234841257,-1.02549673507554,-1.07349069233948,-5.02247779765445
