#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio,Eff_Resist,CWDTORRatio,CF_Centrality
35.0,10.0,52.0,-1.0,-1.0,1.0,2721.0,93829.6171875,0.0,1.0,3485.0,34.4835050303,26.9238499821,-1.0,-1.0,15082.96783
36.0,10.0,53.0,-1.0,-1.0,1.0,1280.0,123763.203125,1.0,0.0,2341.0,96.6900024414,52.8676647266,-1.0,-1.0,12824.54687
37.0,10.0,63.0,-1.0,-1.0,1.0,614.0,48294.1914063,1.0,1.0,897.0,78.6550348637,53.8396782679,-1.0,-1.0,21181.68559
38.0,11.0,18.0,-1.0,-1.0,1.0,1647.0,107540.898438,1.0,0.0,2210.0,65.2950203024,48.6610400172,-1.0,-1.0,4842.517601
39.0,11.0,30.0,-1.0,-1.0,1.0,1551.0,78399.46875,1.0,0.0,2278.0,50.5476910058,34.4159213126,-1.0,-1.0,7345.380641
40.0,11.0,52.0,-1.0,-1.0,1.0,473.0,45344.953125,1.0,1.0,1673.0,95.8667085095,27.1039767633,-1.0,-1.0,11349.0437
41.0,11.0,53.0,-1.0,-1.0,-15.0,1852.0,112322.757813,1.0,0.0,4293.0,60.649437264,26.1641644102,-1.0,-1.0,-1.0
42.0,12.0,18.0,-1.0,-1.0,1.0,132.0,15313.7089844,1.0,1.0,153.0,116.012946852,100.089601205,-1.0,-1.0,5350.375449
43.0,12.0,24.0,-1.0,-1.0,1.0,363.0,38256.78125,1.0,1.0,396.0,105.390581956,96.6080334596,-1.0,-1.0,4915.351277
44.0,12.0,28.0,-1.0,-1.0,-15.0,414.0,43713.421875,1.0,1.0,493.0,105.587975543,88.6681985294,-1.0,-1.0,-1.0
45.0,12.0,45.0,-1.0,-1.0,-15.0,1510.0,161903.859375,1.0,0.0,2532.0,107.221098924,63.943072423,-1.0,-1.0,-1.0
46.0,13.0,14.0,-1.0,-1.0,1.0,205.0,25313.7089844,1.0,1.0,253.0,123.481507241,100.054185709,-1.0,-1.0,17551.49724
47.0,13.0,20.0,-1.0,-1.0,1.0,431.0,19874.6289063,1.0,1.0,654.0,46.1128280889,30.3893408353,-1.0,-1.0,19967.92725
48.0,13.0,26.0,-1.0,-1.0,1.0,411.0,30681.484375,1.0,0.0,911.0,74.6508135645,33.6789071076,-1.0,-1.0,2812.227247
49.0,14.0,16.0,-1.0,-1.0,1.0,804.0,39899.1640625,1.0,1.0,1898.0,49.6258259484,21.0216881257,-1.0,-1.0,20028.07698
50.0,14.0,20.0,-1.0,-1.0,1.0,674.0,29032.7460938,0.0,1.0,1751.0,43.0752909404,16.5806659588,-1.0,-1.0,28231.15698
51.0,14.0,26.0,-1.0,-1.0,1.0,390.0,29186.4003906,1.0,1.0,1325.0,74.8369240785,22.0274719929,-1.0,-1.0,12881.70749
52.0,14.0,85.0,-1.0,-1.0,1.0,2033.0,38924.4179688,0.0,1.0,3383.0,19.146295115,11.5058876644,-1.0,-1.0,37718.11728
53.0,15.0,17.0,-1.0,-1.0,-15.0,1360.0,129895.929688,1.0,0.0,2302.0,95.5117130059,56.4274238436,-1.0,-1.0,-1.0
54.0,15.0,19.0,-1.0,-1.0,1.0,50.0,7656.85449219,1.0,1.0,76.0,153.137089844,100.748085424,-1.0,-1.0,10798.77474
55.0,15.0,22.0,-1.0,-1.0,1.0,1894.0,208349.03125,1.0,1.0,2291.0,110.004768347,90.9423968791,-1.0,-1.0,15934.15097
56.0,15.0,25.0,-1.0,-1.0,1.0,400.0,63018.8476563,0.0,1.0,677.0,157.547119141,93.0854470551,-1.0,-1.0,7479.436369
57.0,15.0,68.0,-1.0,-1.0,1.0,1064.0,133578.546875,1.0,1.0,1185.0,125.543747063,112.724512131,-1.0,-1.0,2242.97818
58.0,15.0,79.0,-1.0,-1.0,1.0,1355.0,178510.03125,1.0,1.0,2147.0,131.74172048,83.1439363065,-1.0,-1.0,2950.458795
59.0,16.0,22.0,-1.0,-1.0,-15.0,1076.0,67167.828125,1.0,0.0,3936.0,62.4236320864,17.064996983,-1.0,-1.0,-1.0
60.0,16.0,26.0,-1.0,-1.0,1.0,1096.0,46784.15625,1.0,0.0,2023.0,42.6862739507,23.1261276569,-1.0,-1.0,24692.59961
