site,BF2000m,Alpine grassland,Alpine grassland (20-50% trees/rocks),Artificial area (ha)s,Coniferous forest,Crop field,Deciduous forest,Green urban area (ha)s,Hedges/Shrubs,Inand water,Meadow,Meadow with trees/bushes ,Mixed forest ,Orchard,Pasture,Pasture with trees/bushes,Riparian forest,Road/tracks/rail,Rock,Scree,Vineyard,Wetland
173_OAC,area (ha),2.9,1.0,81.3,422.7,1.3,12.0,2.4,3.8,23.1,1.9,0.0,141.2,494.9,1.3,0.7,1.9,63.6,0.0,0.6,0.0,0.0
174_OAC,area (ha),41.4,10.0,54.7,54.4,0.5,201.0,1.0,3.6,17.5,60.1,0.5,194.1,522.4,4.3,6.5,3.8,65.0,0.1,0.1,15.5,0.2
175_OAC,area (ha),2.1,0.0,240.0,0.0,1.3,24.7,10.7,4.6,28.8,7.5,9.3,82.4,690.0,0.0,0.0,0.2,98.4,0.0,0.0,56.8,0.0
177_OAC,area (ha),2.0,0.3,66.7,0.0,3.7,106.6,1.6,6.5,26.4,14.4,0.0,159.3,785.4,0.0,0.0,1.3,73.2,0.0,0.0,8.6,0.8
179_OAC,area (ha),2.6,0.0,130.5,0.0,1.6,3.3,8.9,13.7,26.0,2.6,0.0,40.2,787.7,0.0,0.0,2.0,104.0,0.0,0.0,133.4,0.0
180_OAC,area (ha),9.5,9.0,122.9,19.9,5.1,180.5,15.7,20.1,16.7,33.6,2.1,358.1,151.4,0.4,1.1,6.3,87.2,0.5,0.9,214.0,1.8
182_OAO,area (ha),14.4,17.8,149.8,272.0,52.4,0.0,12.8,10.3,23.0,249.0,0.5,93.8,183.3,1.4,5.8,95.4,64.2,0.0,9.2,0.0,1.5
183_OAO,area (ha),1.2,0.5,125.4,1.9,1.9,167.0,2.9,6.8,23.9,37.7,1.2,219.5,569.7,2.3,1.0,4.1,70.2,0.0,2.3,17.2,0.0
184_OAO,area (ha),10.7,32.1,49.0,184.1,1.5,183.0,1.7,3.7,19.2,67.8,0.3,193.7,406.3,12.0,6.0,3.2,59.3,0.0,3.2,19.6,0.2
185_OAO,area (ha),1.6,0.2,257.5,0.0,2.3,127.2,55.0,7.9,19.8,47.5,0.3,105.2,441.2,1.3,2.6,2.8,92.2,0.0,0.0,92.1,0.0
186_OAO,area (ha),3.8,1.1,130.7,157.6,33.1,194.6,1.4,0.6,28.0,221.1,2.3,148.1,181.5,5.0,5.4,5.8,82.6,0.0,6.2,40.8,6.9
188_OAO,area (ha),3.7,0.6,86.5,39.8,0.4,150.4,15.1,8.7,43.8,6.2,0.0,237.3,502.5,0.0,0.0,4.5,104.4,4.1,23.0,21.3,4.3
337_OAX_O,area (ha),6.7,34.5,107.0,232.0,1.3,105.1,8.5,3.7,15.8,72.8,0.0,116.8,451.4,15.2,9.1,0.0,71.8,0.6,0.0,4.4,0.0
338_OAX_C,area (ha),8.7,34.1,110.7,147.9,1.5,130.6,8.3,2.8,15.8,70.6,0.0,164.3,448.8,21.3,14.2,0.0,70.9,0.6,0.0,5.5,0.0
173_OAC,percentage,0.2,0.1,6.5,33.6,0.1,1.0,0.2,0.3,1.8,0.1,0.0,11.2,39.4,0.1,0.1,0.1,5.1,0.0,0.0,0.0,0.0
174_OAC,percentage,3.3,0.8,4.4,4.3,0.0,16.0,0.1,0.3,1.4,4.8,0.0,15.4,41.6,0.3,0.5,0.3,5.2,0.0,0.0,1.2,0.0
175_OAC,percentage,0.2,0.0,19.1,0.0,0.1,2.0,0.9,0.4,2.3,0.6,0.7,6.6,54.9,0.0,0.0,0.0,7.8,0.0,0.0,4.5,0.0
177_OAC,percentage,0.2,0.0,5.3,0.0,0.3,8.5,0.1,0.5,2.1,1.1,0.0,12.7,62.5,0.0,0.0,0.1,5.8,0.0,0.0,0.7,0.1
179_OAC,percentage,0.2,0.0,10.4,0.0,0.1,0.3,0.7,1.1,2.1,0.2,0.0,3.2,62.7,0.0,0.0,0.2,8.3,0.0,0.0,10.6,0.0
180_OAC,percentage,0.8,0.7,9.8,1.6,0.4,14.4,1.2,1.6,1.3,2.7,0.2,28.5,12.0,0.0,0.1,0.5,6.9,0.0,0.1,17.0,0.1
182_OAO,percentage,1.1,1.4,11.9,21.6,4.2,0.0,1.0,0.8,1.8,19.8,0.0,7.5,14.6,0.1,0.5,7.6,5.1,0.0,0.7,0.0,0.1
183_OAO,percentage,0.1,0.0,10.0,0.1,0.2,13.3,0.2,0.5,1.9,3.0,0.1,17.5,45.3,0.2,0.1,0.3,5.6,0.0,0.2,1.4,0.0
184_OAO,percentage,0.8,2.6,3.9,14.7,0.1,14.6,0.1,0.3,1.5,5.4,0.0,15.4,32.3,1.0,0.5,0.3,4.7,0.0,0.3,1.6,0.0
185_OAO,percentage,0.1,0.0,20.5,0.0,0.2,10.1,4.4,0.6,1.6,3.8,0.0,8.4,35.1,0.1,0.2,0.2,7.3,0.0,0.0,7.3,0.0
186_OAO,percentage,0.3,0.1,10.4,12.5,2.6,15.5,0.1,0.0,2.2,17.6,0.2,11.8,14.4,0.4,0.4,0.5,6.6,0.0,0.5,3.2,0.5
188_OAO,percentage,0.3,0.0,6.9,3.2,0.0,12.0,1.2,0.7,3.5,0.5,0.0,18.9,40.0,0.0,0.0,0.4,8.3,0.3,1.8,1.7,0.3
337_OAX_O,percentage,0.5,2.7,8.5,18.5,0.1,8.4,0.7,0.3,1.3,5.8,0.0,9.3,35.9,1.2,0.7,0.0,5.7,0.0,0.0,0.4,0.0
338_OAX_C,percentage,0.7,2.7,8.8,11.8,0.1,10.4,0.7,0.2,1.3,5.6,0.0,13.1,35.7,1.7,1.1,0.0,5.6,0.0,0.0,0.4,0.0
