site,BF1000m,Alpine grassland,Alpine grassland (20-50% trees/rocks),Artificial area (ha)s,Coniferous forest,Crop field,Deciduous forest,Green urban area (ha)s,Hedges/Shrubs,Inand water,Meadow,Meadow with trees/bushes ,Mixed forest ,Orchard,Pasture,Pasture with trees/bushes,Riparian forest,Road/tracks/rail,Rock,Scree,Vineyard,Wetland
173_OAC,area (ha),0.2,0.0,23.1,42.1,0.3,2.8,0.8,1.2,7.7,0.5,0.0,64.7,154.3,0.4,0.0,0.0,16.0,0.0,0.0,0.0,0.0
174_OAC,area (ha),33.4,7.6,15.8,0.0,0.3,29.3,0.3,0.7,6.1,7.1,0.2,0.0,184.1,0.8,1.0,2.1,19.4,0.1,0.0,5.8,0.2
175_OAC,area (ha),0.8,0.0,21.6,0.0,0.8,0.0,0.1,0.2,5.7,1.5,0.0,0.2,245.5,0.0,0.0,0.0,25.0,0.0,0.0,12.7,0.0
177_OAC,area (ha),0.3,0.0,17.2,0.0,1.6,0.0,0.3,2.7,11.6,0.2,0.0,0.0,254.0,0.0,0.0,0.0,26.2,0.0,0.0,0.0,0.0
179_OAC,area (ha),1.1,0.0,40.8,0.0,0.0,0.0,0.0,1.2,4.0,0.5,0.0,0.0,237.9,0.0,0.0,0.0,28.4,0.0,0.0,0.3,0.0
180_OAC,area (ha),2.0,6.6,34.3,0.0,0.1,46.9,5.0,5.1,2.2,8.2,1.1,84.3,30.7,0.0,0.0,0.6,27.2,0.0,0.6,57.8,1.5
182_OAO,area (ha),1.6,0.8,36.8,34.8,15.7,0.0,2.0,4.0,0.9,72.3,0.0,20.9,61.6,0.6,3.2,43.5,15.0,0.0,0.2,0.0,0.0
183_OAO,area (ha),1.1,0.0,46.0,0.0,0.4,28.3,1.5,2.8,9.2,2.2,0.0,31.3,153.3,1.0,0.0,0.0,31.4,0.0,0.4,5.1,0.0
184_OAO,area (ha),1.4,1.0,25.3,3.8,1.3,93.1,0.9,0.2,7.4,5.5,0.0,28.5,115.1,0.8,0.5,0.0,17.8,0.0,0.9,10.9,0.0
185_OAO,area (ha),0.6,0.2,64.2,0.0,0.6,7.4,14.6,2.4,1.7,1.9,0.0,9.7,153.5,0.0,0.0,1.0,21.9,0.0,0.0,34.5,0.0
186_OAO,area (ha),1.4,0.7,65.6,0.7,4.7,55.6,0.7,0.0,12.2,14.5,0.1,35.0,68.7,1.5,0.9,3.3,27.3,0.0,2.3,16.5,2.5
188_OAO,area (ha),0.9,0.0,27.5,1.5,0.4,16.3,1.0,2.0,6.1,2.6,0.0,47.2,166.7,0.0,0.0,0.5,35.9,0.0,2.3,3.3,0.0
337_OAX_O,area (ha),3.2,14.1,21.0,17.4,0.0,1.3,0.6,0.8,6.9,14.8,0.0,29.4,186.7,0.9,0.0,0.0,17.1,0.0,0.0,0.0,0.0
338_OAX_C,area (ha),1.4,8.8,30.6,4.0,0.0,13.3,2.3,0.8,7.5,1.6,0.0,22.0,200.0,0.0,0.0,0.0,19.7,0.0,0.0,2.1,0.0
173_OAC,percentage,0.1,0.0,7.3,13.4,0.1,0.9,0.2,0.4,2.5,0.2,0.0,20.6,49.1,0.1,0.0,0.0,5.1,0.0,0.0,0.0,0.0
174_OAC,percentage,10.6,2.4,5.0,0.0,0.1,9.3,0.1,0.2,1.9,2.3,0.1,0.0,58.6,0.2,0.3,0.7,6.2,0.0,0.0,1.8,0.1
175_OAC,percentage,0.3,0.0,6.9,0.0,0.3,0.0,0.0,0.1,1.8,0.5,0.0,0.1,78.1,0.0,0.0,0.0,8.0,0.0,0.0,4.1,0.0
177_OAC,percentage,0.1,0.0,5.5,0.0,0.5,0.0,0.1,0.9,3.7,0.1,0.0,0.0,80.9,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0
179_OAC,percentage,0.3,0.0,13.0,0.0,0.0,0.0,0.0,0.4,1.3,0.2,0.0,0.0,75.7,0.0,0.0,0.0,9.1,0.0,0.0,0.1,0.0
180_OAC,percentage,0.7,2.1,10.9,0.0,0.0,14.9,1.6,1.6,0.7,2.6,0.3,26.8,9.8,0.0,0.0,0.2,8.7,0.0,0.2,18.4,0.5
182_OAO,percentage,0.5,0.3,11.7,11.1,5.0,0.0,0.6,1.3,0.3,23.0,0.0,6.7,19.6,0.2,1.0,13.9,4.8,0.0,0.1,0.0,0.0
183_OAO,percentage,0.3,0.0,14.7,0.0,0.1,9.0,0.5,0.9,2.9,0.7,0.0,10.0,48.8,0.3,0.0,0.0,10.0,0.0,0.1,1.6,0.0
184_OAO,percentage,0.4,0.3,8.0,1.2,0.4,29.6,0.3,0.1,2.4,1.8,0.0,9.1,36.6,0.2,0.1,0.0,5.7,0.0,0.3,3.5,0.0
185_OAO,percentage,0.2,0.1,20.4,0.0,0.2,2.4,4.6,0.8,0.5,0.6,0.0,3.1,48.9,0.0,0.0,0.3,7.0,0.0,0.0,11.0,0.0
186_OAO,percentage,0.4,0.2,20.9,0.2,1.5,17.7,0.2,0.0,3.9,4.6,0.0,11.1,21.9,0.5,0.3,1.0,8.7,0.0,0.7,5.3,0.8
188_OAO,percentage,0.3,0.0,8.8,0.5,0.1,5.2,0.3,0.6,2.0,0.8,0.0,15.0,53.1,0.0,0.0,0.2,11.4,0.0,0.7,1.1,0.0
337_OAX_O,percentage,1.0,4.5,6.7,5.5,0.0,0.4,0.2,0.3,2.2,4.7,0.0,9.3,59.4,0.3,0.0,0.0,5.4,0.0,0.0,0.0,0.0
338_OAX_C,percentage,0.5,2.8,9.7,1.3,0.0,4.2,0.7,0.3,2.4,0.5,0.0,7.0,63.7,0.0,0.0,0.0,6.3,0.0,0.0,0.7,0.0
