site,BF500m,Alpine grassland,Alpine grassland (20-50% trees/rocks),Artificial area (ha)s,Coniferous forest,Crop field,Deciduous forest,Green urban area (ha)s,Hedges/Shrubs,Inand water,Meadow,Meadow with trees/bushes ,Mixed forest ,Orchard,Pasture,Pasture with trees/bushes,Riparian forest,Road/tracks/rail,Rock,Scree,Vineyard,Wetland
173_OAC,area (ha),0.1,0.0,0.3,0.0,0.0,0.2,0.0,0.3,3.4,0.0,0.0,27.6,44.1,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0
174_OAC,area (ha),3.6,1.0,6.5,0.0,0.0,3.7,0.3,0.0,2.9,0.6,0.2,0.0,49.3,0.0,0.0,1.9,6.7,0.0,0.0,1.8,0.0
175_OAC,area (ha),0.0,0.0,3.0,0.0,0.6,0.0,0.0,0.1,0.0,0.1,0.0,0.0,70.0,0.0,0.0,0.0,4.5,0.0,0.0,0.2,0.0
177_OAC,area (ha),0.1,0.0,0.3,0.0,0.3,0.0,0.0,0.9,4.3,0.0,0.0,0.0,64.3,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0
179_OAC,area (ha),0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,0.0,0.0,0.0,7.0,0.0,0.0,0.1,0.0
180_OAC,area (ha),0.2,0.0,15.3,0.0,0.0,2.1,1.3,0.6,0.6,0.9,0.0,14.8,12.2,0.0,0.0,0.0,8.6,0.0,0.1,21.9,0.0
182_OAO,area (ha),0.4,0.0,6.5,0.5,5.4,0.0,0.0,1.6,0.1,27.3,0.0,1.3,30.1,0.2,0.9,0.7,3.6,0.0,0.0,0.0,0.0
183_OAO,area (ha),0.0,0.0,20.7,0.0,0.2,0.0,0.5,0.5,0.1,1.2,0.0,1.0,46.1,0.1,0.0,0.0,6.7,0.0,0.0,1.4,0.0
184_OAO,area (ha),1.3,0.0,6.8,0.0,0.0,25.2,0.1,0.0,0.8,1.0,0.0,1.5,34.3,0.0,0.0,0.0,3.6,0.0,0.0,4.0,0.0
185_OAO,area (ha),0.3,0.1,10.8,0.0,0.0,0.2,3.7,0.0,0.0,0.3,0.0,1.2,45.9,0.0,0.0,0.0,6.5,0.0,0.0,9.5,0.0
186_OAO,area (ha),0.2,0.0,21.9,0.0,1.5,10.0,0.1,0.0,5.8,3.3,0.0,4.0,23.5,0.0,0.0,1.7,5.1,0.0,0.0,0.0,1.5
188_OAO,area (ha),0.3,0.0,4.6,0.0,0.4,2.6,0.0,0.0,0.3,0.0,0.0,4.2,52.8,0.0,0.0,0.0,13.0,0.0,0.1,0.1,0.0
337_OAX_O,area (ha),0.0,3.4,0.5,0.5,0.0,0.6,0.0,0.0,2.8,0.0,0.0,9.2,57.6,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
338_OAX_C,area (ha),0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.3,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0
173_OAC,percentage,0.1,0.0,0.4,0.0,0.0,0.2,0.0,0.4,4.4,0.0,0.0,35.1,56.2,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0
174_OAC,percentage,4.6,1.3,8.2,0.0,0.0,4.7,0.4,0.0,3.7,0.8,0.2,0.0,62.8,0.0,0.0,2.4,8.5,0.0,0.0,2.3,0.0
