"parentId","fact","value","factLabel","valueLabel","hab","year","month","NNN","EEE","kausi","year2","route","feeders","f1","f2","fhab","loglengthkm","fkausi","year2st","NNNst","EEEst","fyear"
"JX.1200858","routeLengthBiotopeC",600,"Route length countryside","600","A",2021,1,667,339,2,2021,"MNP.805",0,0,0,NA,-0.510825623765991,"2",15.0253451256483,-19.8395803078346,2.43241559172475,"2021"
"JX.1200860","routeLengthBiotopeC",670,"Route length countryside","670","A",2021,1,671,323,2,2021,"MNP.162",0,0,0,NA,-0.400477566597125,"2",15.0253451256483,-15.8395803078346,-13.5675844082753,"2021"
"JX.1200861","routeLengthBiotopeC",4000,"Route length countryside","4000","A",2021,1,668,340,2,2021,"MNP.3618",1,1,0,"C",1.38629436111989,"2",15.0253451256483,-18.8395803078346,3.43241559172475,"2021"
"JX.1200877","routeLengthBiotopeC",4000,"Route length countryside","4000","A",2021,1,729,339,2,2021,"MNP.3738",10,9,1,"C",1.38629436111989,"2",15.0253451256483,42.1604196921654,2.43241559172475,"2021"
"JX.1200882","routeLengthBiotopeC",200,"Route length countryside","200","A",2021,1,679,321,2,2021,"MNP.3896",0,0,0,NA,-1.6094379124341,"2",15.0253451256483,-7.83958030783458,-15.5675844082753,"2021"
"JX.1200898","routeLengthBiotopeC",2260,"Route length countryside","2260","A",2021,1,671,339,2,2021,"MNP.3353",3,3,0,"C",0.815364813284194,"2",15.0253451256483,-15.8395803078346,2.43241559172475,"2021"
"JX.1200899","routeLengthBiotopeC",4000,"Route length countryside","4000","A",2021,1,698,333,2,2021,"MNP.4114",2,2,0,"C",1.38629436111989,"2",15.0253451256483,11.1604196921654,-3.56758440827525,"2021"
"JX.1200910","routeLengthBiotopeC",900,"Route length countryside","900","A",2021,1,702,352,2,2021,"MNP.3617",6,3,3,"C",-0.105360515657826,"2",15.0253451256483,15.1604196921654,15.4324155917247,"2021"
"JX.1200917","routeLengthBiotopeC",3000,"Route length countryside","3000","A",2021,1,668,332,2,2021,"MNP.105",4,2,2,"C",1.09861228866811,"2",15.0253451256483,-18.8395803078346,-4.56758440827525,"2021"
"JX.1200934","routeLengthBiotopeC",1800,"Route length countryside","1800","A",2021,1,690,343,2,2021,"MNP.3790",0,0,0,NA,0.587786664902119,"2",15.0253451256483,3.16041969216542,6.43241559172475,"2021"
"JX.1200936","routeLengthBiotopeC",6100,"Route length countryside","6100","A",2021,1,699,353,2,2021,"MNP.868",7,7,0,"C",1.80828877117927,"2",15.0253451256483,12.1604196921654,16.4324155917247,"2021"
"JX.1200937","routeLengthBiotopeC",4500,"Route length countryside","4500","A",2021,1,689,343,2,2021,"MNP.10181",3,3,0,"C",1.50407739677627,"2",15.0253451256483,2.16041969216542,6.43241559172475,"2021"
"JX.1200943","routeLengthBiotopeC",400,"Route length countryside","400","A",2021,1,698,359,2,2021,"MNP.4055",1,1,0,"C",-0.916290731874155,"2",15.0253451256483,11.1604196921654,22.4324155917247,"2021"
"JX.1200946","routeLengthBiotopeC",1800,"Route length countryside","1800","A",2021,1,675,343,2,2021,"MNP.3730",4,1,3,"C",0.587786664902119,"2",15.0253451256483,-11.8395803078346,6.43241559172475,"2021"
"JX.1200947","routeLengthBiotopeC",1700,"Route length countryside","1700","A",2021,1,698,357,2,2021,"MNP.595",4,4,0,"C",0.53062825106217,"2",15.0253451256483,11.1604196921654,20.4324155917247,"2021"
