ID;session;place;gender;age;Betsileo_sp;life;archi;phylo;ferpo;leav;root;flo;fru;EAD;pheL;pheF;land;soil;nbsp_Fa;nbsp_Fl;use;eco;score
K3;3;K;F;16;Voatsitakajaza;1;0;0;1;1;1;0;4;1;0;1;0;0;0;0;0;1;11
K4;4;K;M;14;Goavy;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;6
K4;4;K;M;14;Lamoty;1;1;0;1;0;1;0;1;0;0;0;1;0;3;0;1;1;11
K4;4;K;M;14;Lanary;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;4
K4;4;K;M;14;Rotsy;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;5
K4;4;K;M;14;Voanaka;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;5
K4;4;K;M;14;Voatsitakajaza;1;0;0;1;3;2;0;1;1;0;0;0;0;0;0;0;1;10
L1;1;L;M;17;Goavy;1;0;0;1;1;1;0;2;0;0;0;1;1;0;3;0;1;12
L1;1;L;M;17;Kilela;1;0;1;1;2;1;0;4;1;1;1;1;1;0;3;0;1;19
L1;1;L;M;17;Rotsy;1;1;0;1;3;0;0;4;0;0;0;0;1;0;0;0;1;12
L1;1;L;M;17;Seva;1;0;0;1;2;1;0;4;0;0;0;1;1;0;3;0;1;15
L1;1;L;M;17;Voatsitakajaza;1;0;0;1;1;1;0;3;0;1;0;1;1;0;3;0;1;14
L2;2;L;F;14;Kilela;1;0;1;1;3;0;0;3;0;0;0;0;0;0;0;0;1;10
L2;2;L;F;14;Rotsy;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;5
L2;2;L;F;14;Tsitsitrotroka;1;0;1;1;3;0;0;3;0;0;0;0;0;0;0;1;1;11
L2;2;L;F;14;Voanaka;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;4
L2;2;L;F;14;Voaroitsaka;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;1;5
L2;2;L;F;14;Zamborizany;0;0;0;1;3;0;0;4;0;0;0;0;0;0;0;0;1;9
L3;3;L;F;13;Goavy;1;0;0;1;3;0;0;4;1;0;1;0;0;0;0;0;1;12
L3;3;L;F;13;Kilela;0;0;1;1;0;0;0;2;0;0;0;0;1;0;0;0;1;6
